SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"6866-1",287726,2,"Black","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",147
"6866-1",4522034,2,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"6866-1",6037664,4,"Black","System: Bricks With Bows And Arches",13731,"Brick With Bow 1X10","http://cache.lego.com/media/bricks/5/1/6037664.jpg",27
"6866-1",6037746,2,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"6866-1",6092952,1,"Black","System: Bricks With Slope, Special",13349,"Roof Tile 4X2/18° Inv.","http://cache.lego.com/media/bricks/5/1/6092952.jpg",15
"6866-1",4526931,1,"Black","System: Bricks, Special Circles And Angles",6564,"Right Roof Tile 2X3","http://cache.lego.com/media/bricks/5/1/4526931.jpg",38
"6866-1",4527766,1,"Black","System: Bricks, Special Circles And Angles",6565,"Left  Roof Tile 2X3","http://cache.lego.com/media/bricks/5/1/4527766.jpg",37
"6866-1",3200026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/1/3200026.jpg",172
"6866-1",303926,2,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"6866-1",374726,2,"Black","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374726.jpg",172
"6866-1",4185583,1,"Black","System: Bricks, With Slope",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/1/4185583.jpg",49
"6866-1",4541984,2,"Black","System: Bricks, With Slope",60219,"Inv. Roof Tile 4X6, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/4541984.jpg",43
"6866-1",4548180,1,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"6866-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"6866-1",4114206,2,"Black","System: Figure, Weapons",30173,"Ninja Sword","http://cache.lego.com/media/bricks/5/1/4114206.jpg",58
"6866-1",6003775,1,"Black","System: Figure, Wigs",42444,"Mini Wig Man No. 1","http://cache.lego.com/media/bricks/5/1/6003775.jpg",3
"6866-1",241226,6,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"6866-1",242026,4,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"6866-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"6866-1",366626,4,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"6866-1",371026,4,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"6866-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"6866-1",4140588,2,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"6866-1",4258354,1,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"6866-1",4180087,1,"Black","System: Plates, Special Circles And Angles",43898,"Parabolic Reflector Ø24X6,4","http://cache.lego.com/media/bricks/5/1/4180087.jpg",53
"6866-1",4184617,2,"Black","System: Signs, Flags And Poles",44676,"Banner 26 Deg. M. 2 Holdere","http://cache.lego.com/media/bricks/5/1/4184617.jpg",63
"6866-1",247926,1,"Black","System: Transportation Means, Aviation",2479,"Rotor","http://cache.lego.com/media/bricks/5/1/247926.jpg",142
"6866-1",4289255,2,"Black","System: Transportation Means, Aviation",2421,"Propeller","http://cache.lego.com/media/bricks/5/1/4289255.jpg",60
"6866-1",4651541,1,"Black","System: Transportation Means, Aviation",2340,"Rudder 1X4X3","http://cache.lego.com/media/bricks/5/1/4651541.jpg",17
"6866-1",4578677,6,"Black","System: Tyres And Rims For Snap Ø3,2",87414,"Tyre High Narrow Ø15 X 6","http://cache.lego.com/media/bricks/5/1/4578677.jpg",74
"6866-1",6064174,2,"Black","System: Tyres And Rims, Special",50861,"Tyre Ø 20.9 X 5.8","http://cache.lego.com/media/bricks/5/1/6064174.jpg",49
"6866-1",4530673,1,"Black","System: Wheel Base",50859,"Motorcycle Frame 6M","http://cache.lego.com/media/bricks/5/1/4530673.jpg",49
"6866-1",6092658,2,"Black","System: Wheel Base",10313,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/6092658.jpg",60
"6866-1",4121715,2,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"6866-1",6017008,1,"Bright Red","System: Figure, Head Clothing",11809,"Helmet No. 9 'No. 1'","http://cache.lego.com/media/bricks/5/1/6017008.jpg",3
"6866-1",6003626,1,"Bright Red","System: Figure, Heads And Masks",10347,"Mini Head 'No. 971'","http://cache.lego.com/media/bricks/5/1/6003626.jpg",1
"6866-1",6004904,1,"Bright Red","System: Mini Figure",76382,"Mini Upper Part No.2062","http://cache.lego.com/media/bricks/5/1/6004904.jpg",1
"6866-1",6006843,1,"Bright Red","System: Mini Figure",73200,"Mini Lower Part 21/268","http://cache.lego.com/media/bricks/5/1/6006843.jpg",1
"6866-1",6023525,1,"Bright Red","System: Mini Figure",76382,"Mini Upper Part No.2051","http://cache.lego.com/media/bricks/5/1/6023525.jpg",1
"6866-1",6024074,1,"Bright Red","System: Mini Figure",10578,"Mini Lower Part 'No 348'","http://cache.lego.com/media/bricks/5/1/6024074.jpg",1
"6866-1",4529351,4,"Cool Silver, Drum Lacquered","System: Bricks, Special Circles And Angles",55525,"Rocket Point 1X1 Chrome-Lacqu.","http://cache.lego.com/media/bricks/5/1/4529351.jpg",20
"6866-1",4568952,1,"Dark Brown","System: Figure Accessories, Upper Body",88290,"Mini Sword Holder","http://cache.lego.com/media/bricks/5/1/4568952.jpg",9
"6866-1",6104180,1,"Dark Brown","System: Figure Accessories, Upper Body",88290,"Mini Sword Holder","http://cache.lego.com/media/bricks/5/1/6104180.jpg",14
"6866-1",4210798,2,"Dark Stone Grey","System: Bricks",6112,"Brick 1X12","http://cache.lego.com/media/bricks/5/1/4210798.jpg",41
"6866-1",4210875,2,"Dark Stone Grey","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4210875.jpg",136
"6866-1",4211099,2,"Dark Stone Grey","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/4211099.jpg",109
"6866-1",4211104,2,"Dark Stone Grey","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4211104.jpg",169
"6866-1",4211111,2,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/4211111.jpg",217
"6866-1",4623236,1,"Dark Stone Grey","System: Figure, Weapons",95199,"Mini Spacegun W.Rib Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4623236.jpg",64
"6866-1",4551044,1,"Dark Stone Grey","System: Frames, Windows, Walls And Doors",60594,"Frame 1X4X3","http://cache.lego.com/media/bricks/5/1/4551044.jpg",24
"6866-1",4211065,2,"Dark Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211065.jpg",578
