SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"6912-1",4162443,2,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"6912-1",6022160,1,"Black","System: Bricks, Special Circles And Angles",3942,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6022160.jpg",11
"6912-1",6092664,1,"Black","System: Bricks, Special Circles And Angles",14918,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6092664.jpg",32
"6912-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"6912-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"6912-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"6912-1",302226,2,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"6912-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"6912-1",4616245,1,"Black","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4616245.jpg",37
"6912-1",4246901,3,"Black","System: Tyres And Rims For Snap Ã˜3,2",50951,"Tyre Low Narrow Ã˜14.58 X 6.24","http://cache.lego.com/media/bricks/5/1/4246901.jpg",124
"6912-1",4121715,3,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"6912-1",4563044,3,"Black","Technic: Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",92
