SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70313-1",4538782,2,"Black","Miscellaneous: Miscellaneous Elements",64712,"Rim W. Studs Ø62","http://cache.lego.com/media/bricks/5/1/4538782.jpg",18
"70313-1",6012983,1,"Black","System: Bricks, Special",76766,"Bottom 2X5X2 1/3","http://cache.lego.com/media/bricks/5/1/6012983.jpg",40
"70313-1",4558957,2,"Black","System: Bricks, Special Circles And Angles",87081,"Brick 4X4 Round W. Ø4.9 W. Kl.","http://cache.lego.com/media/bricks/5/1/4558957.jpg",37
"70313-1",4653822,2,"Black","System: Bricks, Special Circles And Angles",98100,"2X2 Round,Slope Brick W. Knob","http://cache.lego.com/media/bricks/5/1/4653822.jpg",21
"70313-1",389526,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3895,"Brick 1X12, Ø4,9","http://cache.lego.com/media/bricks/5/1/389526.jpg",98
"70313-1",374726,1,"Black","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374726.jpg",172
"70313-1",6125682,1,"Black","System: Figure, Heads And Masks",23871,"Mini Head 'No.1800'","http://cache.lego.com/media/bricks/5/1/6125682.jpg",1
"70313-1",4124096,1,"Black","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4124096.jpg",232
"70313-1",6125703,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.3164","http://cache.lego.com/media/bricks/5/1/6125703.jpg",1
"70313-1",6125721,1,"Black","System: Mini Figure",23881,"Mini Lower Part 'No.948'","http://cache.lego.com/media/bricks/5/1/6125721.jpg",2
"70313-1",6128992,1,"Black","System: Plates",22385,"Flat Tile2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/6128992.jpg",17
"70313-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"70313-1",6117973,2,"Black","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117973.jpg",151
"70313-1",6105963,1,"Black","System: Plates, Special Circles And Angles",18980,"1/2 Circle Plate 2X6","http://cache.lego.com/media/bricks/5/1/6105963.jpg",22
"70313-1",370526,1,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
