SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70315-1",6039869,2,"Black","System: Bricks With Bows And Arches",13547,"Brick 1X4X1 Inv. Bow","http://cache.lego.com/media/bricks/5/1/6039869.jpg",49
"70315-1",6039194,1,"Black","System: Bricks, Special",11215,"Stone 1X2X1 1/3 W. 2 Plates 2X2","http://cache.lego.com/media/bricks/5/1/6039194.jpg",53
"70315-1",614326,2,"Black","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614326.jpg",239
"70315-1",6129250,1,"Black","System: Figure, Head Clothing",22425,"Mini Helmet No. 89","http://cache.lego.com/media/bricks/4/1/6129250.jpg",8
"70315-1",4598897,1,"Black","System: Figure, Weapons",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/1/4598897.jpg",134
"70315-1",6125693,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.3162","http://cache.lego.com/media/bricks/5/1/6125693.jpg",7
"70315-1",6125717,1,"Black","System: Mini Figure",23880,"Mini Lower Part 'No.947'","http://cache.lego.com/media/bricks/5/1/6125717.jpg",10
"70315-1",302226,3,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"70315-1",4162982,1,"Black","System: Plates",42125,"Flat Tile 1X2 'No. 70'","http://cache.lego.com/media/bricks/5/1/4162982.jpg",59
"70315-1",4183060,2,"Black","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183060.jpg",116
"70315-1",6066102,6,"Black","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6066102.jpg",117
"70315-1",6099483,1,"Black","System: Plates, Special",18649,"Plate 1X2 W. 2 Shafts Ø 3.2","http://cache.lego.com/media/bricks/5/1/6099483.jpg",67
"70315-1",370526,1,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"70315-1",370626,4,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"70315-1",662826,4,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/662826.jpg",77
"70315-1",4121715,6,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"70315-1",4184169,4,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/4184169.jpg",317
"70315-1",6129249,1,"Black","Various: Category Not Known",12618,"Skulder Armor","http://cache.lego.com/media/bricks/5/1/6129249.jpg",7
"70315-1",4622179,1,"Bright Blue","System: Bricks With Slope, Special",43711,"Right Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4622179.jpg",10
"70315-1",4622180,1,"Bright Blue","System: Bricks With Slope, Special",43710,"Left Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4622180.jpg",10
