SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70317-1",4143751,4,"Black","System: Bricks, Special",30541,"Brick 1X2 W/Stub Horiz. End","http://cache.lego.com/media/bricks/5/1/4143751.jpg",32
"70317-1",273026,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2730,"Technic Brick 1X10 Ø4.9","http://cache.lego.com/media/bricks/5/1/273026.jpg",141
"70317-1",4233487,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"70317-1",4658977,1,"Black","System: Bricks, With Slope",72454,"Roof Tile 4X4/45° Inv.","http://cache.lego.com/media/bricks/5/1/4658977.jpg",32
"70317-1",400626,1,"Black","System: Figure Accessories In Hand",4006,"Screwdriver/Spanner","http://cache.lego.com/media/bricks/5/1/400626.jpg",219
"70317-1",452226,1,"Black","System: Figure Accessories In Hand",4522,"Hammer","http://cache.lego.com/media/bricks/5/1/452226.jpg",133
"70317-1",6129250,1,"Black","System: Figure, Head Clothing",22425,"Mini Helmet No. 89","http://cache.lego.com/media/bricks/4/1/6129250.jpg",8
"70317-1",449726,1,"Black","System: Figure, Weapons",4497,"Spear","http://cache.lego.com/media/bricks/5/1/449726.jpg",70
"70317-1",6133717,1,"Black","System: Functional Elements",16968,"Disk Shooter 1 X 4","http://cache.lego.com/media/bricks/5/1/6133717.jpg",5
"70317-1",6125693,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.3162","http://cache.lego.com/media/bricks/5/1/6125693.jpg",7
"70317-1",6125717,1,"Black","System: Mini Figure",23880,"Mini Lower Part 'No.947'","http://cache.lego.com/media/bricks/5/1/6125717.jpg",10
"70317-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"70317-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"70317-1",306826,1,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"70317-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"70317-1",408126,4,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"70317-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"70317-1",6000650,2,"Black","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/6000650.jpg",162
"70317-1",6016172,2,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"70317-1",6052126,4,"Black","System: Plates, Special",99206,"Plate 2X2X2/3 W. 2. Hor. Knob","http://cache.lego.com/media/bricks/5/1/6052126.jpg",70
"70317-1",370526,5,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"70317-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
