SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70401-1",6037638,1,"Black","System: Animals And Creatures",10509,"Animal No.11 Ass. No. 4","http://cache.lego.com/media/bricks/5/1/6037638.jpg",3
"70401-1",300426,1,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"70401-1",300926,2,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"70401-1",4533771,4,"Black","System: Bricks, Special",60475,"Brick 1X1 W/Holder, H0Rizontal","http://cache.lego.com/media/bricks/5/1/4533771.jpg",83
"70401-1",654126,8,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654126.jpg",220
"70401-1",366026,2,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"70401-1",428626,2,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"70401-1",4273703,2,"Black","System: Bricks, With Slope",3678,"Roof Tile 2X2X2/65 Deg.","http://cache.lego.com/media/bricks/5/1/4273703.jpg",57
"70401-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"70401-1",4636202,2,"Black","System: Bricks, With Slope",2449,"Roof Tile 1X2X3/74° Inv.","http://cache.lego.com/media/bricks/5/1/4636202.jpg",15
"70401-1",4209159,2,"Black","System: Connectors",2714,"Technic Stick","http://cache.lego.com/media/bricks/5/1/4209159.jpg",19
"70401-1",4226000,1,"Black","System: Figure, Head Clothing",48493,"Dark Knight Helmet","http://cache.lego.com/media/bricks/5/1/4226000.jpg",23
"70401-1",4161403,1,"Black","System: Figure, Weapons",2488,"Whip","http://cache.lego.com/media/bricks/5/1/4161403.jpg",29
"70401-1",4535834,2,"Black","System: Frames, Windows, Walls And Doors",60596,"Frame 1X4X6","http://cache.lego.com/media/bricks/5/1/4535834.jpg",110
"70401-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"70401-1",6039762,1,"Black","System: Mini Figure",76382,"Mini Upper Part No. 2395","http://cache.lego.com/media/bricks/5/1/6039762.jpg",5
"70401-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"70401-1",302326,1,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"70401-1",663626,2,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
