SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70402-1",6037638,1,"Black","System: Animals And Creatures",10509,"Animal No.11 Ass. No. 4","http://cache.lego.com/media/bricks/5/1/6037638.jpg",3
"70402-1",4533771,2,"Black","System: Bricks, Special",60475,"Brick 1X1 W/Holder, H0Rizontal","http://cache.lego.com/media/bricks/5/1/4533771.jpg",83
"70402-1",4563681,2,"Black","System: Bricks, Special",60583,"Brick 1X1X3 W. 2 Grip","http://cache.lego.com/media/bricks/5/1/4563681.jpg",21
"70402-1",428626,4,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"70402-1",6066113,2,"Black","System: Fences And Ladders",15332,"Fence 1X4X2 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/6066113.jpg",37
"70402-1",6039890,1,"Black","System: Figure Accessories, Upper Body",14494,"Mini Armour 'No. 31'","http://cache.lego.com/media/bricks/5/1/6039890.jpg",3
"70402-1",4650900,1,"Black","System: Figure, Head Clothing",89520,"Mini Knight`S Helmet Closed","http://cache.lego.com/media/bricks/5/1/4650900.jpg",4
"70402-1",6037506,1,"Black","System: Figure, Head Clothing",3844,"Mini Knights Helmet","http://cache.lego.com/media/bricks/5/1/6037506.jpg",13
"70402-1",384926,1,"Black","System: Figure, Weapons",3849,"Mini Lance","http://cache.lego.com/media/bricks/5/1/384926.jpg",88
"70402-1",393726,2,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"70402-1",6008363,2,"Black","System: Gates And Roofs",42448,"Lattice Lid 4X7 2/3","http://cache.lego.com/media/bricks/5/1/6008363.jpg",17
"70402-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"70402-1",6039761,2,"Black","System: Mini Figure",76382,"Mini Upper Part No. 2394","http://cache.lego.com/media/bricks/5/1/6039761.jpg",3
"70402-1",6039766,1,"Black","System: Mini Figure",14460,"Mini Lower Part No. 518","http://cache.lego.com/media/bricks/5/1/6039766.jpg",2
"70402-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
