SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7065-1",4563477,3,"Black","System: Animals And Creatures",87747,"Tooth Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4563477.jpg",62
"7065-1",370226,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/1/370226.jpg",184
"7065-1",4158848,2,"Black","System: Connectors",30552,"Fric/Stump With Cross Hole","http://cache.lego.com/media/bricks/5/1/4158848.jpg",80
"7065-1",4289538,1,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"7065-1",6018819,1,"Black","System: Figure Accessories In Hand",12172,"Microphone Ø3.2 Shaft 'No. 1'","http://cache.lego.com/media/bricks/5/1/6018819.jpg",5
"7065-1",4590766,1,"Black","System: Figure, Special",92160,"Microphone Ø3.2 Shaft 'No. 1'","http://cache.lego.com/media/bricks/5/1/4590766.jpg",5
"7065-1",4526756,1,"Black","System: Figure, Wigs",62711,"Wig Lady Page","http://cache.lego.com/media/bricks/5/1/4526756.jpg",22
"7065-1",4490248,1,"Black","System: Functional Elements",2856,"Technic Turn Table, Bottom","http://cache.lego.com/media/bricks/5/1/4490248.jpg",8
"7065-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7065-1",4623603,1,"Black","System: Mini Figure",76382,"Mini Upper Part No. 1782","http://cache.lego.com/media/bricks/5/1/4623603.jpg",1
"7065-1",302026,6,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"7065-1",303526,1,"Black","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",211
"7065-1",306826,3,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"7065-1",255526,3,"Black","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255526.jpg",359
"7065-1",4514342,1,"Black","System: Plates, Special",30033,"Parabolic Ring","http://cache.lego.com/media/bricks/5/1/4514342.jpg",10
"7065-1",4515340,2,"Black","System: Plates, Special",60471,"Plate 1X2 W/Fork, Vertical","http://cache.lego.com/media/bricks/5/1/4515340.jpg",78
"7065-1",4556158,4,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"7065-1",6018805,1,"Black","System: Plates, Special",75937,"Parabolic Ring","http://cache.lego.com/media/bricks/5/1/6018805.jpg",94
"7065-1",403226,24,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"7065-1",4621929,8,"Black","System: Transportation Means, Trains",85976,"Track Bow 4M 45 Degrees","http://cache.lego.com/media/bricks/5/1/4621929.jpg",2
"7065-1",4142135,1,"Black","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4142135.jpg",215
"7065-1",4286267,1,"Black","Technic: Beams W/ Ball And Ball Cup",53585,"Fric. Element, Ball Ø 10.2","http://cache.lego.com/media/bricks/5/1/4286267.jpg",102
"7065-1",4497946,1,"Black","Technic: Beams, Special",58177,"Block 3X3 W. Cross Axle","http://cache.lego.com/media/bricks/5/1/4497946.jpg",15
"7065-1",4107085,5,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",347
"7065-1",4121715,20,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"7065-1",4526982,2,"Black","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526982.jpg",183
