SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70744-1",300126,1,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"70744-1",4558954,2,"Black","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4558954.jpg",148
"70744-1",4538456,1,"Black","System: Figure Accessories In Hand",64644,"Stick Ø3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/1/4538456.jpg",140
"70744-1",6115166,1,"Black","System: Figure, Heads And Masks",21182,"Mini Head 'No. 1681'","http://cache.lego.com/media/bricks/5/1/6115166.jpg",4
"70744-1",6110042,1,"Black","System: Functional Elements",18585,"2*4 Launcher","http://cache.lego.com/media/bricks/5/1/6110042.jpg",8
"70744-1",6110044,1,"Black","System: Functional Elements, Gear Wheels And Racks",18590,"Gearwheel Z8 W/4,85 Hole","http://cache.lego.com/media/bricks/5/1/6110044.jpg",8
"70744-1",6016172,3,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"70744-1",6020193,3,"Black","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6020193.jpg",159
"70744-1",4278359,1,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"70744-1",395726,1,"Black","System: Signs, Flags And Poles",3957,"Whip/Aerial","http://cache.lego.com/media/bricks/5/1/395726.jpg",210
"70744-1",6093525,1,"Black","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6093525.jpg",69
"70744-1",6109891,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",16965,"Rip Cord M1 5*32M","http://cache.lego.com/media/bricks/5/1/6109891.jpg",8
"70744-1",6012451,2,"Dark Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",10928,"Gear Wheel T=8, M=1","http://cache.lego.com/media/bricks/5/1/6012451.jpg",143
"70744-1",6109925,1,"Earth Blue","System: Bricks With Special Bows And Angles",43713,"Brick 4 X 6 W/Bow, Inverted","http://cache.lego.com/media/bricks/5/1/6109925.jpg",5
"70744-1",6109996,1,"Earth Blue","System: Bricks With Special Bows And Angles",43712,"Brick 4X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/6109996.jpg",2
"70744-1",6110004,2,"Earth Blue","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/6110004.jpg",5
"70744-1",6114954,1,"Earth Blue","System: Mini Figure",76382,"Mini Upper Part No.3018","http://cache.lego.com/media/bricks/5/1/6114954.jpg",4
"70744-1",4530028,4,"Earth Blue","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4530028.jpg",52
"70744-1",6114929,1,"Multicombination","System: Figure, Head Clothing",20568,"Mini Hat No. 4","http://cache.lego.com/media/bricks/5/1/6114929.jpg",6
"70744-1",4655313,1,"Silver Metallic","System: Rubbers And Strings",92338,"Chain 6 M","http://cache.lego.com/media/bricks/5/1/4655313.jpg",11
"70744-1",6109564,1,"Spring Yellowish Green","System: Figure Accessories In Hand",18395,"Flame Tribal W/Shaft Ø3.2 Mm","http://cache.lego.com/media/bricks/5/1/6109564.jpg",3
"70744-1",6116600,2,"Spring Yellowish Green","System: Figure, Weapons",21459,"Ninja Sword","http://cache.lego.com/media/bricks/5/1/6116600.jpg",11
"70744-1",6057898,2,"Spring Yellowish Green","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/6057898.jpg",16
"70744-1",6113047,1,"Spring Yellowish Green","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6113047.jpg",5
"70744-1",6116776,1,"Spring Yellowish Green","System: Plates, Special Circles And Angles",21502,"Flat Tile 2X2, Round 'No 1027'","http://cache.lego.com/media/bricks/5/1/6116776.jpg",4
"70744-1",6117276,1,"Spring Yellowish Green","Technic: Transportation Means, Aviation",18592,"Propeller D103","http://cache.lego.com/media/bricks/5/1/6117276.jpg",1
"70744-1",4617221,1,"Titanium Metallic","System: Figure, Special",3848,"Mini Battle Axe","http://cache.lego.com/media/bricks/5/1/4617221.jpg",16
"70744-1",4646870,1,"Titanium Metallic","System: Figure, Weapons",98139,"Mini Sai W/Ø3.2","http://cache.lego.com/media/bricks/5/1/4646870.jpg",9
"70744-1",6108477,1,"Transparent","Technic: Decoration Elements",18591,"Deco Cone D31,3*5M W/4.85 Bush","http://cache.lego.com/media/bricks/5/1/6108477.jpg",8
"70744-1",6125992,1,"Transparent Fluorescent Green","System: Mini Figure",23887,"Mini Lower Part '949'","http://cache.lego.com/media/bricks/5/1/6125992.jpg",2
"70744-1",6114925,1,"Warm Gold","System: Figure, Weapons",19807,"Shurican Star Ø3,2","http://cache.lego.com/media/bricks/4/1/6114925.jpg",16
