SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70747-1",301026,1,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"70747-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"70747-1",6092664,1,"Black","System: Bricks, Special Circles And Angles",14918,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6092664.jpg",32
"70747-1",428726,2,"Black","System: Bricks, With Slope",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/428726.jpg",97
"70747-1",4515362,4,"Black","System: Bricks, With Slope",60477,"Roof Tile 1X4X1","http://cache.lego.com/media/bricks/5/1/4515362.jpg",55
"70747-1",4185272,1,"Black","System: Decoration Elements",44675,"2X2 Front With Suction","http://cache.lego.com/media/bricks/5/1/4185272.jpg",31
"70747-1",6021752,1,"Black","System: Decoration Elements",44675,"2X2 Front With Suction","http://cache.lego.com/media/bricks/5/1/6021752.jpg",14
"70747-1",6102011,1,"Black","System: Figure, Head Clothing",19770,"Mini Ninja  Mask 2 'No.16'","http://cache.lego.com/media/bricks/5/1/6102011.jpg",2
"70747-1",4500902,1,"Black","System: Functional Elements, Gear Wheels And Racks",6585,"Conical Wheel Block 4X4","http://cache.lego.com/media/bricks/5/1/4500902.jpg",37
"70747-1",6099481,1,"Black","System: Mini Figure",19367,"Mini Lower Part '775'","http://cache.lego.com/media/bricks/5/1/6099481.jpg",2
"70747-1",6099780,1,"Black","System: Mini Figure",76382,"Mini Upper Part No. 2854","http://cache.lego.com/media/bricks/5/1/6099780.jpg",2
"70747-1",303226,2,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"70747-1",306926,8,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"70747-1",4114689,2,"Black","System: Plates, Special",32124,"Technic Rotor, 2 Blades","http://cache.lego.com/media/bricks/5/1/4114689.jpg",73
"70747-1",4535739,16,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"70747-1",6018805,3,"Black","System: Plates, Special",75937,"Parabolic Ring","http://cache.lego.com/media/bricks/5/1/6018805.jpg",94
"70747-1",4143180,1,"Black","System: Plates, Special Circles And Angles",30355,"Left Wing 6X12","http://cache.lego.com/media/bricks/5/1/4143180.jpg",25
"70747-1",4143181,1,"Black","System: Plates, Special Circles And Angles",30356,"Right Wing 6X12","http://cache.lego.com/media/bricks/5/1/4143181.jpg",25
"70747-1",6019988,1,"Black","System: Tyres And Rims, Special",11094,"Wheel W/Ø3.2 Ø2.3","http://cache.lego.com/media/bricks/5/1/6019988.jpg",10
