SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70756-1",300326,2,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"70756-1",4116854,2,"Black","System: Bricks With Bows And Arches",30099,"Brick With Bow 1X5X4 Inv.","http://cache.lego.com/media/bricks/5/1/4116854.jpg",19
"70756-1",6047276,2,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"70756-1",428626,4,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"70756-1",4273703,2,"Black","System: Bricks, With Slope",3678,"Roof Tile 2X2X2/65 Deg.","http://cache.lego.com/media/bricks/5/1/4273703.jpg",57
"70756-1",4504382,4,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"70756-1",6022242,1,"Black","System: Figure, Head Clothing",98128,"Samurai Helmet W/Ø3.2 Holder","http://cache.lego.com/media/bricks/5/1/6022242.jpg",12
"70756-1",4656377,2,"Black","System: Figure, Weapons",43887,"Scimitar","http://cache.lego.com/media/bricks/5/1/4656377.jpg",11
"70756-1",4535834,2,"Black","System: Frames, Windows, Walls And Doors",60596,"Frame 1X4X6","http://cache.lego.com/media/bricks/5/1/4535834.jpg",110
"70756-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"70756-1",6102696,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.2907","http://cache.lego.com/media/bricks/5/1/6102696.jpg",1
"70756-1",366626,1,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"70756-1",447726,4,"Black","System: Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/447726.jpg",237
"70756-1",663626,1,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
"70756-1",4556158,2,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"70756-1",6000650,2,"Black","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/6000650.jpg",162
"70756-1",403226,3,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"70756-1",233526,1,"Black","System: Signs, Flags And Poles",2335,"Flag With 2 Holders","http://cache.lego.com/media/bricks/5/1/233526.jpg",43
"70756-1",6011815,1,"Black","System: Signs, Flags And Poles",11055,"Flag With 2 Holders","http://cache.lego.com/media/bricks/5/1/6011815.jpg",29
"70756-1",4261885,2,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleon Arm","http://cache.lego.com/media/bricks/5/1/4261885.jpg",52
"70756-1",4508093,2,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",59230,"Space  Arm, Angled H.","http://cache.lego.com/media/bricks/5/1/4508093.jpg",37
"70756-1",6097210,1,"Brick Yellow","System: Figure, Head Clothing",18962,"Mini Figure Helmet No 66","http://cache.lego.com/media/bricks/5/1/6097210.jpg",10
"70756-1",4655257,1,"Brick Yellow","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4655257.jpg",32
"70756-1",4161734,2,"Brick Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4161734.jpg",140
"70756-1",235721,2,"Bright Red","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235721.jpg",92
"70756-1",4143832,4,"Bright Red","System: Bricks",3245,"Brick 1X2X2","http://cache.lego.com/media/bricks/5/1/4143832.jpg",47
"70756-1",407021,2,"Bright Red","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407021.jpg",167
