SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70802-1",235726,1,"Black","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235726.jpg",148
"70802-1",300426,2,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"70802-1",4181144,1,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"70802-1",4522034,2,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"70802-1",6037746,2,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"70802-1",4160108,2,"Black","System: Bricks With Special Bows And Angles",41747,"Right Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4160108.jpg",50
"70802-1",4160130,2,"Black","System: Bricks With Special Bows And Angles",41748,"Left Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4160130.jpg",50
"70802-1",4161266,2,"Black","System: Bricks With Special Bows And Angles",41764,"Right Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/1/4161266.jpg",21
"70802-1",4161281,2,"Black","System: Bricks With Special Bows And Angles",41765,"Left Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/1/4161281.jpg",21
"70802-1",4220539,2,"Black","System: Bricks, With Slope",3049,"Attic 1X2/45°","http://cache.lego.com/media/bricks/5/1/4220539.jpg",35
"70802-1",4504382,4,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"70802-1",4548180,5,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"70802-1",4667463,4,"Black","System: Cranes And Scaffold",95347,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4667463.jpg",34
"70802-1",6055554,1,"Black","System: Figure, Head Clothing",15851,"Mini  Helmet No 26 Ass.","http://cache.lego.com/media/bricks/5/1/6055554.jpg",4
"70802-1",393726,3,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"70802-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"70802-1",6057687,1,"Black","System: Mini Figure",76382,"Mini Upperbody No. 2544","http://cache.lego.com/media/bricks/5/1/6057687.jpg",3
"70802-1",241226,4,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"70802-1",242026,4,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"70802-1",243126,1,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
