SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70804-1",301026,1,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"70804-1",4613153,2,"Black","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4613153.jpg",78
"70804-1",306226,1,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"70804-1",4158848,2,"Black","System: Connectors",30552,"Fric/Stump With Cross Hole","http://cache.lego.com/media/bricks/5/1/4158848.jpg",80
"70804-1",4289538,2,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"70804-1",6057690,1,"Black","System: Mini Figure",76382,"Mini Upperbody No. 2546","http://cache.lego.com/media/bricks/5/1/6057690.jpg",1
"70804-1",6058096,1,"Black","System: Mini Figure",16310,"Mini Lower Part 'No. 611'","http://cache.lego.com/media/bricks/5/1/6058096.jpg",1
"70804-1",241226,2,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"70804-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"70804-1",306826,3,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"70804-1",371026,2,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"70804-1",4243819,2,"Black","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243819.jpg",273
"70804-1",6058118,2,"Black","System: Plates",64799,"Frame Plate 4X4","http://cache.lego.com/media/bricks/5/1/6058118.jpg",13
"70804-1",4107761,2,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"70804-1",4660876,2,"Black","System: Transportation Means, Aviation",98302,"Jet Engine","http://cache.lego.com/media/bricks/5/1/4660876.jpg",19
"70804-1",4568644,4,"Black","System: Tyres And Rims For Snap Ø3,2",87697,"Tyre Normal Wide Ø21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"70804-1",4109810,4,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
"70804-1",4184169,1,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/4184169.jpg",317
"70804-1",6058126,1,"Brick Yellow","Miscellaneous: Miscellaneous Elements",64713,"Conical Drill With Spikes","http://cache.lego.com/media/bricks/5/1/6058126.jpg",1
"70804-1",4529237,1,"Brick Yellow","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529237.jpg",47
"70804-1",6017003,6,"Brick Yellow","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6017003.jpg",36
"70804-1",6013938,2,"Brick Yellow","Technic: Connectors",32002,"1 1/2 M Connecting Bush","http://cache.lego.com/media/bricks/5/1/6013938.jpg",111
"70804-1",614323,1,"Bright Blue","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614323.jpg",52
"70804-1",4206482,6,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"70804-1",4618655,2,"Bright Purple","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/4618655.jpg",11
