SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70809-1",6058016,1,"Aqua","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/6058016.jpg",5
"70809-1",4563477,6,"Black","System: Animals And Creatures",87747,"Tooth Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4563477.jpg",62
"70809-1",245426,6,"Black","System: Bricks",2454,"Brick 1X2X5","http://cache.lego.com/media/bricks/5/1/245426.jpg",57
"70809-1",246526,1,"Black","System: Bricks",2465,"Brick 1X16","http://cache.lego.com/media/bricks/5/1/246526.jpg",70
"70809-1",287726,6,"Black","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",147
"70809-1",300426,4,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"70809-1",300526,14,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"70809-1",300826,2,"Black","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300826.jpg",165
"70809-1",362226,10,"Black","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/362226.jpg",291
"70809-1",4299388,6,"Black","System: Bricks With Bows And Arches",6183,"Arch 1X6X2","http://cache.lego.com/media/bricks/5/1/4299388.jpg",17
"70809-1",473326,2,"Black","System: Bricks, Special",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/473326.jpg",135
"70809-1",4162235,2,"Black","System: Bricks, Special",40902,"Brick 2X2 Fric/Fork Vert./End","http://cache.lego.com/media/bricks/5/1/4162235.jpg",38
"70809-1",4265484,2,"Black","System: Bricks, Special",30364,"Brick 1X2 W/Stub Vertical End","http://cache.lego.com/media/bricks/5/1/4265484.jpg",29
"70809-1",6052796,1,"Black","System: Bricks, Special",90258,"Brick 2X2 W/Groove A.Cr.Hole","http://cache.lego.com/media/bricks/5/1/6052796.jpg",2
"70809-1",370126,8,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",223
"70809-1",654126,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654126.jpg",220
"70809-1",303926,6,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"70809-1",329826,4,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"70809-1",366026,4,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"70809-1",428726,6,"Black","System: Bricks, With Slope",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/428726.jpg",97
"70809-1",446026,2,"Black","System: Bricks, With Slope",4460,"Roof Tile 1X2X3/73°","http://cache.lego.com/media/bricks/5/1/446026.jpg",66
"70809-1",4121966,12,"Black","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121966.jpg",308
