SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70814-1",301026,4,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"70814-1",4213374,2,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"70814-1",4216660,2,"Black","System: Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4216660.jpg",93
"70814-1",389426,6,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/389426.jpg",160
"70814-1",4233487,7,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"70814-1",366526,16,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"70814-1",428626,4,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"70814-1",428726,2,"Black","System: Bricks, With Slope",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/428726.jpg",97
"70814-1",241226,14,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"70814-1",302326,11,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"70814-1",303226,1,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"70814-1",4565323,2,"Black","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565323.jpg",123
"70814-1",243226,4,"Black","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/243226.jpg",233
"70814-1",601926,6,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"70814-1",4517925,6,"Black","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4517925.jpg",191
"70814-1",4616245,2,"Black","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4616245.jpg",37
"70814-1",6018805,2,"Black","System: Plates, Special",75937,"Parabolic Ring","http://cache.lego.com/media/bricks/5/1/6018805.jpg",94
"70814-1",614126,6,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"70814-1",4515350,6,"Black","System: Plates, Special Circles And Angles",60474,"Plate 4X4 Round W. Snap","http://cache.lego.com/media/bricks/5/1/4515350.jpg",88
"70814-1",6023342,2,"Black","System: Transportation Means, Vehicles",30394,"Shovel 4X6X2 1/3 Fric/Fork","http://cache.lego.com/media/bricks/5/1/6023342.jpg",3
"70814-1",6117932,2,"Black","System: Transportation Means, Vehicles",21709,"Shovel 4X6X2 1/3 Fric/Fork","http://cache.lego.com/media/bricks/4/1/6117932.jpg",7
"70814-1",4180576,4,"Black","System: Tyres And Rims, Special",43903,"Grease Band 151Mm X 2M","http://cache.lego.com/media/bricks/5/1/4180576.jpg",26
"70814-1",370526,4,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"70814-1",4107082,2,"Black","Technic: Connectors",32016,"Angle Element, 157,5 Degr. [3]","http://cache.lego.com/media/bricks/5/1/4107082.jpg",152
"70814-1",4121715,4,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"70814-1",4177431,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",270
"70814-1",4514554,12,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"70814-1",4666579,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"70814-1",300323,4,"Bright Blue","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300323.jpg",359
"70814-1",4212411,2,"Bright Blue","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4212411.jpg",55
"70814-1",6077615,2,"Bright Blue","System: Bricks, Special Circles And Angles",4742,"Cone Ø32/Ø16","http://cache.lego.com/media/bricks/5/1/6077615.jpg",2
"70814-1",6073088,4,"Bright Blue","System: Frames, Windows, Walls And Doors",6218,"Wall Element, Round 2X4X4","http://cache.lego.com/media/bricks/5/1/6073088.jpg",1
"70814-1",6106028,4,"Bright Blue","System: Frames, Windows, Walls And Doors",20430,"Wall Element, Round 2X4X4","http://cache.lego.com/media/bricks/5/1/6106028.jpg",1
"70814-1",393723,2,"Bright Blue","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393723.jpg",57
"70814-1",302223,2,"Bright Blue","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302223.jpg",366
"70814-1",379423,4,"Bright Blue","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379423.jpg",127
"70814-1",4568990,2,"Bright Blue","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4568990.jpg",24
"70814-1",403223,2,"Bright Blue","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403223.jpg",101
"70814-1",70904,1,"Bright Blue","System: Rubbers And Strings",70904,"V-Belt Ø26, Blue","http://cache.lego.com/media/bricks/5/1/70904.jpg",52
"70814-1",4544147,1,"Bright Blue","System: Rubbers And Strings",85545,"V-Belt Ø26, Blue","http://cache.lego.com/media/bricks/5/1/4544147.jpg",19
"70814-1",4143005,6,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"70814-1",4206482,2,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"70814-1",4514553,26,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",585
"70814-1",6058044,1,"Bright Orange","System: Figure Accessories, Upper And Lower Part",16287,"Mini Lower Part 'No. 605'","http://cache.lego.com/media/bricks/5/1/6058044.jpg",12
"70814-1",6057682,1,"Bright Orange","System: Mini Figure",76382,"Mini Upperbody No. 2538","http://cache.lego.com/media/bricks/5/1/6057682.jpg",12
"70814-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"70814-1",6055617,1,"Bright Red","System: Animals And Creatures",89522,"Conical Horn Ø 3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6055617.jpg",2
"70814-1",235721,2,"Bright Red","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235721.jpg",92
"70814-1",6072686,1,"Bright Red","System: Bricks",17487,"Brick 1X3 'No. 4'","http://cache.lego.com/media/bricks/5/1/6072686.jpg",1
"70814-1",6072690,1,"Bright Red","System: Bricks With Bows And Arches",17488,"Brick W. Bow 1X3  'No. 2'","http://cache.lego.com/media/bricks/5/1/6072690.jpg",2
"70814-1",654121,4,"Bright Red","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654121.jpg",85
"70814-1",4504379,2,"Bright Red","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504379.jpg",222
"70814-1",4220515,1,"Bright Red","System: Decoration Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/4220515.jpg",67
"70814-1",6055600,1,"Bright Red","System: Decoration Elements",15858,"Designing Plate 1X2X2 'No. 2'","http://cache.lego.com/media/bricks/5/1/6055600.jpg",2
"70814-1",362321,1,"Bright Red","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362321.jpg",223
"70814-1",246021,2,"Bright Red","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/246021.jpg",61
"70814-1",6014616,2,"Bright Red","System: Plates, Special",10247,"Plate 2X2 + One Hule Ø4,8","http://cache.lego.com/media/bricks/5/1/6014616.jpg",31
"70814-1",403221,2,"Bright Red","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403221.jpg",211
"70814-1",614121,1,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
