SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"70816-1",9339,1,"Black","System",73200,"Mini Body Lower Part Black","https://www.lego.com/service/bricks/5/2/9339",805
"70816-1",235726,6,"Black","System",2357,"Brick Corner 1X2X2","https://www.lego.com/service/bricks/5/2/235726",177
"70816-1",242026,6,"Black","System",2420,"Corner Plate 1X2X2","https://www.lego.com/service/bricks/5/2/242026",442
"70816-1",255526,4,"Black","System",2555,"Plate 1X1 W. Up Right Holder","https://www.lego.com/service/bricks/5/2/255526",360
"70816-1",265326,8,"Black","System",2653,"Sliding Piece 1X4","https://www.lego.com/service/bricks/5/2/265326",94
"70816-1",281726,4,"Black","System",2817,"Technic Doub. Bearing Pl. 2X2","https://www.lego.com/service/bricks/5/2/281726",229
"70816-1",300126,1,"Black","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300126",587
"70816-1",300326,1,"Black","System",3003,"Brick 2X2","https://www.lego.com/service/bricks/5/2/300326",564
"70816-1",366526,10,"Black","System",3665,"Roof Tile 1X2 Inv.","https://www.lego.com/service/bricks/5/2/366526",271
"70816-1",371026,8,"Black","System",3710,"Plate 1X4","https://www.lego.com/service/bricks/5/2/371026",1007
"70816-1",379526,1,"Black","System",3795,"Plate 2X6","https://www.lego.com/service/bricks/5/2/379526",768
"70816-1",400626,1,"Black","System",4006,"Screwdriver/Spanner","https://www.lego.com/service/bricks/5/2/400626",269
"70816-1",407026,4,"Black","System",4070,"Angular Brick 1X1","https://www.lego.com/service/bricks/5/2/407026",349
"70816-1",452226,1,"Black","System",4522,"Hammer","https://www.lego.com/service/bricks/5/2/452226",159
"70816-1",611126,3,"Black","System",6111,"Brick 1X10","https://www.lego.com/service/bricks/5/2/611126",97
"70816-1",3004626,2,"Black","System",30046,"Cavity W. Leads","https://www.lego.com/service/bricks/5/2/3004626",38
"70816-1",3200026,2,"Black","System",32000,"Brick 1X2 M. 2 Holes Ã˜ 4,87","https://www.lego.com/service/bricks/5/2/3200026",215
"70816-1",4143372,1,"Black","System",30553,"Fric/Fork W. Cross Hole","https://www.lego.com/service/bricks/5/2/4143372",163
"70816-1",4144025,2,"Black","System",32531,"4X6 Brick, Ã˜ 4,85","https://www.lego.com/service/bricks/5/2/4144025",70
"70816-1",4184617,2,"Black","System",44676,"Banner 26 Deg. M. 2 Holdere","https://www.lego.com/service/bricks/5/2/4184617",76
"70816-1",4295400,2,"Black","System",56570,"Roof Tile 2X2 No. '14'","https://www.lego.com/service/bricks/5/2/4295400",45
"70816-1",4504382,2,"Black","System",54200,"Roof Tile 1X1X2/3, Abs","https://www.lego.com/service/bricks/5/2/4504382",508
"70816-1",4515340,2,"Black","System",60471,"Plate 1X2 W/Fork, Vertical","https://www.lego.com/service/bricks/5/2/4515340",109
"70816-1",4522653,1,"Black","System",30171,"Flying Helmet","https://www.lego.com/service/bricks/5/2/4522653",57
"70816-1",4548180,4,"Black","System",85984,"Roof Tile 1 X 2 X 2/3, Abs","https://www.lego.com/service/bricks/5/2/4548180",415
"70816-1",4551168,3,"Black","System",86665,"Roof Tile 2X2 No. 15","https://www.lego.com/service/bricks/5/2/4551168",22
"70816-1",4581280,8,"Black","System",88292,"Brick With Bow 1X3X2","https://www.lego.com/service/bricks/5/2/4581280",40
"70816-1",4651541,2,"Black","System",2340,"Rudder 1X4X3","https://www.lego.com/service/bricks/5/2/4651541",26
"70816-1",6001494,2,"Black","System",91988,"Plate 2X14","https://www.lego.com/service/bricks/5/2/6001494",45
