SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"71170-1",6047276,2,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"71170-1",4548180,2,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"71170-1",4273590,2,"Black","System: Decoration Elements",49668,"Plate 1X1 W/Tooth","http://cache.lego.com/media/bricks/5/1/4273590.jpg",105
"71170-1",6062362,1,"Black","System: Figure Accessories, Upper And Lower Part",16580,"Mini Lower Part 'No. 628'","http://cache.lego.com/media/bricks/5/1/6062362.jpg",12
"71170-1",6055596,1,"Black","System: Figure Accessories, Upper Body",15853,"Hood 'No. 1'","http://cache.lego.com/media/bricks/5/1/6055596.jpg",11
"71170-1",6014618,1,"Black","System: Figure, Head Clothing",10113,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/6014618.jpg",32
"71170-1",4650620,3,"Black","System: Figure, Weapons",98721,"Boomerang Wing","http://cache.lego.com/media/bricks/5/1/4650620.jpg",44
"71170-1",6121894,1,"Black","System: Figure, Wigs",15844,"Mini  Wig No. 63 'No. 1'","http://cache.lego.com/media/bricks/5/1/6121894.jpg",11
"71170-1",393826,1,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"71170-1",6062098,1,"Black","System: Mini Figure",88585,"Mini Upperbody No. 2590","http://cache.lego.com/media/bricks/5/1/6062098.jpg",12
"71170-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"71170-1",302326,4,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"71170-1",6092585,2,"Black","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092585.jpg",108
"71170-1",6124650,1,"Black","System: Plates",23727,"Flat Tile 1X2 'No. 153'","http://cache.lego.com/media/bricks/5/1/6124650.jpg",6
"71170-1",601926,2,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"71170-1",4140588,3,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"71170-1",4535739,5,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"71170-1",6000650,1,"Black","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/6000650.jpg",162
"71170-1",6016172,1,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"71170-1",6099483,6,"Black","System: Plates, Special",18649,"Plate 1X2 W. 2 Shafts Ã˜ 3.2","http://cache.lego.com/media/bricks/5/1/6099483.jpg",67
"71170-1",6125260,1,"Black","System: Textiles",21845,"Special Mantle","http://cache.lego.com/media/bricks/4/1/6125260.jpg",14
"71170-1",4508215,4,"Black","System: Tyres And Rims For Snap Ã˜3,2",30028,"Tyre Normal Wide Ã˜14.6 X 9","http://cache.lego.com/media/bricks/5/1/4508215.jpg",171
"71170-1",6011382,4,"Black","System: Tyres And Rims For Snap Ã˜3,2",74967,"Rim Wide W.Hole Ã˜8.1 X 9","http://cache.lego.com/media/bricks/5/1/6011382.jpg",15
"71170-1",460026,1,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"71170-1",6122656,2,"Black","System: Wheel Base",21445,"Wheel Bearing 1X2X1/3 W/Mini Snap","http://cache.lego.com/media/bricks/5/1/6122656.jpg",20
"71170-1",4107765,2,"Black","Technic: Connectors",6553,"Catch","http://cache.lego.com/media/bricks/5/1/4107765.jpg",190
"71170-1",6089119,2,"Black","Technic: Connectors",18651,"Cross Axle 2M W. Snap W. Fric.","http://cache.lego.com/media/bricks/5/1/6089119.jpg",115
"71170-1",4113917,1,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"71170-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"71170-1",6108413,1,"Bright Yellow","System: Figure, Heads And Masks",20720,"Mini Head 'No.1644'","http://cache.lego.com/media/bricks/5/1/6108413.jpg",7
"71170-1",393724,1,"Bright Yellow","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393724.jpg",58
"71170-1",302024,1,"Bright Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302024.jpg",367
"71170-1",4535930,2,"Dark Stone Grey","System: Bricks, With Slope",60477,"Roof Tile 1X4X1","http://cache.lego.com/media/bricks/5/1/4535930.jpg",41
"71170-1",4289542,1,"Dark Stone Grey","System: Connectors",48729,"Stick Ã˜ 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289542.jpg",224
"71170-1",6006212,1,"Dark Stone Grey","System: Figure, Head Clothing",6131,"Magic Hat","http://cache.lego.com/media/bricks/5/1/6006212.jpg",10
"71170-1",4222693,2,"Dark Stone Grey","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4222693.jpg",179
"71170-1",6023403,1,"Dark Stone Grey","System: Mini Figure",76382,"Mini Upper Part No. 2053","http://cache.lego.com/media/bricks/5/1/6023403.jpg",13
"71170-1",6103106,1,"Dark Stone Grey","System: Mini Figure",76382,"Mini Upper Part No.2922","http://cache.lego.com/media/bricks/5/1/6103106.jpg",12
"71170-1",4211094,3,"Dark Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211094.jpg",499
"71170-1",4257526,1,"Dark Stone Grey","System: Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/4257526.jpg",167
"71170-1",6117642,1,"Dark Stone Grey","System: Plates",18601,"Plate 12X24 W/6X6 Round Cutout","http://cache.lego.com/media/bricks/5/1/6117642.jpg",8
"71170-1",6000606,1,"Dark Stone Grey","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6000606.jpg",230
