SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"71201-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"71201-1",6092585,1,"Black","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092585.jpg",108
"71201-1",4140588,1,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"71201-1",4598528,2,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"71201-1",6066102,2,"Black","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6066102.jpg",117
"71201-1",403226,1,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"71201-1",6093525,2,"Black","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6093525.jpg",69
"71201-1",4508215,4,"Black","System: Tyres And Rims For Snap Ø3,2",30028,"Tyre Normal Wide Ø14.6 X 9","http://cache.lego.com/media/bricks/5/1/4508215.jpg",171
"71201-1",6122461,1,"Bright Purple","System: Figure Accessories, Upper And Lower Part",22652,"Hoverboard 2X5 'No. 1'","http://cache.lego.com/media/bricks/5/1/6122461.jpg",1
"71201-1",6121723,1,"Bright Red","System: Figure Accessories In Hand",11640,"Electric Guitar Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/6121723.jpg",3
"71201-1",6047102,1,"Bright Red","System: Mini Figure",76382,"Mini Upper Part No. 2463","http://cache.lego.com/media/bricks/5/1/6047102.jpg",2
"71201-1",4535553,1,"Dark Brown","System: Figure, Wigs",62810,"Wig Boy","http://cache.lego.com/media/bricks/5/1/4535553.jpg",59
"71201-1",4210719,2,"Dark Stone Grey","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4210719.jpg",192
"71201-1",4211001,1,"Dark Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211001.jpg",489
"71201-1",6071226,2,"Dark Stone Grey","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6071226.jpg",98
"71201-1",6047054,1,"Light Nougat","System: Figure, Heads And Masks",15257,"Mini Head 'No. 1276'","http://cache.lego.com/media/bricks/5/1/6047054.jpg",2
"71201-1",6047056,1,"Medium Blue","System: Mini Figure",73200,"Mini Lower Part 102","http://cache.lego.com/media/bricks/5/1/6047056.jpg",20
"71201-1",6093859,2,"Medium Stone Grey","System: Bricks, With Slope",15672,"Roof Tile 1X2 45° W 1/3 Plate","http://cache.lego.com/media/bricks/5/1/6093859.jpg",21
"71201-1",4211644,2,"Medium Stone Grey","System: Connectors",4735,"Holder 16 Mm","http://cache.lego.com/media/bricks/5/1/4211644.jpg",37
"71201-1",4514195,2,"Medium Stone Grey","System: Figure Accessories In Hand",60849,"Nozzle W/Ø3.18, Shaft","http://cache.lego.com/media/bricks/5/1/4514195.jpg",74
"71201-1",4211503,2,"Medium Stone Grey","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/4211503.jpg",215
"71201-1",4211395,2,"Medium Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211395.jpg",551
"71201-1",4211445,1,"Medium Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211445.jpg",493
"71201-1",4560183,1,"Medium Stone Grey","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560183.jpg",210
"71201-1",4211477,2,"Medium Stone Grey","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4211477.jpg",129
"71201-1",4211568,2,"Medium Stone Grey","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4211568.jpg",189
"71201-1",4211632,2,"Medium Stone Grey","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4211632.jpg",187
"71201-1",6004990,4,"Medium Stone Grey","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6004990.jpg",97
