SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"71203-1",4568385,3,"Black","System: Animals And Creatures",88513,"Horn W. Shaft Ø 3.2","http://cache.lego.com/media/bricks/5/1/4568385.jpg",63
"71203-1",306226,2,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"71203-1",6015891,2,"Black","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015891.jpg",86
"71203-1",6122397,1,"Black","System: Figure, Weapons",22566,"Weapon No. 9 'No. 1'","http://cache.lego.com/media/bricks/5/1/6122397.jpg",1
"71203-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"71203-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"71203-1",6052126,2,"Black","System: Plates, Special",99206,"Plate 2X2X2/3 W. 2. Hor. Knob","http://cache.lego.com/media/bricks/5/1/6052126.jpg",70
"71203-1",6066102,1,"Black","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6066102.jpg",117
"71203-1",6099483,1,"Black","System: Plates, Special",18649,"Plate 1X2 W. 2 Shafts Ø 3.2","http://cache.lego.com/media/bricks/5/1/6099483.jpg",67
"71203-1",6100627,2,"Black","System: Plates, Special Circles And Angles",85861,"Pl.Round 1X1 W. Throughg. Hole","http://cache.lego.com/media/bricks/5/1/6100627.jpg",29
"71203-1",6093525,1,"Black","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6093525.jpg",69
"71203-1",6124602,1,"Bright Orange","System: Mini Figure",21019,"Mini Lower Part No. 2 106/01","http://cache.lego.com/media/bricks/5/1/6124602.jpg",1
"71203-1",6093516,1,"Dark Brown","System: Figure, Wigs",18227,"Mini Wig No. 5","http://cache.lego.com/media/bricks/5/1/6093516.jpg",18
"71203-1",6048854,2,"Dark Stone Grey","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6048854.jpg",118
"71203-1",6117972,2,"Dark Stone Grey","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117972.jpg",150
"71203-1",6124651,1,"Light Nougat","System: Figure, Heads And Masks",23710,"Mini Head 'No. 1777'","http://cache.lego.com/media/bricks/5/1/6124651.jpg",1
"71203-1",4211397,2,"Medium Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211397.jpg",527
"71203-1",6124833,5,"Medium Stone Grey","System: Plates",23767,"Flat Tile 2X2 'No. 274'","http://cache.lego.com/media/bricks/5/1/6124833.jpg",1
"71203-1",6126082,1,"Medium Stone Grey","System: Plates",23893,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/6126082.jpg",102
"71203-1",4541978,2,"Medium Stone Grey","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4541978.jpg",158
"71203-1",4654580,2,"Medium Stone Grey","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/4654580.jpg",256
"71203-1",6124825,4,"Medium Stone Grey","System: Plates, Special Circles And Angles",85861,"Pl.Round 1X1 W. Throughg. Hole","http://cache.lego.com/media/bricks/5/1/6124825.jpg",21
