SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"71206-1",4598897,1,"Black","System: Figure, Weapons",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/1/4598897.jpg",134
"71206-1",4508215,4,"Black","System: Tyres And Rims For Snap Ø3,2",30028,"Tyre Normal Wide Ø14.6 X 9","http://cache.lego.com/media/bricks/5/1/4508215.jpg",171
"71206-1",460026,2,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"71206-1",4114084,3,"Brick Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4114084.jpg",240
"71206-1",4124456,1,"Brick Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4124456.jpg",54
"71206-1",4565387,3,"Brick Yellow","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565387.jpg",44
"71206-1",6092587,1,"Brick Yellow","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092587.jpg",56
"71206-1",4106915,1,"Bright Red","System: Plants",3742,"Flowerhead","http://cache.lego.com/media/bricks/4/1/4106915.jpg",79
"71206-1",403221,2,"Bright Red","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403221.jpg",211
"71206-1",302224,1,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"71206-1",302324,3,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"71206-1",4164022,2,"Bright Yellowish Green","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4164022.jpg",137
"71206-1",4220634,2,"Bright Yellowish Green","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4220634.jpg",74
"71206-1",6123745,4,"Bright Yellowish Green","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/6123745.jpg",2
"71206-1",6121921,2,"Bright Yellowish Green","System: Figure, Head Clothing",64647,"Feather","http://cache.lego.com/media/bricks/5/1/6121921.jpg",1
"71206-1",6117683,1,"Bright Yellowish Green","System: Mini Figure",16360,"Mini Upper Part 2K No.3062","http://cache.lego.com/media/bricks/5/1/6117683.jpg",5
"71206-1",4187743,1,"Bright Yellowish Green","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4187743.jpg",96
"71206-1",4537936,1,"Bright Yellowish Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4537936.jpg",88
"71206-1",4617067,2,"Bright Yellowish Green","System: Plates, Special",93274,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/4617067.jpg",7
"71206-1",4632576,2,"Bright Yellowish Green","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4632576.jpg",28
"71206-1",6092766,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6092766.jpg",21
"71206-1",6121903,2,"Bright Yellowish Green","System: Transportation Means, Vehicles",60212,"Mudguard 2X4 W. Hole Ø4.9","http://cache.lego.com/media/bricks/5/1/6121903.jpg",9
"71206-1",4569058,2,"Dark Green","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4569058.jpg",53
"71206-1",6117778,1,"Light Nougat","System: Figure, Heads And Masks",21665,"Minihead 'No.1708'","http://cache.lego.com/media/bricks/5/1/6117778.jpg",3
"71206-1",4654128,2,"Light Purple","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4654128.jpg",36
"71206-1",6071246,2,"Medium Azur","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6071246.jpg",14
"71206-1",4655243,2,"Medium Azur","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/4655243.jpg",11
