SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"71229-1",6047276,2,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"71229-1",473326,2,"Black","System: Bricks, Special",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/473326.jpg",135
"71229-1",306226,1,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"71229-1",614326,2,"Black","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614326.jpg",239
"71229-1",370026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"71229-1",4504382,1,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"71229-1",4549989,1,"Black","System: Figure, Weapons",85973,"Tommy Gun","http://cache.lego.com/media/bricks/5/1/4549989.jpg",12
"71229-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"71229-1",383926,1,"Black","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/383926.jpg",164
"71229-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"71229-1",6016172,1,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"71229-1",6066102,1,"Black","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6066102.jpg",117
"71229-1",6089577,1,"Black","System: Plates, Special",10201,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/6089577.jpg",87
"71229-1",614126,2,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"71229-1",6093525,1,"Black","System: Signs, Flags And Poles",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/1/6093525.jpg",69
"71229-1",4599984,1,"Black","System: Transportation Means, Aviation",92842,"Propeller 3 Blades M/Ø4,8","http://cache.lego.com/media/bricks/5/1/4599984.jpg",66
"71229-1",4508215,4,"Black","System: Tyres And Rims For Snap Ø3,2",30028,"Tyre Normal Wide Ø14.6 X 9","http://cache.lego.com/media/bricks/5/1/4508215.jpg",171
"71229-1",6029946,2,"Bright Red","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6029946.jpg",81
"71229-1",306221,1,"Bright Red","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306221.jpg",254
"71229-1",4504379,1,"Bright Red","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504379.jpg",222
"71229-1",6019664,1,"Bright Red","System: Figure, Head Clothing",12236,"Jester 'No. 2'","http://cache.lego.com/media/bricks/5/1/6019664.jpg",5
"71229-1",4655399,1,"Bright Red","System: Mini Figure",76382,"Mini Upper Part No.1951","http://cache.lego.com/media/bricks/5/1/4655399.jpg",2
"71229-1",4655430,1,"Bright Red","System: Mini Figure",73243,"Mini Lowerpart 'No. 302'","http://cache.lego.com/media/bricks/5/1/4655430.jpg",2
"71229-1",302321,1,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"71229-1",378821,1,"Bright Red","System: Plates, Special",3788,"Mudguard 2X4","http://cache.lego.com/media/bricks/5/1/378821.jpg",57
"71229-1",6066342,2,"Bright Red","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6066342.jpg",40
"71229-1",449521,1,"Bright Red","System: Signs, Flags And Poles",4495,"Streamer","http://cache.lego.com/media/bricks/5/1/449521.jpg",136
"71229-1",6037651,2,"Bright Reddish Violet","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/6037651.jpg",9
"71229-1",4551249,1,"Dark Green","System: Figure, Wigs",64798,"Mini Wig, No. 2","http://cache.lego.com/media/bricks/5/1/4551249.jpg",8
"71229-1",302228,1,"Dark Green","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302228.jpg",219
"71229-1",302328,1,"Dark Green","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302328.jpg",250
"71229-1",371028,1,"Dark Green","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371028.jpg",179
"71229-1",4210660,1,"Dark Stone Grey","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4210660.jpg",287
"71229-1",6000606,2,"Dark Stone Grey","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6000606.jpg",230
"71229-1",6064112,2,"Earth Green","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/6064112.jpg",4
"71229-1",4567509,2,"Medium Lilac","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4567509.jpg",50
"71229-1",4586410,1,"Medium Lilac","System: Mini Figure",73200,"Mini Lower Part 'No. 161'","http://cache.lego.com/media/bricks/5/1/4586410.jpg",41
"71229-1",6056286,1,"Medium Lilac","System: Mini Figure",76382,"Mini Upper Part No. 297","http://cache.lego.com/media/bricks/5/1/6056286.jpg",3
"71229-1",4566522,2,"Medium Lilac","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4566522.jpg",89
"71229-1",6074888,1,"Medium Stone Grey","System: Plates, Special",4596,"Plate 1X2X4 W. Tube","http://cache.lego.com/media/bricks/5/1/6074888.jpg",9
"71229-1",4211504,2,"Medium Stone Grey","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/4211504.jpg",115
"71229-1",4211483,1,"Medium Stone Grey","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4211483.jpg",572
"71229-1",6116613,1,"Reddish Brown","System: Signs, Flags And Poles",21462,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/6116613.jpg",62
"71229-1",6046398,1,"Silver Metallic","System: Figure, Weapons",13608,"Laser Pistol","http://cache.lego.com/media/bricks/5/1/6046398.jpg",31
"71229-1",4567338,2,"Transparent Bright Orange","System: Bricks, Special Circles And Angles",64288,"Nose Cone Small 1X1 - Tr","http://cache.lego.com/media/bricks/5/1/4567338.jpg",159
"71229-1",4222960,2,"Transparent Bright Orange","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/4222960.jpg",324
"71229-1",4217722,1,"Transparent Brown","System: Decoration Elements",47904,"Front, 2X2, Sport, Tr.","http://cache.lego.com/media/bricks/5/1/4217722.jpg",70
"71229-1",4200798,1,"Transparent Brown","System: Frames, Windows, Walls And Doors",30010,"Wall Element 1X2X1 - Tr.","http://cache.lego.com/media/bricks/5/1/4200798.jpg",54
"71229-1",4178398,2,"Transparent Light Blue","System: Bricks, Special Circles And Angles",6116,"Brick 2X2 Round Ii","http://cache.lego.com/media/bricks/5/1/4178398.jpg",87
