SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"71230-1",4200023,1,"Black","System: Bricks With Bows And Arches",30165,"Brick 2X2 W. Bow And Knobs","http://cache.lego.com/media/bricks/5/1/4200023.jpg",48
"71230-1",4529236,2,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"71230-1",4504382,4,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"71230-1",6051508,1,"Black","System: Bricks, With Slope",15571,"End Ridged Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/6051508.jpg",34
"71230-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
"71230-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"71230-1",302326,1,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"71230-1",6092585,1,"Black","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092585.jpg",108
"71230-1",317626,1,"Black","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/317626.jpg",134
"71230-1",408126,6,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"71230-1",4185620,1,"Black","System: Plates, Special",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/1/4185620.jpg",86
"71230-1",6020193,2,"Black","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6020193.jpg",159
"71230-1",6052126,1,"Black","System: Plates, Special",99206,"Plate 2X2X2/3 W. 2. Hor. Knob","http://cache.lego.com/media/bricks/5/1/6052126.jpg",70
"71230-1",403226,2,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"71230-1",614126,3,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"71230-1",6070695,1,"Black","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6070695.jpg",58
"71230-1",4295370,4,"Black","System: Transportation Means, Trains",50254,"Trainwheel Ø8.2/14.6","http://cache.lego.com/media/bricks/5/1/4295370.jpg",28
"71230-1",6122656,4,"Black","System: Wheel Base",21445,"Wheel Bearing 1X2X1/3 W/Mini Snap","http://cache.lego.com/media/bricks/5/1/6122656.jpg",20
"71230-1",4504379,1,"Bright Red","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504379.jpg",222
"71230-1",302321,2,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"71230-1",6092565,2,"Bright Red","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092565.jpg",56
