SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7207-1",4159335,1,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"7207-1",383526,1,"Black","System: Figure Accessories In Hand",3835,"Mini Fireman'S Axe","http://cache.lego.com/media/bricks/5/1/383526.jpg",104
"7207-1",396226,1,"Black","System: Figure Accessories In Hand",3962,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/396226.jpg",212
"7207-1",434926,2,"Black","System: Figure Accessories In Hand",4349,"Megaphone","http://cache.lego.com/media/bricks/5/1/434926.jpg",167
"7207-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"7207-1",9339,4,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7207-1",4275338,4,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 1187'","http://cache.lego.com/media/bricks/5/1/4275338.jpg",31
"7207-1",6032239,4,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 1187'","http://cache.lego.com/media/bricks/5/1/6032239.jpg",10
"7207-1",4153044,1,"Black","System: Transportation Means, Vehicles",30663,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/4153044.jpg",80
"7207-1",4516196,1,"Black","System: Transportation Means, Vehicles",61072,"Plate 1X4X2/3 W. Tube","http://cache.lego.com/media/bricks/5/1/4516196.jpg",21
"7207-1",4109810,1,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
"7207-1",4121715,1,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"7207-1",300223,1,"Bright Blue","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300223.jpg",256
"7207-1",379523,2,"Bright Blue","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379523.jpg",221
"7207-1",4143005,3,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"7207-1",4206482,2,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"7207-1",287721,6,"Bright Red","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287721.jpg",45
"7207-1",300321,6,"Bright Red","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300321.jpg",429
"7207-1",300521,2,"Bright Red","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300521.jpg",377
"7207-1",300821,3,"Bright Red","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300821.jpg",193
"7207-1",4181138,1,"Bright Red","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181138.jpg",150
"7207-1",4617857,4,"Bright Red","System: Bricks",92538,"Brick 2X10","http://cache.lego.com/media/bricks/5/1/4617857.jpg",37
"7207-1",4200493,1,"Bright Red","System: Bricks, Special Circles And Angles",3942,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/4200493.jpg",13
"7207-1",4528786,1,"Bright Red","System: Bricks, Special Circles And Angles",3942,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/4528786.jpg",8
"7207-1",303921,6,"Bright Red","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303921.jpg",237
"7207-1",4565432,3,"Bright Red","System: Connectors",87617,"Function Element Female","http://cache.lego.com/media/bricks/5/1/4565432.jpg",15
"7207-1",4496440,1,"Bright Red","System: Cranes And Scaffold",57779,"Telescopic Arm 2X1 1/3X16","http://cache.lego.com/media/bricks/5/1/4496440.jpg",3
"7207-1",4540382,6,"Bright Red","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540382.jpg",55
"7207-1",368021,1,"Bright Red","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368021.jpg",34
"7207-1",243121,2,"Bright Red","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243121.jpg",227
"7207-1",302021,2,"Bright Red","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302021.jpg",507
"7207-1",302321,4,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"7207-1",302421,2,"Bright Red","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302421.jpg",222
"7207-1",306821,2,"Bright Red","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306821.jpg",220
"7207-1",362321,2,"Bright Red","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362321.jpg",223
"7207-1",74335,2,"Bright Red","System: Signs, Flags And Poles",73587,"Mini Antenna Ass.Red/Bla","http://cache.lego.com/media/bricks/5/1/74335.jpg",161
"7207-1",4569633,1,"Bright Red","System: Transportation Means, Ships",62792,"Hull 14X51X6 Assembled","http://cache.lego.com/media/bricks/5/1/4569633.jpg",1
"7207-1",4549263,1,"Bright Red","System: Transportation Means, Vehicles",61484,"Front 6X5X2 W. Bow","http://cache.lego.com/media/bricks/4/1/4549263.jpg",4
"7207-1",300424,4,"Bright Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300424.jpg",443
"7207-1",300924,2,"Bright Yellow","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300924.jpg",221
"7207-1",306224,6,"Bright Yellow","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306224.jpg",202
"7207-1",4525464,6,"Bright Yellow","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4525464.jpg",92
"7207-1",4215263,4,"Bright Yellow","System: Figure Accessories In Hand",2516,"Tool Holder","http://cache.lego.com/media/bricks/5/1/4215263.jpg",22
"7207-1",4527354,2,"Bright Yellow","System: Figure Accessories In Hand",30340,"Lifebuoy With Knob","http://cache.lego.com/media/bricks/5/1/4527354.jpg",30
"7207-1",383824,1,"Bright Yellow","System: Figure Accessories, Upper Body",3838,"Mini Oxygen Bottles","http://cache.lego.com/media/bricks/5/1/383824.jpg",63
"7207-1",4648281,4,"Bright Yellow","System: Figure Accessories, Upper Body",97895,"Life Jacket","http://cache.lego.com/media/bricks/5/1/4648281.jpg",37
"7207-1",4261301,1,"Bright Yellow","System: Figure, Heads And Masks",51521,"Mini Head No. 386","http://cache.lego.com/media/bricks/5/1/4261301.jpg",31
