SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7213-1",4253815,2,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"7213-1",4295400,1,"Black","System: Bricks, With Slope",56570,"Roof Tile 2X2 No. '14'","http://cache.lego.com/media/bricks/5/1/4295400.jpg",43
"7213-1",4159335,1,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"7213-1",4569407,2,"Black","System: Connectors",87617,"Function Element Female","http://cache.lego.com/media/bricks/5/1/4569407.jpg",27
"7213-1",4503648,1,"Black","System: Cranes And Scaffold",57779,"Telescopic Arm 2X1 1/3X16","http://cache.lego.com/media/bricks/5/1/4503648.jpg",5
"7213-1",6055330,1,"Black","System: Cranes And Scaffold",57779,"Telescopic Arm 2X1 1/3X16","http://cache.lego.com/media/bricks/4/1/6055330.jpg",2
"7213-1",383526,1,"Black","System: Figure Accessories In Hand",3835,"Mini Fireman'S Axe","http://cache.lego.com/media/bricks/5/1/383526.jpg",104
"7213-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"7213-1",9339,3,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7213-1",4275338,3,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 1187'","http://cache.lego.com/media/bricks/5/1/4275338.jpg",31
"7213-1",6032239,3,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 1187'","http://cache.lego.com/media/bricks/5/1/6032239.jpg",10
"7213-1",4556158,2,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"7213-1",4568644,4,"Black","System: Tyres And Rims For Snap Ã˜3,2",87697,"Tyre Normal Wide Ã˜21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"7213-1",4619323,8,"Black","System: Tyres And Rims For/To Snap Ã˜4,85 W. Cross",92402,"Tyre Normal Wide Ã˜30,4 X 14","http://cache.lego.com/media/bricks/5/1/4619323.jpg",72
"7213-1",460026,2,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"7213-1",4615599,1,"Brick Yellow","System: Bricks",92538,"Brick 2X10","http://cache.lego.com/media/bricks/5/1/4615599.jpg",16
"7213-1",4666579,8,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"7213-1",4158266,2,"Bright Blue","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",30526,"Brick 1X2 W. Double Snap","http://cache.lego.com/media/bricks/5/1/4158266.jpg",15
