SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7256-1",609126,2,"Black","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",145
"7256-1",407026,2,"Black","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407026.jpg",297
"7256-1",4144502,2,"Black","System: Bricks, Special",30365,"Brick 1X2/Fric/Fork Vert./End","http://cache.lego.com/media/bricks/5/1/4144502.jpg",32
"7256-1",428626,2,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"7256-1",4159335,2,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"7256-1",4169047,2,"Black","System: Figure Accessories, Upper Body",42446,"Mini Fig. Back Palte W. Knob","http://cache.lego.com/media/bricks/5/1/4169047.jpg",5
"7256-1",4261427,2,"Black","System: Figure Accessories, Upper Body",42446,"Mini Fig. Back Palte W. Knob","http://cache.lego.com/media/bricks/5/1/4261427.jpg",2
"7256-1",4124096,1,"Black","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4124096.jpg",232
"7256-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7256-1",241226,2,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"7256-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"7256-1",371026,2,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"7256-1",4243819,4,"Black","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243819.jpg",273
"7256-1",4144575,2,"Black","System: Plates, Special",30383,"Plate 1X2 W/Stub/Along/Upper P","http://cache.lego.com/media/bricks/5/1/4144575.jpg",87
"7256-1",4282746,2,"Black","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282746.jpg",134
"7256-1",4160025,2,"Black","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4160025.jpg",54
"7256-1",4140303,4,"Black","System: Signs, Flags And Poles",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4140303.jpg",199
"7256-1",4109810,1,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
