SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7263-1",370126,3,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",223
"7263-1",366026,2,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"7263-1",4121662,2,"Black","System: Bricks, With Slope",3044,"Ridged Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121662.jpg",16
"7263-1",393826,1,"Black","System: Functional Elements",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/393826.jpg",175
"7263-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7263-1",4226354,1,"Black","System: Mini Figure",73403,"Mini Upper Part 'No. 958'","http://cache.lego.com/media/bricks/5/1/4226354.jpg",2
"7263-1",302926,4,"Black","System: Plates",3029,"Plate 4X12","http://cache.lego.com/media/bricks/5/1/302926.jpg",104
"7263-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"7263-1",617926,1,"Black","System: Plates",6179,"Plate 4X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/617926.jpg",67
"7263-1",4243819,1,"Black","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243819.jpg",273
"7263-1",255526,2,"Black","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255526.jpg",359
"7263-1",4143180,4,"Black","System: Plates, Special Circles And Angles",30355,"Left Wing 6X12","http://cache.lego.com/media/bricks/5/1/4143180.jpg",25
"7263-1",4143181,4,"Black","System: Plates, Special Circles And Angles",30356,"Right Wing 6X12","http://cache.lego.com/media/bricks/5/1/4143181.jpg",25
"7263-1",4180508,4,"Black","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180508.jpg",102
"7263-1",4180536,4,"Black","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180536.jpg",105
"7263-1",4109995,3,"Brick Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4109995.jpg",277
"7263-1",4217562,1,"Brick Yellow","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4217562.jpg",81
"7263-1",300323,4,"Bright Blue","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300323.jpg",359
"7263-1",4121936,2,"Bright Blue","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121936.jpg",133
"7263-1",241223,37,"Bright Blue","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241223.jpg",116
"7263-1",302023,11,"Bright Blue","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302023.jpg",357
"7263-1",302223,2,"Bright Blue","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302223.jpg",366
"7263-1",302323,3,"Bright Blue","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302323.jpg",407
"7263-1",447723,4,"Bright Blue","System: Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/447723.jpg",71
"7263-1",241923,4,"Bright Blue","System: Plates, Special Circles And Angles",2419,"Corner Plate 3X6","http://cache.lego.com/media/bricks/5/1/241923.jpg",48
"7263-1",379428,1,"Dark Green","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379428.jpg",77
"7263-1",4211109,4,"Dark Stone Grey","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/4211109.jpg",134
"7263-1",4211024,4,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",30000,"Bearing Element 2X2 W.D. Snap","http://cache.lego.com/media/bricks/5/1/4211024.jpg",75
"7263-1",4210640,2,"Dark Stone Grey","System: Bricks, With Slope",30373,"Edged Brick W. Snap 6X6X2","http://cache.lego.com/media/bricks/5/1/4210640.jpg",16
"7263-1",4210702,2,"Dark Stone Grey","System: Bricks, With Slope",3046,"Corner Brick 2X2/45° Inside","http://cache.lego.com/media/bricks/5/1/4210702.jpg",38
