SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75828-1",300126,1,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"75828-1",6147050,4,"Black","System: Bricks With Bows And Arches",24201,"Plate W/ Half Bow Inv. 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6147050.jpg",19
"75828-1",4253815,1,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"75828-1",4144025,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32531,"4X6 Brick, Ø 4,85","http://cache.lego.com/media/bricks/5/1/4144025.jpg",57
"75828-1",4537551,1,"Black","System: Figure Accessories In Hand",60849,"Nozzle W/Ø3.18, Shaft","http://cache.lego.com/media/bricks/5/1/4537551.jpg",60
"75828-1",6020192,4,"Black","System: Figure Accessories, Upper Body",42446,"Mini Fig. Back Plate W. Knob","http://cache.lego.com/media/bricks/5/1/6020192.jpg",25
"75828-1",4598897,6,"Black","System: Figure, Weapons",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/1/4598897.jpg",134
"75828-1",6092878,5,"Black","System: Figure, Weapons",88704,"Whip Long, Stick Ø3.2","http://cache.lego.com/media/bricks/5/1/6092878.jpg",13
"75828-1",459926,1,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"75828-1",6156991,8,"Black","System: Miscellaneous Elements",99563,"Gold Ingot","http://cache.lego.com/media/bricks/5/1/6156991.jpg",8
"75828-1",241226,3,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"75828-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"75828-1",302426,1,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"75828-1",303526,1,"Black","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",211
"75828-1",306926,1,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"75828-1",346026,4,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"75828-1",371026,7,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"75828-1",4565323,1,"Black","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565323.jpg",123
"75828-1",4599499,2,"Black","System: Plates",92593,"Plate 1X4 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4599499.jpg",79
"75828-1",408126,5,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"75828-1",4114689,2,"Black","System: Plates, Special",32124,"Technic Rotor, 2 Blades","http://cache.lego.com/media/bricks/5/1/4114689.jpg",73
"75828-1",4225201,4,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"75828-1",4556158,3,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"75828-1",4598528,6,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"75828-1",6000650,1,"Black","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/6000650.jpg",162
"75828-1",6052126,2,"Black","System: Plates, Special",99206,"Plate 2X2X2/3 W. 2. Hor. Knob","http://cache.lego.com/media/bricks/5/1/6052126.jpg",70
"75828-1",6066102,9,"Black","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6066102.jpg",117
"75828-1",6118829,1,"Black","System: Plates, Special",21731,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/6118829.jpg",16
