SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75903-1",4113209,1,"Black","System: Animals And Creatures",30238,"Spider","http://cache.lego.com/media/bricks/5/1/4113209.jpg",66
"75903-1",4587844,1,"Black","System: Bricks With Bows And Arches",88930,"Plate W. Bow 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4587844.jpg",48
"75903-1",4653822,1,"Black","System: Bricks, Special Circles And Angles",98100,"2X2 Round,Slope Brick W. Knob","http://cache.lego.com/media/bricks/5/1/4653822.jpg",21
"75903-1",389426,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/389426.jpg",160
"75903-1",6015891,7,"Black","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015891.jpg",86
"75903-1",6106280,1,"Black","System: Decoration Elements",19798,"Undercarriage 2X2X2","http://cache.lego.com/media/bricks/5/1/6106280.jpg",23
"75903-1",452826,1,"Black","System: Figure Accessories In Hand",4528,"Pan","http://cache.lego.com/media/bricks/5/1/452826.jpg",71
"75903-1",6056234,1,"Black","System: Foodstuff",11610,"Cone 1X1 Invertede W. Shaft","http://cache.lego.com/media/bricks/5/1/6056234.jpg",28
"75903-1",4535834,2,"Black","System: Frames, Windows, Walls And Doors",60596,"Frame 1X4X6","http://cache.lego.com/media/bricks/5/1/4535834.jpg",110
"75903-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"75903-1",371026,2,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"75903-1",474026,1,"Black","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",183
"75903-1",4207127,1,"Black","System: Plates, Special Circles And Angles",44375,"Parabola 6X6","http://cache.lego.com/media/bricks/5/1/4207127.jpg",16
"75903-1",6096955,1,"Black","System: Rubbers And Strings",14226,"String 11M W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/6096955.jpg",25
"75903-1",4538722,1,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"75903-1",6081988,1,"Black","System: Signs, Flags And Poles",18274,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/6081988.jpg",113
"75903-1",373726,1,"Black","Technic: Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",427
"75903-1",4121715,4,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"75903-1",6055630,1,"Black","Technic: Connectors",15461,"Double Snap With Hole Ø4.85","http://cache.lego.com/media/bricks/5/1/6055630.jpg",37
"75903-1",4177431,2,"Black","Technic: Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",270
"75903-1",6093977,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",18575,"Double Conical Wheel Z20 1M","http://cache.lego.com/media/bricks/5/1/6093977.jpg",52
"75903-1",4509113,1,"Black","Technic: Tubes",62530,"Outer Cable 176Mm","http://cache.lego.com/media/bricks/5/1/4509113.jpg",6
"75903-1",4550324,1,"Brick Yellow","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4550324.jpg",75
"75903-1",6115248,1,"Brick Yellow","System: Plates, Special Circles And Angles",15535,"Flat Tile 2X2 Round W. Hole Ø4.85","http://cache.lego.com/media/bricks/5/1/6115248.jpg",15
"75903-1",6122533,1,"Brick Yellow","System: Plates, Special Circles And Angles",22718,"Slide Shoe Round 2X2 'No. 2'","http://cache.lego.com/media/bricks/5/1/6122533.jpg",4
"75903-1",4666579,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"75903-1",302223,5,"Bright Blue","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302223.jpg",366
"75903-1",302323,4,"Bright Blue","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302323.jpg",407
"75903-1",303523,1,"Bright Blue","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303523.jpg",58
"75903-1",379523,1,"Bright Blue","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379523.jpg",221
"75903-1",4118785,2,"Bright Blue","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4118785.jpg",63
"75903-1",4528850,1,"Bright Blue","System: Plates",3029,"Plate 4X12","http://cache.lego.com/media/bricks/5/1/4528850.jpg",20
"75903-1",4610354,1,"Bright Blue","System: Plates",92438,"Plate 8X16","http://cache.lego.com/media/bricks/5/1/4610354.jpg",11
"75903-1",4609342,1,"Bright Blue","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4609342.jpg",17
"75903-1",4206482,1,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"75903-1",6059027,1,"Bright Green","System: Plants",30093,"See Grass","http://cache.lego.com/media/bricks/5/1/6059027.jpg",10
"75903-1",6122725,1,"Bright Orange","System: Figure, Wigs",22873,"Mini Figure Wig No. 96 'No.1'","http://cache.lego.com/media/bricks/5/1/6122725.jpg",2
"75903-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"75903-1",4121741,2,"Bright Orange","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4121741.jpg",66
"75903-1",4125254,2,"Bright Orange","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4125254.jpg",91
"75903-1",4599453,1,"Bright Red","System: Figure Accessories In Hand",92585,"Mini Figure Crowbar","http://cache.lego.com/media/bricks/5/1/4599453.jpg",66
"75903-1",302221,1,"Bright Red","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302221.jpg",541
"75903-1",614121,1,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
"75903-1",300924,4,"Bright Yellow","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300924.jpg",221
"75903-1",301024,1,"Bright Yellow","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301024.jpg",355
"75903-1",614124,1,"Bright Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614124.jpg",294
"75903-1",6022112,2,"Bright Yellowish Green","System: Figure Accessories In Hand",10190,"Frogman\U0027S Foot","http://cache.lego.com/media/bricks/5/1/6022112.jpg",7
"75903-1",6122140,1,"Bright Yellowish Green","System: Mini Figure",16360,"Mini Upper Part 2K No.3100","http://cache.lego.com/media/bricks/5/1/6122140.jpg",1
"75903-1",4164021,2,"Bright Yellowish Green","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4164021.jpg",77
"75903-1",4537936,3,"Bright Yellowish Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4537936.jpg",88
"75903-1",4183133,3,"Bright Yellowish Green","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4183133.jpg",211
"75903-1",4539907,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4539907.jpg",26
"75903-1",4539908,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4539908.jpg",24
"75903-1",6025027,1,"Bright Yellowish Green","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/6025027.jpg",6
"75903-1",4210875,1,"Dark Stone Grey","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4210875.jpg",136
"75903-1",4211060,6,"Dark Stone Grey","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4211060.jpg",237
"75903-1",6000311,11,"Dark Stone Grey","System: Bricks",98283,"Profile Brick 1X2 Single Gro.","http://cache.lego.com/media/bricks/5/1/6000311.jpg",43
"75903-1",4210999,2,"Dark Stone Grey","System: Bricks With Bows And Arches",3659,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4210999.jpg",46
"75903-1",4211128,2,"Dark Stone Grey","System: Bricks, Special",30236,"Brick 1X2 With Stick","http://cache.lego.com/media/bricks/5/1/4211128.jpg",81
"75903-1",4287972,2,"Dark Stone Grey","System: Bricks, Special Circles And Angles",41767,"Right Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4287972.jpg",31
"75903-1",4210935,4,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4210935.jpg",195
"75903-1",4213607,1,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/4213607.jpg",140
"75903-1",4210702,3,"Dark Stone Grey","System: Bricks, With Slope",3046,"Corner Brick 2X2/45° Inside","http://cache.lego.com/media/bricks/5/1/4210702.jpg",38
"75903-1",4211064,2,"Dark Stone Grey","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4211064.jpg",141
"75903-1",4211096,2,"Dark Stone Grey","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/4211096.jpg",196
"75903-1",4234534,7,"Dark Stone Grey","System: Bricks, With Slope",3678,"Roof Tile 2X2X2/65 Deg.","http://cache.lego.com/media/bricks/5/1/4234534.jpg",62
"75903-1",4567887,9,"Dark Stone Grey","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4567887.jpg",198
"75903-1",4500608,1,"Dark Stone Grey","System: Figure Accessories, Upper Body",30091,"Oxygenbottle With Tube","http://cache.lego.com/media/bricks/5/1/4500608.jpg",27
"75903-1",4210794,1,"Dark Stone Grey","System: Plates",3036,"Plate 6X8","http://cache.lego.com/media/bricks/5/1/4210794.jpg",122
"75903-1",4210997,2,"Dark Stone Grey","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/4210997.jpg",311
"75903-1",4210998,2,"Dark Stone Grey","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4210998.jpg",250
"75903-1",4211001,1,"Dark Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211001.jpg",489
"75903-1",4211008,2,"Dark Stone Grey","System: Plates",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/1/4211008.jpg",176
"75903-1",4211043,2,"Dark Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211043.jpg",485
"75903-1",4211065,2,"Dark Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211065.jpg",578
"75903-1",4211094,2,"Dark Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211094.jpg",499
"75903-1",4211114,1,"Dark Stone Grey","System: Plates",3033,"Plate 6X10","http://cache.lego.com/media/bricks/5/1/4211114.jpg",79
"75903-1",4560184,5,"Dark Stone Grey","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560184.jpg",115
"75903-1",4579354,1,"Dark Stone Grey","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4579354.jpg",145
"75903-1",4595708,1,"Dark Stone Grey","System: Plates, Special",92107,"Trapdoor Frame 6X8","http://cache.lego.com/media/bricks/5/1/4595708.jpg",52
"75903-1",4595710,1,"Dark Stone Grey","System: Plates, Special",92099,"Plate 4X5 W. Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4595710.jpg",80
"75903-1",4611703,6,"Dark Stone Grey","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4611703.jpg",97
"75903-1",4210633,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4210633.jpg",326
"75903-1",4296512,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",6063,"Plate Octagonal 10X10","http://cache.lego.com/media/bricks/5/1/4296512.jpg",17
"75903-1",4162916,1,"Earth Blue","System: Mini Figure",73200,"Mini Lower Part","http://cache.lego.com/media/bricks/5/1/4162916.jpg",237
"75903-1",6123036,1,"Earth Blue","System: Mini Figure",76382,"Mini Upper Part No. 3127","http://cache.lego.com/media/bricks/5/1/6123036.jpg",1
