SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75919-1",300326,2,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"75919-1",4181144,1,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"75919-1",6047276,2,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"75919-1",4162443,1,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"75919-1",4226509,2,"Black","System: Bricks, Special",30388,"Brick 1X6 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4226509.jpg",11
"75919-1",4233487,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"75919-1",329726,1,"Black","System: Bricks, With Slope",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/1/329726.jpg",78
"75919-1",4541984,1,"Black","System: Bricks, With Slope",60219,"Inv. Roof Tile 4X6, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/4541984.jpg",43
"75919-1",4144567,1,"Black","System: Connectors",30396,"Ball Coupling Friction/Fork","http://cache.lego.com/media/bricks/5/1/4144567.jpg",39
"75919-1",4158848,4,"Black","System: Connectors",30552,"Fric/Stump With Cross Hole","http://cache.lego.com/media/bricks/5/1/4158848.jpg",80
"75919-1",6015891,1,"Black","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015891.jpg",86
"75919-1",658326,2,"Black","System: Fences And Ladders",6583,"Hand Rail 1.5X6X2","http://cache.lego.com/media/bricks/5/1/658326.jpg",56
"75919-1",6100054,1,"Black","System: Figure Accessories In Hand",19220,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/6100054.jpg",103
"75919-1",4522653,1,"Black","System: Figure, Head Clothing",30171,"Flying Helmet","http://cache.lego.com/media/bricks/5/1/4522653.jpg",52
"75919-1",4598897,1,"Black","System: Figure, Weapons",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/1/4598897.jpg",134
"75919-1",4653226,1,"Black","System: Figure, Wigs",99930,"Mini Wig, No. 22","http://cache.lego.com/media/bricks/5/1/4653226.jpg",15
"75919-1",4521681,1,"Black","System: Frames, Windows, Walls And Doors",62113,"Lattice Plate 1X4X3","http://cache.lego.com/media/bricks/5/1/4521681.jpg",45
"75919-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"75919-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"75919-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"75919-1",244526,1,"Black","System: Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/244526.jpg",220
"75919-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"75919-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"75919-1",302326,12,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"75919-1",346026,2,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"75919-1",362326,3,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"75919-1",416226,5,"Black","System: Plates",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/1/416226.jpg",229
