SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7597-1",4583566,1,"Black","System: Animals And Creatures",89992,"Hamm\U0027S Hat","http://cache.lego.com/media/bricks/5/1/4583566.jpg",1
"7597-1",245426,4,"Black","System: Bricks",2454,"Brick 1X2X5","http://cache.lego.com/media/bricks/5/1/245426.jpg",57
"7597-1",362226,2,"Black","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/362226.jpg",291
"7597-1",4125550,2,"Black","System: Bricks With Bows And Arches",6081,"Brick W. Bow 4X1X1 1/3","http://cache.lego.com/media/bricks/5/1/4125550.jpg",16
"7597-1",4522034,4,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"7597-1",4587844,4,"Black","System: Bricks With Bows And Arches",88930,"Plate W. Bow 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4587844.jpg",48
"7597-1",6037746,4,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"7597-1",614326,3,"Black","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614326.jpg",239
"7597-1",4203866,1,"Black","System: Bricks, Special Circles And Angles",6222,"Technic Brick 4X4 Round","http://cache.lego.com/media/bricks/5/1/4203866.jpg",17
"7597-1",4290056,1,"Black","System: Bricks, Special Circles And Angles",6222,"Technic Brick 4X4 Round","http://cache.lego.com/media/bricks/5/1/4290056.jpg",13
"7597-1",4550922,1,"Black","System: Bricks, Special Circles And Angles",4742,"Cone Ø32/Ø16","http://cache.lego.com/media/bricks/5/1/4550922.jpg",15
"7597-1",4233487,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"7597-1",366026,1,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"7597-1",4143875,1,"Black","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/4143875.jpg",48
