SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76000-1",4649700,1,"Black","System: Animals And Creatures",55706,"Wing 8X10 Ø¸ 4,85","http://cache.lego.com/media/bricks/5/1/4649700.jpg",21
"76000-1",300926,1,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"76000-1",4160393,2,"Black","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/4160393.jpg",59
"76000-1",4647286,3,"Black","System: Bricks With Bows And Arches",93606,"Brick W. Bow 2X4","http://cache.lego.com/media/bricks/5/1/4647286.jpg",43
"76000-1",4584332,2,"Black","System: Bricks With Slope, Special",30382,"Roof Tile 2X16X1, 11°","http://cache.lego.com/media/bricks/5/1/4584332.jpg",4
"76000-1",473326,2,"Black","System: Bricks, Special",4733,"Brick 1X1 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/473326.jpg",135
"76000-1",4233487,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"76000-1",303926,2,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"76000-1",428626,2,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"76000-1",4548180,1,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76000-1",4636410,2,"Black","System: Decoration Elements",57906,"Flap 3X12X2/3 W. Fork","http://cache.lego.com/media/bricks/5/1/4636410.jpg",16
"76000-1",4650620,1,"Black","System: Figure, Weapons",98721,"Boomerang Wing","http://cache.lego.com/media/bricks/5/1/4650620.jpg",44
"76000-1",6016123,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.2169","http://cache.lego.com/media/bricks/5/1/6016123.jpg",1
"76000-1",302126,3,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"76000-1",474026,1,"Black","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",183
"76000-1",4623524,1,"Black","System: Transportation Means, Aviation",87615,"Roof Tile 6X10 W. Double Bow","http://cache.lego.com/media/bricks/5/1/4623524.jpg",7
"76000-1",4107765,1,"Black","Technic: Connectors",6553,"Catch","http://cache.lego.com/media/bricks/5/1/4107765.jpg",190
"76000-1",4198367,2,"Black","Technic: Connectors",45590,"Damper 2M","http://cache.lego.com/media/bricks/5/1/4198367.jpg",99
"76000-1",302123,2,"Bright Blue","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302123.jpg",275
"76000-1",6016122,1,"Bright Orange","System: Mini Figure",76382,"Mini Upper Part No.2168","http://cache.lego.com/media/bricks/5/1/6016122.jpg",3
"76000-1",303421,1,"Bright Red","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303421.jpg",153
"76000-1",4183039,2,"Bright Red","System: Plates, Special",44301,"Plate 1X2 W/Stub Vertical/End","http://cache.lego.com/media/bricks/5/1/4183039.jpg",25
"76000-1",300324,2,"Bright Yellow","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300324.jpg",400
"76000-1",4540384,6,"Bright Yellow","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4540384.jpg",36
"76000-1",6022737,1,"Bright Yellow","System: Figure, Wigs",87991,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/6022737.jpg",1
"76000-1",6093523,1,"Bright Yellow","System: Figure, Wigs",18226,"Mini Wig No. 6","http://cache.lego.com/media/bricks/5/1/6093523.jpg",4
"76000-1",241224,2,"Bright Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241224.jpg",177
"76000-1",243124,4,"Bright Yellow","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243124.jpg",189
"76000-1",302324,5,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"76000-1",303224,2,"Bright Yellow","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303224.jpg",67
"76000-1",4282745,2,"Bright Yellow","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282745.jpg",59
"76000-1",415024,2,"Bright Yellow","System: Plates, Special Circles And Angles",4150,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/415024.jpg",34
