SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76001-1",300226,2,"Black","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300226.jpg",335
"76001-1",300426,6,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"76001-1",300926,2,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"76001-1",301026,2,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"76001-1",4647286,2,"Black","System: Bricks With Bows And Arches",93606,"Brick W. Bow 2X4","http://cache.lego.com/media/bricks/5/1/4647286.jpg",43
"76001-1",407026,4,"Black","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407026.jpg",297
"76001-1",4213374,4,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"76001-1",303726,1,"Black","System: Bricks, With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/303726.jpg",123
"76001-1",329826,1,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"76001-1",374726,2,"Black","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374726.jpg",172
"76001-1",428626,2,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"76001-1",4504382,4,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"76001-1",4515373,2,"Black","System: Bricks, With Slope",60481,"Roof Tile 2X1X2","http://cache.lego.com/media/bricks/5/1/4515373.jpg",55
"76001-1",4548180,8,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76001-1",4658977,2,"Black","System: Bricks, With Slope",72454,"Roof Tile 4X4/45° Inv.","http://cache.lego.com/media/bricks/5/1/4658977.jpg",32
"76001-1",4143875,2,"Black","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/4143875.jpg",48
"76001-1",4285883,3,"Black","System: Decoration Elements",47456,"Plate W. Bows 2X3½","http://cache.lego.com/media/bricks/5/1/4285883.jpg",44
"76001-1",614026,2,"Black","System: Fences And Ladders",6140,"Hanger 1X6","http://cache.lego.com/media/bricks/5/1/614026.jpg",70
"76001-1",6014618,1,"Black","System: Figure, Head Clothing",10113,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/6014618.jpg",32
"76001-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"76001-1",306826,2,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"76001-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"76001-1",379526,2,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"76001-1",395826,1,"Black","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/395826.jpg",109
"76001-1",4162982,1,"Black","System: Plates",42125,"Flat Tile 1X2 'No. 70'","http://cache.lego.com/media/bricks/5/1/4162982.jpg",59
"76001-1",4558170,4,"Black","System: Plates",63864,"Flat Tile 1X3","http://cache.lego.com/media/bricks/5/1/4558170.jpg",112
"76001-1",4560182,4,"Black","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560182.jpg",152
"76001-1",6021512,1,"Black","System: Plates",42125,"Dækplade 1X2 'Nr. 70'","http://cache.lego.com/media/bricks/5/1/6021512.jpg",23
