SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76002-1",4251161,2,"Black","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251161.jpg",144
"76002-1",4613153,4,"Black","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4613153.jpg",78
"76002-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"76002-1",4667463,1,"Black","System: Cranes And Scaffold",95347,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4667463.jpg",34
"76002-1",4651571,1,"Black","System: Figure, Wigs",98726,"Mini Wig, No. 27","http://cache.lego.com/media/bricks/5/1/4651571.jpg",9
"76002-1",4654944,1,"Black","System: Figure, Wigs",92081,"Mini Wig No. 11","http://cache.lego.com/media/bricks/5/1/4654944.jpg",22
"76002-1",6039687,1,"Black","System: Mini Figure",76382,"Mini Upperbody No. 2375","http://cache.lego.com/media/bricks/5/1/6039687.jpg",3
"76002-1",6041729,1,"Black","System: Mini Figure",14620,"Mini Lower Part 'No. 540'","http://cache.lego.com/media/bricks/5/1/6041729.jpg",3
"76002-1",242026,4,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"76002-1",4599499,1,"Black","System: Plates",92593,"Plate 1X4 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4599499.jpg",79
"76002-1",408126,4,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"76002-1",4107761,2,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"76002-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"76002-1",4632571,4,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/4632571.jpg",113
"76002-1",6089577,1,"Black","System: Plates, Special",10201,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/6089577.jpg",87
"76002-1",395726,1,"Black","System: Signs, Flags And Poles",3957,"Whip/Aerial","http://cache.lego.com/media/bricks/5/1/395726.jpg",210
"76002-1",4648117,4,"Black","System: Transportation Means, Vehicles",98282,"Brick 2X4X1 W. Screen No. 2","http://cache.lego.com/media/bricks/5/1/4648117.jpg",10
"76002-1",4568644,4,"Black","System: Tyres And Rims For Snap Ã˜3,2",87697,"Tyre Normal Wide Ã˜21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"76002-1",6092658,4,"Black","System: Wheel Base",10313,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/6092658.jpg",60
"76002-1",4516055,4,"Brick Yellow","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4516055.jpg",67
"76002-1",4565387,1,"Brick Yellow","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565387.jpg",44
"76002-1",4143210,1,"Bright Red","System: Textiles",23375,"Red Cape","http://cache.lego.com/media/bricks/5/1/4143210.jpg",31
"76002-1",4597902,2,"Bright Yellow","System: Bricks With Bows And Arches",88930,"Plate W. Bow 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4597902.jpg",20
"76002-1",243124,2,"Bright Yellow","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243124.jpg",189
"76002-1",302124,6,"Bright Yellow","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302124.jpg",261
"76002-1",302224,4,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"76002-1",4211087,4,"Dark Stone Grey","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/4211087.jpg",95
"76002-1",4504378,2,"Dark Stone Grey","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",298
