SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76006-1",4522034,4,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"76006-1",6037664,4,"Black","System: Bricks With Bows And Arches",13731,"Brick With Bow 1X10","http://cache.lego.com/media/bricks/5/1/6037664.jpg",27
"76006-1",6037746,4,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"76006-1",4209683,1,"Black","System: Bricks With Special Bows And Angles",47406,"Shell 6X10X2 Inv.","http://cache.lego.com/media/bricks/5/1/4209683.jpg",16
"76006-1",4265484,2,"Black","System: Bricks, Special",30364,"Brick 1X2 W/Stub Vertical End","http://cache.lego.com/media/bricks/5/1/4265484.jpg",29
"76006-1",306226,2,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"76006-1",329726,1,"Black","System: Bricks, With Slope",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/1/329726.jpg",78
"76006-1",4541984,4,"Black","System: Bricks, With Slope",60219,"Inv. Roof Tile 4X6, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/4541984.jpg",43
"76006-1",4548180,1,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76006-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"76006-1",393726,2,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"76006-1",242026,4,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"76006-1",302426,6,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"76006-1",362326,4,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"76006-1",447726,2,"Black","System: Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/447726.jpg",237
"76006-1",4500893,1,"Black","System: Plates, Special Circles And Angles",47407,"Plate 6X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4500893.jpg",12
"76006-1",4531412,1,"Black","System: Plates, Special Circles And Angles",51739,"Plate 2X4X18°","http://cache.lego.com/media/bricks/5/1/4531412.jpg",65
"76006-1",73081,1,"Black","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel Bl/Bl","http://cache.lego.com/media/bricks/5/1/73081.jpg",76
"76006-1",4542671,1,"Black","System: Transportation Means, Vehicles",52031,"Plate 4X6X2/3","http://cache.lego.com/media/bricks/5/1/4542671.jpg",26
"76006-1",4121715,2,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"76006-1",4159739,2,"Brick Yellow","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/4159739.jpg",74
"76006-1",4107623,1,"Brick Yellow","System: Mini Figure",73200,"Mini Lower Part, Brick Yellow","http://cache.lego.com/media/bricks/5/1/4107623.jpg",80
"76006-1",6043327,1,"Brick Yellow","System: Mini Figure",76382,"Mini Upper Part No. 2440","http://cache.lego.com/media/bricks/5/1/6043327.jpg",1
