SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76011-1",4297719,1,"Black","Duplo: Miscellaneous Elements",56823,"String Poly 0,5Mm On Spool","http://cache.lego.com/media/bricks/5/1/4297719.jpg",125
"76011-1",4649700,1,"Black","System: Animals And Creatures",55706,"Wing 8X10 Ø¸ 4,85","http://cache.lego.com/media/bricks/5/1/4649700.jpg",21
"76011-1",4251161,2,"Black","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251161.jpg",144
"76011-1",4647286,1,"Black","System: Bricks With Bows And Arches",93606,"Brick W. Bow 2X4","http://cache.lego.com/media/bricks/5/1/4647286.jpg",43
"76011-1",4161266,2,"Black","System: Bricks With Special Bows And Angles",41764,"Right Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/1/4161266.jpg",21
"76011-1",4161281,2,"Black","System: Bricks With Special Bows And Angles",41765,"Left Shell 2X6W/Bow/Angle,Inv","http://cache.lego.com/media/bricks/5/1/4161281.jpg",21
"76011-1",614326,1,"Black","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614326.jpg",239
"76011-1",4194008,2,"Black","System: Bricks, Special Circles And Angles",30361,"Round Brick 2X2X2","http://cache.lego.com/media/bricks/5/1/4194008.jpg",22
"76011-1",6092664,2,"Black","System: Bricks, Special Circles And Angles",14918,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6092664.jpg",32
"76011-1",370126,3,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",223
"76011-1",303926,1,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"76011-1",329826,2,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"76011-1",366526,4,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"76011-1",4515362,4,"Black","System: Bricks, With Slope",60477,"Roof Tile 1X4X1","http://cache.lego.com/media/bricks/5/1/4515362.jpg",55
"76011-1",4541984,1,"Black","System: Bricks, With Slope",60219,"Inv. Roof Tile 4X6, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/4541984.jpg",43
"76011-1",4548180,1,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76011-1",4653087,6,"Black","System: Bricks, With Slope",92946,"Roof Tile 1X2 45° W 1/3 Plate","http://cache.lego.com/media/bricks/5/1/4653087.jpg",80
"76011-1",4667463,1,"Black","System: Cranes And Scaffold",95347,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4667463.jpg",34
"76011-1",4218581,1,"Black","System: Decoration Elements",47458,"Plate W. Bows 2X1½","http://cache.lego.com/media/bricks/5/1/4218581.jpg",41
"76011-1",4273590,2,"Black","System: Decoration Elements",49668,"Plate 1X1 W/Tooth","http://cache.lego.com/media/bricks/5/1/4273590.jpg",105
"76011-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"76011-1",4636410,2,"Black","System: Decoration Elements",57906,"Flap 3X12X2/3 W. Fork","http://cache.lego.com/media/bricks/5/1/4636410.jpg",16
"76011-1",6014618,1,"Black","System: Figure, Head Clothing",10113,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/6014618.jpg",32
"76011-1",4650620,1,"Black","System: Figure, Weapons",98721,"Boomerang Wing","http://cache.lego.com/media/bricks/5/1/4650620.jpg",44
"76011-1",6079896,1,"Black","System: Figure, Wigs",18228,"Mini Wig No. 18","http://cache.lego.com/media/bricks/5/1/6079896.jpg",10
"76011-1",486526,2,"Black","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/486526.jpg",176
"76011-1",258426,1,"Black","System: Functional Elements",2584,"Drum Holder 2X2","http://cache.lego.com/media/bricks/5/1/258426.jpg",84
"76011-1",9339,2,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"76011-1",4655565,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.1961","http://cache.lego.com/media/bricks/5/1/4655565.jpg",9
"76011-1",6055319,1,"Black","System: Mini Figure",76382,"Mini Upper Part No. 2490","http://cache.lego.com/media/bricks/5/1/6055319.jpg",1
"76011-1",242026,2,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"76011-1",303026,1,"Black","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/303026.jpg",111
"76011-1",346026,2,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"76011-1",371026,1,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"76011-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"76011-1",395626,2,"Black","System: Plates, Special",3956,"Plate 2X2 Angle","http://cache.lego.com/media/bricks/5/1/395626.jpg",49
"76011-1",4140588,2,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
"76011-1",4515368,2,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"76011-1",4598528,4,"Black","System: Plates, Special",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/1/4598528.jpg",200
"76011-1",6019217,2,"Black","System: Plates, Special",3956,"Plate 2X2 Angle","http://cache.lego.com/media/bricks/5/1/6019217.jpg",21
"76011-1",6145492,1,"Black","System: Rubbers And Strings",23198,"100% Polyester Yarn Ø0,5Mm,0,5M","http://cache.lego.com/media/bricks/4/1/6145492.jpg",48
"76011-1",4184617,2,"Black","System: Signs, Flags And Poles",44676,"Banner 26 Deg. M. 2 Holdere","http://cache.lego.com/media/bricks/5/1/4184617.jpg",63
"76011-1",4652745,1,"Black","System: Textiles",56630,"Special Mantle","http://cache.lego.com/media/bricks/5/1/4652745.jpg",13
"76011-1",6125260,1,"Black","System: Textiles",21845,"Special Mantle","http://cache.lego.com/media/bricks/4/1/6125260.jpg",14
"76011-1",247926,1,"Black","System: Transportation Means, Aviation",2479,"Rotor","http://cache.lego.com/media/bricks/5/1/247926.jpg",142
"76011-1",6055123,1,"Black","System: Transportation Means, Aviation",15790,"Propeller Ø71.84","http://cache.lego.com/media/bricks/5/1/6055123.jpg",33
