SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76012-1",4218868,2,"Black","Miscellaneous: Miscellaneous Elements",2723,"Disk Ø24","http://cache.lego.com/media/bricks/5/1/4218868.jpg",84
"76012-1",4251161,2,"Black","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4251161.jpg",144
"76012-1",4647286,1,"Black","System: Bricks With Bows And Arches",93606,"Brick W. Bow 2X4","http://cache.lego.com/media/bricks/5/1/4647286.jpg",43
"76012-1",4570397,2,"Black","System: Bricks With Slope, Special",43720,"Right Brick 2X4 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4570397.jpg",13
"76012-1",4570401,2,"Black","System: Bricks With Slope, Special",43721,"Left Brick 2X4 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4570401.jpg",13
"76012-1",6039194,3,"Black","System: Bricks, Special",11215,"Stone 1X2X1 1/3 W. 2 Plates 2X2","http://cache.lego.com/media/bricks/5/1/6039194.jpg",53
"76012-1",366526,2,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"76012-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"76012-1",6051508,1,"Black","System: Bricks, With Slope",15571,"End Ridged Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/6051508.jpg",34
"76012-1",4273590,2,"Black","System: Decoration Elements",49668,"Plate 1X1 W/Tooth","http://cache.lego.com/media/bricks/5/1/4273590.jpg",105
"76012-1",4541191,6,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"76012-1",6014618,1,"Black","System: Figure, Head Clothing",10113,"Mask, Batman","http://cache.lego.com/media/bricks/5/1/6014618.jpg",32
"76012-1",4650620,1,"Black","System: Figure, Weapons",98721,"Boomerang Wing","http://cache.lego.com/media/bricks/5/1/4650620.jpg",44
"76012-1",4124096,4,"Black","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4124096.jpg",232
"76012-1",243126,5,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"76012-1",302026,3,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"76012-1",303426,2,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"76012-1",306826,7,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"76012-1",306926,4,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"76012-1",428226,1,"Black","System: Plates",4282,"Plate 2X16","http://cache.lego.com/media/bricks/5/1/428226.jpg",119
"76012-1",447726,1,"Black","System: Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/447726.jpg",237
"76012-1",4107761,2,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"76012-1",4286009,2,"Black","System: Plates, Special",4510,"Plate 1X8 With Rail","http://cache.lego.com/media/bricks/5/1/4286009.jpg",41
"76012-1",6016172,3,"Black","System: Plates, Special",99781,"Angular Plate 1,5 Top 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6016172.jpg",136
"76012-1",4160869,2,"Black","System: Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160869.jpg",119
"76012-1",4161332,2,"Black","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4161332.jpg",122
"76012-1",4283046,1,"Black","System: Plates, Special Circles And Angles",54383,"Right Plate 3X6 W. Angle","http://cache.lego.com/media/bricks/5/1/4283046.jpg",65
"76012-1",4283047,1,"Black","System: Plates, Special Circles And Angles",54384,"Left Plate 3X6 W Angle","http://cache.lego.com/media/bricks/5/1/4283047.jpg",67
