SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76014-1",6052369,1,"Black","System: Connectors",15646,"Hole Ø4.8 Ver. W. 4 Holder","http://cache.lego.com/media/bricks/5/1/6052369.jpg",18
"76014-1",6038385,1,"Black","System: Functional Elements",98285,"H. Plate Bot. 2X4 W. Ø¸4.85 H.","http://cache.lego.com/media/bricks/5/1/6038385.jpg",17
"76014-1",371026,1,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"76014-1",3003126,1,"Black","System: Transportation Means, Vehicles",30031,"Handle W. 3.18 Stick","http://cache.lego.com/media/bricks/5/1/3003126.jpg",124
"76014-1",4639695,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",89201,"Tyre Low Wide Ø24 X 14","http://cache.lego.com/media/bricks/5/1/4639695.jpg",47
"76014-1",4650636,2,"Black","Technic: Beams, Special",32294,"Lt Suspension","http://cache.lego.com/media/bricks/5/1/4650636.jpg",18
"76014-1",4121715,1,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"76014-1",6132299,4,"Black","Various: Category Not Known",24341,"Tyre Low Wide Ø24 X 14","http://cache.lego.com/media/bricks/5/1/6132299.jpg",5
"76014-1",4514554,1,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"76014-1",6055065,2,"Bright Blue","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6055065.jpg",46
"76014-1",4294738,2,"Bright Blue","System: Bricks, With Slope",52501,"Inverted Roof Tile 6X1X1","http://cache.lego.com/media/bricks/5/1/4294738.jpg",15
"76014-1",9341,1,"Bright Blue","System: Mini Figure",73200,"Mini Body Lowerpart Blue","http://cache.lego.com/media/bricks/5/1/9341.jpg",390
"76014-1",6004899,1,"Bright Blue","System: Mini Figure",76382,"Mini Upper Part No.2047","http://cache.lego.com/media/bricks/5/1/6004899.jpg",15
"76014-1",379523,1,"Bright Blue","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379523.jpg",221
"76014-1",4206482,2,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"76014-1",4633914,2,"Bright Red","System: Bricks With Bows And Arches",93273,"Plate W. Bow 1X4X2/3","http://cache.lego.com/media/bricks/5/1/4633914.jpg",40
