SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76023-1",235726,6,"Black","System: Bricks",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/1/235726.jpg",148
"76023-1",287726,12,"Black","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",147
"76023-1",300126,7,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"76023-1",300226,9,"Black","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300226.jpg",335
"76023-1",300326,8,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"76023-1",300426,18,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"76023-1",300526,18,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"76023-1",300826,2,"Black","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300826.jpg",165
"76023-1",300926,2,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"76023-1",301026,13,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"76023-1",362226,2,"Black","System: Bricks",3622,"Brick 1X3","http://cache.lego.com/media/bricks/5/1/362226.jpg",291
"76023-1",611126,6,"Black","System: Bricks",6111,"Brick 1X10","http://cache.lego.com/media/bricks/5/1/611126.jpg",85
"76023-1",4181144,8,"Black","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181144.jpg",142
"76023-1",4618852,2,"Black","System: Bricks",3245,"Brick 1X2X2","http://cache.lego.com/media/bricks/5/1/4618852.jpg",32
"76023-1",6037390,6,"Black","System: Bricks",93888,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/6037390.jpg",35
"76023-1",4180548,1,"Black","System: Bricks With Bows And Arches",44126,"Brick 2 X 6 W. Bow","http://cache.lego.com/media/bricks/5/1/4180548.jpg",37
"76023-1",4618880,20,"Black","System: Bricks With Bows And Arches",92903,"Brick 1X3X2 W/Ins And Outs.Bow","http://cache.lego.com/media/bricks/5/1/4618880.jpg",22
