SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76045-1",4200023,1,"Black","System: Bricks With Bows And Arches",30165,"Brick 2X2 W. Bow And Knobs","http://cache.lego.com/media/bricks/5/1/4200023.jpg",48
"76045-1",6039869,6,"Black","System: Bricks With Bows And Arches",13547,"Brick 1X4X1 Inv. Bow","http://cache.lego.com/media/bricks/5/1/6039869.jpg",49
"76045-1",6055158,2,"Black","System: Bricks With Slope, Special",48933,"Roof Tile 4X2/18° W/Cor.","http://cache.lego.com/media/bricks/5/1/6055158.jpg",3
"76045-1",6102341,3,"Black","System: Bricks, Special Circles And Angles",15395,"Dome 2X2, Inverted W. One Stud","http://cache.lego.com/media/bricks/5/1/6102341.jpg",6
"76045-1",370226,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/1/370226.jpg",184
"76045-1",303926,2,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"76045-1",4515362,4,"Black","System: Bricks, With Slope",60477,"Roof Tile 1X4X1","http://cache.lego.com/media/bricks/5/1/4515362.jpg",55
"76045-1",4653087,2,"Black","System: Bricks, With Slope",92946,"Roof Tile 1X2 45° W 1/3 Plate","http://cache.lego.com/media/bricks/5/1/4653087.jpg",80
"76045-1",6015891,4,"Black","System: Connectors",11090,"Holder Ø3.2 W/Tube Ø3.2 Hole","http://cache.lego.com/media/bricks/5/1/6015891.jpg",86
"76045-1",4504187,1,"Black","System: Decoration Elements",50949,"Plate 1X2 W. Spoiler","http://cache.lego.com/media/bricks/5/1/4504187.jpg",43
"76045-1",4541191,8,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"76045-1",6058966,2,"Black","System: Decoration Elements",98834,"Spoiler W. Shaft Ø 3.2","http://cache.lego.com/media/bricks/5/1/6058966.jpg",19
"76045-1",4141349,2,"Black","System: Fences And Ladders",6187,"Handle 1X4X2","http://cache.lego.com/media/bricks/5/1/4141349.jpg",50
"76045-1",4538456,1,"Black","System: Figure Accessories In Hand",64644,"Stick Ø3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/1/4538456.jpg",140
"76045-1",6103326,1,"Black","System: Figure, Head Clothing",18987,"Mini Figure Helmet No. 65","http://cache.lego.com/media/bricks/5/1/6103326.jpg",10
