SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76046-1",6039869,2,"Black","System: Bricks With Bows And Arches",13547,"Brick 1X4X1 Inv. Bow","http://cache.lego.com/media/bricks/5/1/6039869.jpg",49
"76046-1",6053077,6,"Black","System: Bricks With Bows And Arches",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/1/6053077.jpg",107
"76046-1",4253815,1,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"76046-1",3200026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/1/3200026.jpg",172
"76046-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"76046-1",4548180,8,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76046-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"76046-1",4106552,1,"Black","System: Figure Accessories In Hand",30089,"Camera","http://cache.lego.com/media/bricks/5/1/4106552.jpg",97
"76046-1",6103326,1,"Black","System: Figure, Head Clothing",18987,"Mini Figure Helmet No. 65","http://cache.lego.com/media/bricks/5/1/6103326.jpg",10
"76046-1",6103100,1,"Black","System: Figure, Heads And Masks",20053,"Mini Head No.1613","http://cache.lego.com/media/bricks/5/1/6103100.jpg",8
"76046-1",393726,4,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"76046-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"76046-1",242026,2,"Black","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242026.jpg",347
"76046-1",302126,11,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"76046-1",302426,3,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"76046-1",303226,2,"Black","System: Plates",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/1/303226.jpg",282
"76046-1",306826,1,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"76046-1",306926,6,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"76046-1",307026,4,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"76046-1",346026,3,"Black","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/346026.jpg",371
"76046-1",362326,22,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"76046-1",379526,2,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"76046-1",663626,9,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
"76046-1",6128992,1,"Black","System: Plates",22385,"Flat Tile2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/6128992.jpg",17
"76046-1",4107761,2,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"76046-1",4114689,2,"Black","System: Plates, Special",32124,"Technic Rotor, 2 Blades","http://cache.lego.com/media/bricks/5/1/4114689.jpg",73
"76046-1",4527604,2,"Black","System: Plates, Special",62743,"Rotorblad 2X16","http://cache.lego.com/media/bricks/5/1/4527604.jpg",25
"76046-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"76046-1",6051038,2,"Black","System: Plates, Special",15456,"Plate 2X2 W. Ball","http://cache.lego.com/media/bricks/5/1/6051038.jpg",56
"76046-1",6089577,2,"Black","System: Plates, Special",10201,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/6089577.jpg",87
"76046-1",4143180,1,"Black","System: Plates, Special Circles And Angles",30355,"Left Wing 6X12","http://cache.lego.com/media/bricks/5/1/4143180.jpg",25
"76046-1",4143181,1,"Black","System: Plates, Special Circles And Angles",30356,"Right Wing 6X12","http://cache.lego.com/media/bricks/5/1/4143181.jpg",25
"76046-1",4160869,1,"Black","System: Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160869.jpg",119
"76046-1",4161332,1,"Black","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4161332.jpg",122
"76046-1",4180508,2,"Black","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180508.jpg",102
"76046-1",4180536,2,"Black","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180536.jpg",105
"76046-1",4205347,2,"Black","System: Plates, Special Circles And Angles",30504,"Corner Plate 45 Deg. 8X8","http://cache.lego.com/media/bricks/5/1/4205347.jpg",17
