SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76049-1",287726,3,"Black","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",147
"76049-1",6047276,4,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"76049-1",265326,2,"Black","System: Bricks, Special",2653,"Sliding Piece 1X4","http://cache.lego.com/media/bricks/5/1/265326.jpg",81
"76049-1",4213374,2,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"76049-1",6051508,1,"Black","System: Bricks, With Slope",15571,"End Ridged Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/6051508.jpg",34
"76049-1",4541191,2,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"76049-1",6051331,2,"Black","System: Functional Elements",15391,"Mini Shooter With Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6051331.jpg",50
"76049-1",6102734,2,"Black","System: Functional Elements",15403,"Plate 1X2 W/Shooter","http://cache.lego.com/media/bricks/5/1/6102734.jpg",72
"76049-1",241226,15,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"76049-1",243126,2,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"76049-1",302026,4,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"76049-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"76049-1",306826,1,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"76049-1",307026,2,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"76049-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"76049-1",4558170,2,"Black","System: Plates",63864,"Flat Tile 1X3","http://cache.lego.com/media/bricks/5/1/4558170.jpg",112
"76049-1",281726,5,"Black","System: Plates, Special",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/1/281726.jpg",189
"76049-1",408126,4,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"76049-1",408526,2,"Black","System: Plates, Special",4085,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/408526.jpg",318
"76049-1",4140588,2,"Black","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140588.jpg",342
