SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76050-1",611226,2,"Black","System: Bricks",6112,"Brick 1X12","http://cache.lego.com/media/bricks/5/1/611226.jpg",76
"76050-1",6047276,1,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"76050-1",6053077,2,"Black","System: Bricks With Bows And Arches",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/1/6053077.jpg",107
"76050-1",654126,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654126.jpg",220
"76050-1",366526,6,"Black","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366526.jpg",231
"76050-1",374726,2,"Black","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/374726.jpg",172
"76050-1",4515373,2,"Black","System: Bricks, With Slope",60481,"Roof Tile 2X1X2","http://cache.lego.com/media/bricks/5/1/4515373.jpg",55
"76050-1",6114300,1,"Black","System: Figure Accessories, Upper And Lower Part",21138,"Mini Lower Part 'No. 853'","http://cache.lego.com/media/bricks/5/1/6114300.jpg",3
"76050-1",4659662,2,"Black","System: Figure, Weapons",95199,"Mini Spacegun W.Rib Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/4659662.jpg",21
"76050-1",6122096,1,"Black","System: Figure, Wigs",21778,"Mini Wig No. 104","http://cache.lego.com/media/bricks/5/1/6122096.jpg",9
"76050-1",4530589,2,"Black","System: Frames, Windows, Walls And Doors",60594,"Frame 1X4X3","http://cache.lego.com/media/bricks/5/1/4530589.jpg",54
"76050-1",6051331,2,"Black","System: Functional Elements",15391,"Mini Shooter With Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6051331.jpg",50
"76050-1",6114067,1,"Black","System: Mini Figure",76382,"Mini Upper Part No. 3013","http://cache.lego.com/media/bricks/5/1/6114067.jpg",3
"76050-1",302326,1,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"76050-1",306926,2,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"76050-1",366626,3,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"76050-1",395826,1,"Black","System: Plates",3958,"Plate 6X6","http://cache.lego.com/media/bricks/5/1/395826.jpg",109
"76050-1",4560182,1,"Black","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560182.jpg",152
"76050-1",4599499,6,"Black","System: Plates",92593,"Plate 1X4 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4599499.jpg",79
"76050-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"76050-1",4515368,2,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"76050-1",6000650,1,"Black","System: Plates, Special",99207,"Angular Plate 1.5 Bot. 1X2 2/2","http://cache.lego.com/media/bricks/5/1/6000650.jpg",162
"76050-1",6057397,2,"Black","System: Transportation Means, Vehicles",16091,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/6057397.jpg",43
"76050-1",6108553,1,"Black","System: Transportation Means, Vehicles",18895,"Motorcycle Fairing No. 4","http://cache.lego.com/media/bricks/5/1/6108553.jpg",2
"76050-1",4506553,4,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56891,"Tyre Balloon Wide Ø 37X18","http://cache.lego.com/media/bricks/5/1/4506553.jpg",38
"76050-1",6109682,2,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",20896,"Rim Wide 18X14 W. Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/6109682.jpg",13
"76050-1",6064174,2,"Black","System: Tyres And Rims, Special",50861,"Tyre Ø 20.9 X 5.8","http://cache.lego.com/media/bricks/5/1/6064174.jpg",49
"76050-1",6104030,1,"Black","System: Wheel Base",18896,"Motorcycle Frame No. 2","http://cache.lego.com/media/bricks/5/1/6104030.jpg",9
"76050-1",6134781,1,"Black","Various: Category Not Known",24144,"Weapon No. 11","http://cache.lego.com/media/bricks/5/1/6134781.jpg",7
"76050-1",6145876,1,"Black","Various: Category Not Known",26142,"Mini Head 'No.1907'","http://cache.lego.com/media/bricks/5/1/6145876.jpg",1
"76050-1",6145889,1,"Black","Various: Category Not Known",76382,"Mini Upper Part No 3354","http://cache.lego.com/media/bricks/5/1/6145889.jpg",1
"76050-1",4114319,1,"Brick Yellow","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/4114319.jpg",150
"76050-1",6066344,1,"Brick Yellow","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6066344.jpg",30
"76050-1",4157103,6,"Bright Orange","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4157103.jpg",161
"76050-1",4588003,3,"Bright Red","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4588003.jpg",141
"76050-1",614121,4,"Bright Red","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614121.jpg",416
"76050-1",6074771,2,"Bright Red","System: Tyres And Rims, Special",50862,"Rim Ø 14.58 X 8","http://cache.lego.com/media/bricks/5/1/6074771.jpg",6
"76050-1",6060854,1,"Dark Green","System: Figure Accessories In Hand",4449,"Mini Suitcase","http://cache.lego.com/media/bricks/5/1/6060854.jpg",4
"76050-1",4579659,9,"Dark Orange","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4579659.jpg",20
"76050-1",4666322,2,"Dark Orange","System: Bricks, Special",87087,"Brick 1X1 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/4666322.jpg",17
"76050-1",6069259,2,"Dark Orange","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/6069259.jpg",7
"76050-1",6115306,1,"Dark Orange","System: Figure, Wigs",20877,"Mini Figure Wig, No. 97","http://cache.lego.com/media/bricks/5/1/6115306.jpg",9
"76050-1",6058089,1,"Dark Orange","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/6058089.jpg",14
"76050-1",6074892,2,"Dark Orange","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/6074892.jpg",11
"76050-1",6055607,1,"Dark Stone Grey","System: Figure, Weapons",15445,"Rifle No. 3 W. 3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6055607.jpg",17
"76050-1",6051334,2,"Dark Stone Grey","System: Functional Elements",15392,"Trigger For Mini Shooter","http://cache.lego.com/media/bricks/5/1/6051334.jpg",162
