SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76051-1",9339,2,"Black","System",73200,"Mini Body Lower Part Black","https://www.lego.com/service/bricks/5/2/9339",742
"76051-1",242026,2,"Black","System",2420,"Corner Plate 1X2X2","https://www.lego.com/service/bricks/5/2/242026",376
"76051-1",244126,1,"Black","System",2441,"Chassis 4X7","https://www.lego.com/service/bricks/5/2/244126",52
"76051-1",300126,1,"Black","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300126",571
"76051-1",300426,2,"Black","System",3004,"Brick 1X2","https://www.lego.com/service/bricks/5/2/300426",757
"76051-1",300526,4,"Black","System",3005,"Brick 1X1","https://www.lego.com/service/bricks/5/2/300526",462
"76051-1",302026,6,"Black","System",3020,"Plate 2X4","https://www.lego.com/service/bricks/5/2/302026",947
"76051-1",302126,2,"Black","System",3021,"Plate 2X3","https://www.lego.com/service/bricks/5/2/302126",712
"76051-1",302226,5,"Black","System",3022,"Plate 2X2","https://www.lego.com/service/bricks/5/2/302226",922
"76051-1",302326,4,"Black","System",3023,"Plate 1X2","https://www.lego.com/service/bricks/5/2/302326",1107
"76051-1",303926,2,"Black","System",3039,"Roof Tile 2X2/45Â°","https://www.lego.com/service/bricks/5/2/303926",303
"76051-1",306826,3,"Black","System",3068,"Flat Tile 2X2","https://www.lego.com/service/bricks/5/2/306826",441
"76051-1",306926,2,"Black","System",3069,"Flat Tile 1X2","https://www.lego.com/service/bricks/5/2/306926",498
"76051-1",346026,2,"Black","System",3460,"Plate 1X8","https://www.lego.com/service/bricks/5/2/346026",396
"76051-1",362226,2,"Black","System",3622,"Brick 1X3","https://www.lego.com/service/bricks/5/2/362226",307
"76051-1",362326,4,"Black","System",3623,"Plate 1X3","https://www.lego.com/service/bricks/5/2/362326",501
"76051-1",366626,1,"Black","System",3666,"Plate 1X6","https://www.lego.com/service/bricks/5/2/366626",632
"76051-1",370026,4,"Black","System",3700,"Technic Brick 1X2, Ã˜4.9","https://www.lego.com/service/bricks/5/2/370026",367
"76051-1",379526,1,"Black","System",3795,"Plate 2X6","https://www.lego.com/service/bricks/5/2/379526",708
"76051-1",389426,2,"Black","System",3894,"Brick 1X6, Ã˜4,9","https://www.lego.com/service/bricks/5/2/389426",176
"76051-1",393726,2,"Black","System",3937,"Rocker Bearing 1X2","https://www.lego.com/service/bricks/5/2/393726",246
"76051-1",400626,1,"Black","System",4006,"Screwdriver/Spanner","https://www.lego.com/service/bricks/5/2/400626",240
"76051-1",614326,1,"Black","System",6143,"Brick Ã˜16 W. Cross","https://www.lego.com/service/bricks/5/2/614326",255
"76051-1",615726,2,"Black","System",6157,"Bearing Element 2X2 2/3","https://www.lego.com/service/bricks/5/2/615726",252
"76051-1",617926,1,"Black","System",6179,"Plate 4X4 W. 4 Knobs","https://www.lego.com/service/bricks/5/2/617926",75
"76051-1",4107558,2,"Black","System",32018,"Technic Brick 1X14, Ã˜4,9","https://www.lego.com/service/bricks/5/2/4107558",111
"76051-1",4107761,2,"Black","System",32028,"Plate 1X2 With Slide","https://www.lego.com/service/bricks/5/2/4107761",211
