SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76055-1",4218868,16,"Black","Miscellaneous: Miscellaneous Elements",2723,"Disk Ø24","http://cache.lego.com/media/bricks/5/1/4218868.jpg",84
"76055-1",611226,1,"Black","System: Bricks",6112,"Brick 1X12","http://cache.lego.com/media/bricks/5/1/611226.jpg",76
"76055-1",609126,2,"Black","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",145
"76055-1",4522034,2,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"76055-1",4618880,8,"Black","System: Bricks With Bows And Arches",92903,"Brick 1X3X2 W/Ins And Outs.Bow","http://cache.lego.com/media/bricks/5/1/4618880.jpg",22
"76055-1",4647286,6,"Black","System: Bricks With Bows And Arches",93606,"Brick W. Bow 2X4","http://cache.lego.com/media/bricks/5/1/4647286.jpg",43
"76055-1",6047276,6,"Black","System: Bricks With Bows And Arches",11477,"Plate W. Bow 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6047276.jpg",117
"76055-1",6053077,4,"Black","System: Bricks With Bows And Arches",15068,"Plate W. Bow  2X2X2/3","http://cache.lego.com/media/bricks/5/1/6053077.jpg",107
"76055-1",6106304,1,"Black","System: Bricks With Special Bows And Angles",50955,"Left Shell 3X10","http://cache.lego.com/media/bricks/5/1/6106304.jpg",14
"76055-1",6106305,1,"Black","System: Bricks With Special Bows And Angles",50956,"Right Shell 3X10","http://cache.lego.com/media/bricks/5/1/6106305.jpg",14
"76055-1",6123844,1,"Black","System: Bricks With Special Bows And Angles",43712,"Brick 4X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/6123844.jpg",5
"76055-1",306226,4,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"76055-1",6078886,2,"Black","System: Bricks, Special Circles And Angles",41767,"Right Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/6078886.jpg",22
"76055-1",6078889,2,"Black","System: Bricks, Special Circles And Angles",41768,"Left Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/6078889.jpg",22
"76055-1",273026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2730,"Technic Brick 1X10 Ø4.9","http://cache.lego.com/media/bricks/5/1/273026.jpg",141
"76055-1",4144025,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32531,"4X6 Brick, Ø 4,85","http://cache.lego.com/media/bricks/5/1/4144025.jpg",57
"76055-1",303726,1,"Black","System: Bricks, With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/303726.jpg",123
"76055-1",329726,1,"Black","System: Bricks, With Slope",3297,"Roof Tile 3X4/25°","http://cache.lego.com/media/bricks/5/1/329726.jpg",78
"76055-1",329826,2,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"76055-1",428626,2,"Black","System: Bricks, With Slope",4286,"Roof Tile 1X3/25°","http://cache.lego.com/media/bricks/5/1/428626.jpg",206
"76055-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"76055-1",4548180,2,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76055-1",4653087,6,"Black","System: Bricks, With Slope",92946,"Roof Tile 1X2 45° W 1/3 Plate","http://cache.lego.com/media/bricks/5/1/4653087.jpg",80
"76055-1",6065894,2,"Black","System: Bricks, With Slope",30180,"Roof Tile Plateau 2X10X2","http://cache.lego.com/media/bricks/5/1/6065894.jpg",9
"76055-1",4159335,2,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"76055-1",4143875,4,"Black","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/4143875.jpg",48
"76055-1",4636410,2,"Black","System: Decoration Elements",57906,"Flap 3X12X2/3 W. Fork","http://cache.lego.com/media/bricks/5/1/4636410.jpg",16
"76055-1",6103326,1,"Black","System: Figure, Head Clothing",18987,"Mini Figure Helmet No. 65","http://cache.lego.com/media/bricks/5/1/6103326.jpg",10
"76055-1",6103100,1,"Black","System: Figure, Heads And Masks",20053,"Mini Head No.1613","http://cache.lego.com/media/bricks/5/1/6103100.jpg",8
"76055-1",6103643,2,"Black","System: Figure, Weapons",62885,"Submachine Gun Ø3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6103643.jpg",11
"76055-1",6155002,1,"Black","System: Figure, Wigs",27058,"Wig Lady Page","http://cache.lego.com/media/bricks/5/1/6155002.jpg",5
