SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"76065-1",4548180,2,"Black","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4548180.jpg",284
"76065-1",4162345,1,"Black","System: Mini Figure",41879,"Mini Leg","http://cache.lego.com/media/bricks/5/1/4162345.jpg",44
"76065-1",601926,1,"Black","System: Plates, Special",6019,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/601926.jpg",329
"76065-1",4515368,2,"Black","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4515368.jpg",184
"76065-1",4569733,1,"Black","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4569733.jpg",138
"76065-1",6013867,1,"Black","System: Plates, Special",11203,"Flat Tile 2X2 Inv.","http://cache.lego.com/media/bricks/5/1/6013867.jpg",9
"76065-1",4508215,8,"Black","System: Tyres And Rims For Snap Ø3,2",30028,"Tyre Normal Wide Ø14.6 X 9","http://cache.lego.com/media/bricks/5/1/4508215.jpg",171
"76065-1",6011382,4,"Black","System: Tyres And Rims For Snap Ø3,2",74967,"Rim Wide W.Hole Ø8.1 X 9","http://cache.lego.com/media/bricks/5/1/6011382.jpg",15
"76065-1",6143933,1,"Black","Various: Category Not Known",76382,"Mini Upper Part No.3339","http://cache.lego.com/media/bricks/5/1/6143933.jpg",1
"76065-1",4543857,1,"Bright Blue","System: Mini Figure",41879,"Mini Leg","http://cache.lego.com/media/bricks/5/1/4543857.jpg",39
"76065-1",4143005,2,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"76065-1",6143765,1,"Bright Blue","Various: Category Not Known",25904,"Mini Head No. 1900","http://cache.lego.com/media/bricks/5/1/6143765.jpg",1
"76065-1",6143773,1,"Bright Blue","Various: Category Not Known",76382,"Mini Upper Part No. 3335","http://cache.lego.com/media/bricks/5/1/6143773.jpg",1
"76065-1",6071464,1,"Bright Red","System: Figure, Weapons",17459,"Shield No. 4","http://cache.lego.com/media/bricks/5/1/6071464.jpg",13
"76065-1",6143909,1,"Bright Red","Various: Category Not Known",25954,"Mini Head No.'1895'","http://cache.lego.com/media/bricks/5/1/6143909.jpg",1
"76065-1",303924,1,"Bright Yellow","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303924.jpg",173
"76065-1",4550348,1,"Bright Yellow","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4550348.jpg",66
"76065-1",4565386,1,"Bright Yellow","System: Plates",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/1/4565386.jpg",33
"76065-1",4535740,2,"Bright Yellow","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535740.jpg",26
"76065-1",4570877,3,"Dark Orange","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4570877.jpg",31
"76065-1",4210698,2,"Dark Stone Grey","System: Figure Accessories In Hand",4349,"Megaphone","http://cache.lego.com/media/bricks/5/1/4210698.jpg",66
"76065-1",4211094,1,"Dark Stone Grey","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4211094.jpg",499
"76065-1",4210660,1,"Dark Stone Grey","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4210660.jpg",287
"76065-1",4587212,2,"Dark Stone Grey","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4587212.jpg",170
"76065-1",6000606,1,"Dark Stone Grey","System: Plates, Special",99780,"Angular Plate 1.5 Bot. 1X2 1/2","http://cache.lego.com/media/bricks/5/1/6000606.jpg",230
"76065-1",6086709,1,"Dark Stone Grey","System: Plates, Special",18624,"Plate 1X4 Split-Level","http://cache.lego.com/media/bricks/5/1/6086709.jpg",47
"76065-1",6118832,2,"Dark Stone Grey","System: Plates, Special",21731,"Angle Plate 1X2 / 2X4","http://cache.lego.com/media/bricks/5/1/6118832.jpg",15
"76065-1",4212352,2,"Dark Stone Grey","System: Transportation Means, Aviation",4588,"Rocket Step Small 1X1","http://cache.lego.com/media/bricks/5/1/4212352.jpg",74
"76065-1",4504374,4,"Earth Blue","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504374.jpg",71
"76065-1",6143407,1,"Earth Blue","System: Transportation Means, Aviation",41531,"Turbine Ø31.81 X 2","http://cache.lego.com/media/bricks/5/1/6143407.jpg",2
"76065-1",6097585,2,"Earth Blue","System: Transportation Means, Vehicles",44674,"Racers Guard 2,5 X 4","http://cache.lego.com/media/bricks/5/1/6097585.jpg",5
"76065-1",6056383,1,"Medium Nougat","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/6056383.jpg",19
"76065-1",4211396,1,"Medium Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211396.jpg",447
"76065-1",6071229,2,"Medium Stone Grey","System: Plates, Special",15712,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6071229.jpg",87
"76065-1",4221775,1,"Medium Stone Grey","System: Signs, Flags And Poles",73587,"Mini Antenna Grey/Black","http://cache.lego.com/media/bricks/5/1/4221775.jpg",187
"76065-1",4226995,1,"Medium Stone Grey","System: Transportation Means, Vehicles",73081,"Console W. Wheel Grey/Black","http://cache.lego.com/media/bricks/5/1/4226995.jpg",136
"76065-1",6092956,1,"Medium Stone Grey","System: Transportation Means, Vehicles",16091,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/6092956.jpg",32
"76065-1",6011375,4,"Medium Stone Grey","System: Tyres And Rims For Snap Ø3,2",74967,"Rim Wide W.Hole Ø8.1 X 9","http://cache.lego.com/media/bricks/5/1/6011375.jpg",50
"76065-1",6134236,2,"Medium Stone Grey","Various: Category Not Known",24326,"Wheel Bearing 4X4X2/3 W/4,85 Hole","http://cache.lego.com/media/bricks/5/1/6134236.jpg",12
"76065-1",6028693,2,"Olive Green","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/6028693.jpg",1
"76065-1",6016484,2,"Olive Green","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/6016484.jpg",13
"76065-1",6143736,1,"Olive Green","System: Transportation Means, Vehicles",24151,"Mudguard 4X4X1 1/3 W/4,85 Hole","http://cache.lego.com/media/bricks/5/1/6143736.jpg",1
"76065-1",4211219,1,"Reddish Brown","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/4211219.jpg",84
"76065-1",6092591,3,"Sand Yellow","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6092591.jpg",20
"76065-1",6107389,2,"Silver Metallic","System: Figure Accessories In Hand",6269,"Cup Without Wreath","http://cache.lego.com/media/bricks/5/1/6107389.jpg",8
"76065-1",4633691,2,"Silver Metallic","System: Plates, Special Circles And Angles",6141,"Plate 1X1 Round","http://cache.lego.com/media/bricks/5/1/4633691.jpg",164
"76065-1",4645394,1,"Transparent","System: Bricks",30071,"Brick 1X1 - Tr","http://cache.lego.com/media/bricks/5/1/4645394.jpg",44
"76065-1",4650498,5,"Transparent","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4650498.jpg",139
"76065-1",4567331,2,"Transparent Blue","System: Bricks, Special Circles And Angles",64288,"Nose Cone Small 1X1 - Tr","http://cache.lego.com/media/bricks/5/1/4567331.jpg",89
"76065-1",4244368,2,"Transparent Brown","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244368.jpg",138
