SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7656-1",300526,5,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"7656-1",4162235,1,"Black","System: Bricks, Special",40902,"Brick 2X2 Fric/Fork Vert./End","http://cache.lego.com/media/bricks/5/1/4162235.jpg",38
"7656-1",4162443,1,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"7656-1",4500978,2,"Black","System: Bricks, Special Circles And Angles",6233,"Rocket Step 3X3X2 W. Cross","http://cache.lego.com/media/bricks/5/1/4500978.jpg",35
"7656-1",4498713,1,"Black","System: Figure, Weapons",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/1/4498713.jpg",142
"7656-1",243126,2,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"7656-1",302326,5,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"7656-1",303426,3,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"7656-1",303626,1,"Black","System: Plates",3036,"Plate 6X8","http://cache.lego.com/media/bricks/5/1/303626.jpg",136
"7656-1",306926,5,"Black","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306926.jpg",451
"7656-1",362326,2,"Black","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362326.jpg",456
"7656-1",366626,2,"Black","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/366626.jpg",574
"7656-1",244426,8,"Black","System: Plates, Special",2444,"Technic Bearing Plate 2X2","http://cache.lego.com/media/bricks/5/1/244426.jpg",124
"7656-1",3200126,2,"Black","System: Plates, Special",32001,"1Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/1/3200126.jpg",108
"7656-1",4107761,4,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"7656-1",4144023,2,"Black","System: Plates, Special",32529,"T-Beam W. Plate 1X2 W. Knob","http://cache.lego.com/media/bricks/5/1/4144023.jpg",55
"7656-1",4160869,1,"Black","System: Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160869.jpg",119
"7656-1",4161332,1,"Black","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4161332.jpg",122
"7656-1",4209003,2,"Black","System: Plates, Special Circles And Angles",47397,"Left Plate W. Angle 3X12","http://cache.lego.com/media/bricks/5/1/4209003.jpg",30
"7656-1",4209013,2,"Black","System: Plates, Special Circles And Angles",47398,"Right Plate W. Angle 3X12","http://cache.lego.com/media/bricks/5/1/4209013.jpg",30
"7656-1",4227684,2,"Black","System: Plates, Special Circles And Angles",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/1/4227684.jpg",70
"7656-1",4283046,1,"Black","System: Plates, Special Circles And Angles",54383,"Right Plate 3X6 W. Angle","http://cache.lego.com/media/bricks/5/1/4283046.jpg",65
"7656-1",4283047,1,"Black","System: Plates, Special Circles And Angles",54384,"Left Plate 3X6 W Angle","http://cache.lego.com/media/bricks/5/1/4283047.jpg",67
"7656-1",370726,2,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"7656-1",4121715,6,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"7656-1",4179771,2,"Brick Yellow","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/4179771.jpg",49
"7656-1",4113993,3,"Brick Yellow","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4113993.jpg",152
"7656-1",4114026,10,"Brick Yellow","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4114026.jpg",151
"7656-1",4185177,1,"Brick Yellow","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/4185177.jpg",121
"7656-1",4140562,9,"Brick Yellow","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4140562.jpg",109
"7656-1",4161734,12,"Brick Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4161734.jpg",140
"7656-1",4186017,6,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",292
"7656-1",4666579,6,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"7656-1",4500977,2,"Brick Yellow","Technic: Tyres And Rims, Special",4185,"Wedge-Belt Wheel Ã˜24","http://cache.lego.com/media/bricks/5/1/4500977.jpg",1
"7656-1",4586563,2,"Brick Yellow","Technic: Tyres And Rims, Special",4185,"Wedge-Belt Wheel Ã˜24","http://cache.lego.com/media/bricks/5/1/4586563.jpg",6
"7656-1",371021,1,"Bright Red","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371021.jpg",453
"7656-1",4140585,1,"Bright Red","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140585.jpg",101
"7656-1",4524644,1,"Bright Red","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4524644.jpg",84
"7656-1",4227155,2,"Bright Red","Technic: Connectors",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/1/4227155.jpg",287
"7656-1",4211088,1,"Dark Stone Grey","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211088.jpg",313
"7656-1",4211105,1,"Dark Stone Grey","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/4211105.jpg",137
"7656-1",4210778,2,"Dark Stone Grey","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/4210778.jpg",20
"7656-1",4210779,4,"Dark Stone Grey","System: Bricks With Bows And Arches",42023,"Brick 1X6 W/Bow, Rev.","http://cache.lego.com/media/bricks/5/1/4210779.jpg",68
"7656-1",4210797,2,"Dark Stone Grey","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/4210797.jpg",97
"7656-1",4210913,1,"Dark Stone Grey","System: Bricks With Bows And Arches",33243,"Bow Brick 1X3X2","http://cache.lego.com/media/bricks/5/1/4210913.jpg",5
"7656-1",6058858,2,"Dark Stone Grey","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/6058858.jpg",26
"7656-1",4298580,1,"Dark Stone Grey","System: Bricks With Slope, Special",43721,"Left Brick 2X4 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4298580.jpg",15
"7656-1",4298583,1,"Dark Stone Grey","System: Bricks With Slope, Special",43720,"Right Brick 2X4 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4298583.jpg",16
"7656-1",4180470,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",43713,"Brick 4 X 6 W/Bow, Inverted","http://cache.lego.com/media/bricks/5/1/4180470.jpg",14
"7656-1",4210860,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",42060,"Right Shell 3X12 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4210860.jpg",4
"7656-1",4210861,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",42061,"Left Shell 3X12 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4210861.jpg",4
"7656-1",4250256,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/4250256.jpg",10
"7656-1",4260406,3,"Dark Stone Grey","System: Bricks With Special Bows And Angles",45301,"Brick 4X16 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4260406.jpg",14
"7656-1",4636417,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",43713,"Brick 4 X 6 W/Bow, Inverted","http://cache.lego.com/media/bricks/5/1/4636417.jpg",44
"7656-1",6075231,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/6075231.jpg",11
"7656-1",4211108,2,"Dark Stone Grey","System: Bricks, Special Circles And Angles",3942,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/4211108.jpg",17
"7656-1",4210762,5,"Dark Stone Grey","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",32000,"Brick 1X2 M. 2 Holes Ã˜ 4,87","http://cache.lego.com/media/bricks/5/1/4210762.jpg",171
"7656-1",4211045,2,"Dark Stone Grey","System: Bricks, With Slope",4286,"Roof Tile 1X3/25Â°","http://cache.lego.com/media/bricks/5/1/4211045.jpg",118
"7656-1",4211076,2,"Dark Stone Grey","System: Bricks, With Slope",4871,"Roof Tile 4X2/45Â° Inv.","http://cache.lego.com/media/bricks/5/1/4211076.jpg",75
"7656-1",4211135,2,"Dark Stone Grey","System: Bricks, With Slope",3040,"Roof Tile 1X2/45Â°","http://cache.lego.com/media/bricks/5/1/4211135.jpg",261
