SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7669-1",300426,1,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"7669-1",300826,2,"Black","System: Bricks",3008,"Brick 1X8","http://cache.lego.com/media/bricks/5/1/300826.jpg",165
"7669-1",4167106,3,"Black","System: Bricks, Special",30386,"Brick 1X2 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4167106.jpg",29
"7669-1",389426,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/389426.jpg",160
"7669-1",4295400,1,"Black","System: Bricks, With Slope",56570,"Roof Tile 2X2 No. '14'","http://cache.lego.com/media/bricks/5/1/4295400.jpg",43
"7669-1",4143372,2,"Black","System: Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4143372.jpg",146
"7669-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7669-1",4521072,1,"Black","System: Mini Figure",76382,"Mini Upper Part 'No 1358'","http://cache.lego.com/media/bricks/5/1/4521072.jpg",7
"7669-1",243126,1,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"7669-1",302226,2,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"7669-1",281726,2,"Black","System: Plates, Special",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/1/281726.jpg",189
"7669-1",4183060,2,"Black","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183060.jpg",116
"7669-1",614126,6,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"7669-1",4140303,1,"Black","System: Signs, Flags And Poles",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4140303.jpg",199
"7669-1",4515185,1,"Black","Technic: Beams",60483,"Beam 1X2 W/Cross And Hole","http://cache.lego.com/media/bricks/5/1/4515185.jpg",12
"7669-1",370526,2,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"7669-1",4186017,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",292
"7669-1",4666579,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"7669-1",4160484,2,"Bright Orange","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4160484.jpg",7
"7669-1",4521364,2,"Bright Orange","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4521364.jpg",5
"7669-1",4515338,1,"Bright Red","System: Plates, Special",60471,"Plate 1X2 W/Fork, Vertical","http://cache.lego.com/media/bricks/5/1/4515338.jpg",24
"7669-1",4113206,1,"Bright Yellow","System: Bricks, Special",30237,"Brick 1X2 W. Horizontal Holder","http://cache.lego.com/media/bricks/5/1/4113206.jpg",22
"7669-1",4160333,1,"Bright Yellow","System: Bricks, Special Circles And Angles",41767,"Right Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160333.jpg",15
"7669-1",4160348,1,"Bright Yellow","System: Bricks, Special Circles And Angles",41768,"Left Brick 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160348.jpg",15
"7669-1",623224,2,"Bright Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6232,"Brick 2X2 W. Snap And Cross","http://cache.lego.com/media/bricks/5/1/623224.jpg",46
"7669-1",241224,3,"Bright Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241224.jpg",177
"7669-1",242024,2,"Bright Yellow","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242024.jpg",112
"7669-1",302024,2,"Bright Yellow","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302024.jpg",367
"7669-1",303424,1,"Bright Yellow","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303424.jpg",89
"7669-1",306924,4,"Bright Yellow","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/306924.jpg",249
"7669-1",663624,4,"Bright Yellow","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663624.jpg",94
"7669-1",4514844,2,"Bright Yellow","System: Plates",60479,"Plate 1X12","http://cache.lego.com/media/bricks/5/1/4514844.jpg",18
"7669-1",4184179,2,"Bright Yellow","System: Plates, Special",44570,"Roof 4X4 W. Forks","http://cache.lego.com/media/bricks/5/1/4184179.jpg",7
"7669-1",4160868,3,"Bright Yellow","System: Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160868.jpg",42
"7669-1",4161331,3,"Bright Yellow","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4161331.jpg",41
"7669-1",4515349,1,"Bright Yellow","System: Plates, Special Circles And Angles",60474,"Plate 4X4 Round W. Snap","http://cache.lego.com/media/bricks/5/1/4515349.jpg",40
"7669-1",4561033,1,"Bright Yellow","System: Plates, Special Circles And Angles",43719,"Plate 4X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4561033.jpg",5
"7669-1",4655280,1,"Bright Yellow","System: Plates, Special Circles And Angles",43719,"Plate 4X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4655280.jpg",21
"7669-1",4521393,1,"Bright Yellow","System: Signs, Flags And Poles",2525,"Flag 6X4 W. 2 Holders","http://cache.lego.com/media/bricks/5/1/4521393.jpg",1
"7669-1",4210906,1,"Dark Stone Grey","System: Bricks With Slope, Special",4855,"Roof Tile 4X2/18° Inv.","http://cache.lego.com/media/bricks/5/1/4210906.jpg",19
"7669-1",4210639,2,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/4210639.jpg",140
"7669-1",4213607,1,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/4213607.jpg",140
"7669-1",4210637,1,"Dark Stone Grey","System: Bricks, With Slope",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/1/4210637.jpg",62
"7669-1",4211068,2,"Dark Stone Grey","System: Bricks, With Slope",4287,"Roof Tile 1X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4211068.jpg",90
"7669-1",4504378,2,"Dark Stone Grey","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504378.jpg",298
"7669-1",4210635,2,"Dark Stone Grey","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/4210635.jpg",212
"7669-1",4211056,2,"Dark Stone Grey","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4211056.jpg",366
"7669-1",4211065,5,"Dark Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211065.jpg",578
"7669-1",4243831,1,"Dark Stone Grey","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243831.jpg",255
"7669-1",4210882,5,"Dark Stone Grey","System: Plates, Special",44300,"Plate 1X3 W/Stub/Along/U.P.","http://cache.lego.com/media/bricks/5/1/4210882.jpg",39
"7669-1",4210869,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4210869.jpg",82
"7669-1",4210872,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4210872.jpg",80
"7669-1",4271542,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",30355,"Left Wing 6X12","http://cache.lego.com/media/bricks/5/1/4271542.jpg",13
"7669-1",4271543,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",30356,"Right Wing 6X12","http://cache.lego.com/media/bricks/5/1/4271543.jpg",13
"7669-1",4290149,3,"Dark Stone Grey","System: Plates, Special Circles And Angles",54384,"Left Plate 3X6 W Angle","http://cache.lego.com/media/bricks/5/1/4290149.jpg",53
"7669-1",4290150,3,"Dark Stone Grey","System: Plates, Special Circles And Angles",54383,"Right Plate 3X6 W. Angle","http://cache.lego.com/media/bricks/5/1/4290150.jpg",49
"7669-1",4211050,1,"Dark Stone Grey","Technic: Connectors",32002,"1 1/2 M Connecting Bush","http://cache.lego.com/media/bricks/5/1/4211050.jpg",219
"7669-1",4521066,1,"Light Nougat","System: Figure, Heads And Masks",62116,"Mini Head 'No. 514'","http://cache.lego.com/media/bricks/5/1/4521066.jpg",9
"7669-1",4211394,3,"Medium Stone Grey","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4211394.jpg",270
"7669-1",4249188,2,"Medium Stone Grey","System: Bricks With Bows And Arches",6191,"Brick 1X4X1 1/3","http://cache.lego.com/media/bricks/5/1/4249188.jpg",6
"7669-1",4212007,2,"Medium Stone Grey","System: Bricks With Special Bows And Angles",41747,"Right Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4212007.jpg",17
"7669-1",4212008,2,"Medium Stone Grey","System: Bricks With Special Bows And Angles",41748,"Left Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4212008.jpg",16
"7669-1",4211409,2,"Medium Stone Grey","System: Bricks, With Slope",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/1/4211409.jpg",62
"7669-1",4539481,1,"Medium Stone Grey","System: Figure, Weapons",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/1/4539481.jpg",123
"7669-1",4520320,2,"Medium Stone Grey","System: Miscellaneous Elements",61184,"3 M.Arch W.Knob And Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4520320.jpg",381
"7669-1",4211396,4,"Medium Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211396.jpg",447
"7669-1",4211398,2,"Medium Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211398.jpg",621
"7669-1",4211445,6,"Medium Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211445.jpg",493
"7669-1",4251149,2,"Medium Stone Grey","System: Plates",4477,"Plate 1X10","http://cache.lego.com/media/bricks/5/1/4251149.jpg",130
"7669-1",4211840,2,"Medium Stone Grey","System: Plates, Special",44568,"Plate 1X4 W/Stumps Vertical","http://cache.lego.com/media/bricks/5/1/4211840.jpg",98
"7669-1",4594243,1,"Medium Stone Grey","System: Plates, Special Circles And Angles",90194,"Plate 3X4 W/Angles","http://cache.lego.com/media/bricks/5/1/4594243.jpg",34
"7669-1",4263610,2,"Medium Stone Grey","System: Transportation Means, Aviation",4868,"Jet Engine","http://cache.lego.com/media/bricks/5/1/4263610.jpg",23
