SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7670-1",4162443,2,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"7670-1",4529236,1,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"7670-1",4158848,2,"Black","System: Connectors",30552,"Fric/Stump With Cross Hole","http://cache.lego.com/media/bricks/5/1/4158848.jpg",80
"7670-1",4223247,1,"Black","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleton Arm","http://cache.lego.com/media/bricks/5/1/4223247.jpg",126
"7670-1",4498713,3,"Black","System: Figure, Weapons",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/1/4498713.jpg",142
"7670-1",4225201,1,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"7670-1",4514342,1,"Black","System: Plates, Special",30033,"Parabolic Ring","http://cache.lego.com/media/bricks/5/1/4514342.jpg",10
"7670-1",6018805,1,"Black","System: Plates, Special",75937,"Parabolic Ring","http://cache.lego.com/media/bricks/5/1/6018805.jpg",94
"7670-1",73587,1,"Black","System: Signs, Flags And Poles",73587,"Mini Antenna Ass.Bla/Bla","http://cache.lego.com/media/bricks/5/1/73587.jpg",132
"7670-1",370526,2,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"7670-1",4261885,3,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleon Arm","http://cache.lego.com/media/bricks/5/1/4261885.jpg",52
"7670-1",4262538,2,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",30375,"Space Skeleton Body","http://cache.lego.com/media/bricks/5/1/4262538.jpg",43
"7670-1",4508093,3,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",59230,"Space  Arm, Angled H.","http://cache.lego.com/media/bricks/5/1/4508093.jpg",37
"7670-1",4262529,3,"Brick Yellow","System: Figure, Wigs",30376,"Space Skeleton Leg","http://cache.lego.com/media/bricks/5/1/4262529.jpg",19
"7670-1",4545336,3,"Brick Yellow","System: Figure, Wigs",30378,"Space Skeleton Head","http://cache.lego.com/media/bricks/5/1/4545336.jpg",43
"7670-1",6029182,3,"Brick Yellow","System: Figure, Wigs",30376,"Space Skeleton Leg","http://cache.lego.com/media/bricks/5/1/6029182.jpg",47
"7670-1",4143005,2,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"7670-1",4521511,1,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",30375,"Space Skeleton Body","http://cache.lego.com/media/bricks/5/1/4521511.jpg",2
"7670-1",4246896,2,"Dark Stone Grey","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4246896.jpg",96
"7670-1",4210695,3,"Dark Stone Grey","System: Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4210695.jpg",108
"7670-1",4218696,4,"Dark Stone Grey","System: Decoration Elements",47457,"Plates W. Bows 2X2","http://cache.lego.com/media/bricks/5/1/4218696.jpg",114
"7670-1",4210676,1,"Dark Stone Grey","System: Figure Accessories In Hand",6190,"Telephone Reciver","http://cache.lego.com/media/bricks/5/1/4210676.jpg",39
"7670-1",4521512,4,"Dark Stone Grey","System: Figure Accessories, Upper And Lower Part",30375,"Space Skeleton Body","http://cache.lego.com/media/bricks/5/1/4521512.jpg",36
"7670-1",4211002,1,"Dark Stone Grey","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/4211002.jpg",487
"7670-1",4211056,4,"Dark Stone Grey","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4211056.jpg",366
"7670-1",4210726,4,"Dark Stone Grey","System: Plates, Special",30383,"Plate 1X2 W/Stub/Along/Upper P","http://cache.lego.com/media/bricks/5/1/4210726.jpg",90
"7670-1",4210892,1,"Dark Stone Grey","System: Plates, Special",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/1/4210892.jpg",114
"7670-1",4225733,1,"Dark Stone Grey","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/4225733.jpg",78
"7670-1",4210633,8,"Dark Stone Grey","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4210633.jpg",326
"7670-1",4234938,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",43719,"Plate 4X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4234938.jpg",40
"7670-1",4561036,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",43719,"Plate 4X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4561036.jpg",25
"7670-1",4210857,4,"Dark Stone Grey","Technic: Beams, Special",42003,"Cross Blok 3M","http://cache.lego.com/media/bricks/5/1/4210857.jpg",91
"7670-1",4211086,4,"Dark Stone Grey","Technic: Connectors",6587,"Crossaxle 3M With Knob","http://cache.lego.com/media/bricks/5/1/4211086.jpg",268
"7670-1",4211383,2,"Medium Stone Grey","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/4211383.jpg",174
"7670-1",4225532,2,"Medium Stone Grey","System: Bricks, Special",2921,"Brick 1X1 W. Handle","http://cache.lego.com/media/bricks/5/1/4225532.jpg",45
"7670-1",4233493,2,"Medium Stone Grey","System: Bricks, Special Ã˜4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233493.jpg",149
"7670-1",4514195,4,"Medium Stone Grey","System: Figure Accessories In Hand",60849,"Nozzle W/Ã˜3.18, Shaft","http://cache.lego.com/media/bricks/5/1/4514195.jpg",74
"7670-1",4520320,8,"Medium Stone Grey","System: Miscellaneous Elements",61184,"3 M.Arch W.Knob And Shaft Ã˜3.2","http://cache.lego.com/media/bricks/5/1/4520320.jpg",381
"7670-1",4211396,1,"Medium Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211396.jpg",447
"7670-1",4211444,4,"Medium Stone Grey","System: Plates, Special",3709,"Plate 2X4, 3XÃ¸4.9","http://cache.lego.com/media/bricks/5/1/4211444.jpg",63
"7670-1",4211568,2,"Medium Stone Grey","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4211568.jpg",189
"7670-1",4211804,4,"Medium Stone Grey","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4211804.jpg",108
