SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7671-1",287726,3,"Black","System: Bricks",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/1/287726.jpg",147
"7671-1",4162443,4,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"7671-1",4253815,2,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"7671-1",273026,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2730,"Technic Brick 1X10 Ø4.9","http://cache.lego.com/media/bricks/5/1/273026.jpg",141
"7671-1",4159335,4,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"7671-1",362626,2,"Black","System: Figure, Heads And Masks",3626,"Mini Head","http://cache.lego.com/media/bricks/5/1/362626.jpg",65
"7671-1",4498712,2,"Black","System: Figure, Weapons",57899,"Blaster, Rifle","http://cache.lego.com/media/bricks/5/1/4498712.jpg",58
"7671-1",368026,1,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"7671-1",393726,2,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"7671-1",407926,3,"Black","System: Interior",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/1/407926.jpg",86
"7671-1",370926,5,"Black","System: Plates, Special",3709,"Plate 2X4, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/370926.jpg",150
"7671-1",4144024,6,"Black","System: Plates, Special",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/1/4144024.jpg",123
"7671-1",4185620,1,"Black","System: Plates, Special",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/1/4185620.jpg",86
"7671-1",4278359,1,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"7671-1",73081,1,"Black","System: Transportation Means, Vehicles",73081,"Console W/St.Wheel Bl/Bl","http://cache.lego.com/media/bricks/5/1/73081.jpg",76
"7671-1",4121715,48,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"7671-1",4512363,2,"Black","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4512363.jpg",249
"7671-1",4218749,2,"Brick Yellow","System: Bricks",30136,"Palisade Brick 1X2","http://cache.lego.com/media/bricks/5/1/4218749.jpg",79
"7671-1",4509897,2,"Brick Yellow","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/4509897.jpg",48
"7671-1",4259840,2,"Brick Yellow","System: Plates, Special",52513,"Round Plate No. '2'","http://cache.lego.com/media/bricks/5/1/4259840.jpg",5
"7671-1",4161734,6,"Brick Yellow","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/4161734.jpg",140
"7671-1",403223,5,"Bright Blue","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403223.jpg",101
"7671-1",4143005,14,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"7671-1",4206482,8,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"7671-1",4514553,13,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",585
"7671-1",4143125,1,"Bright Red","System: Signs, Flags And Poles",4095,"Standard Ø3.18 X 53","http://cache.lego.com/media/bricks/5/1/4143125.jpg",6
"7671-1",4142865,3,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"7671-1",4504372,2,"Bright Yellowish Green","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504372.jpg",69
"7671-1",4500125,9,"Bright Yellowish Green","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4500125.jpg",83
"7671-1",4210778,5,"Dark Stone Grey","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/4210778.jpg",20
"7671-1",6058858,5,"Dark Stone Grey","System: Bricks With Bows And Arches",42022,"Brick 1X6 W/Bow","http://cache.lego.com/media/bricks/5/1/6058858.jpg",26
"7671-1",4210771,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",41747,"Right Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4210771.jpg",22
"7671-1",4210772,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",41748,"Left Shell 2X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4210772.jpg",23
"7671-1",4250256,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/4250256.jpg",10
"7671-1",6075231,1,"Dark Stone Grey","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/6075231.jpg",11
"7671-1",4210724,3,"Dark Stone Grey","System: Bricks, Special",30365,"Brick 1X2/Fric/Fork Vert./End","http://cache.lego.com/media/bricks/5/1/4210724.jpg",25
"7671-1",4213574,2,"Dark Stone Grey","System: Bricks, Special",47905,"Brick 1X1 W. 2 Knobs","http://cache.lego.com/media/bricks/5/1/4213574.jpg",64
"7671-1",4225973,1,"Dark Stone Grey","System: Bricks, Special",48169,"Brick 2X2 Ø4.85 Female","http://cache.lego.com/media/bricks/5/1/4225973.jpg",63
"7671-1",4529240,2,"Dark Stone Grey","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529240.jpg",169
"7671-1",4210917,5,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3894,"Technic Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/1/4210917.jpg",95
"7671-1",4210935,1,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4210935.jpg",195
"7671-1",4211064,1,"Dark Stone Grey","System: Bricks, With Slope",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/1/4211064.jpg",141
"7671-1",4210815,1,"Dark Stone Grey","System: Miscellaneous Elements",30359,"Brick W. Shaft 1X8X1","http://cache.lego.com/media/bricks/5/1/4210815.jpg",19
"7671-1",4210631,5,"Dark Stone Grey","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/4210631.jpg",469
"7671-1",4210998,2,"Dark Stone Grey","System: Plates",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/1/4210998.jpg",250
"7671-1",4211001,5,"Dark Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211001.jpg",489
"7671-1",4211063,8,"Dark Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211063.jpg",576
"7671-1",4243831,2,"Dark Stone Grey","System: Plates",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/1/4243831.jpg",255
"7671-1",4196768,3,"Dark Stone Grey","System: Plates, Special",2444,"Technic Bearing Plate 2X2","http://cache.lego.com/media/bricks/5/1/4196768.jpg",51
"7671-1",4211039,7,"Dark Stone Grey","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/4211039.jpg",121
"7671-1",4260707,3,"Dark Stone Grey","System: Plates, Special",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/1/4260707.jpg",42
"7671-1",4595708,2,"Dark Stone Grey","System: Plates, Special",92107,"Trapdoor Frame 6X8","http://cache.lego.com/media/bricks/5/1/4595708.jpg",52
"7671-1",4595710,2,"Dark Stone Grey","System: Plates, Special",92099,"Plate 4X5 W. Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4595710.jpg",80
"7671-1",4210728,5,"Dark Stone Grey","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4210728.jpg",67
"7671-1",4210865,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",43898,"Parabolic Reflector Ø24X6,4","http://cache.lego.com/media/bricks/5/1/4210865.jpg",84
"7671-1",4210869,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4210869.jpg",82
"7671-1",4210872,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4210872.jpg",80
"7671-1",4211042,5,"Dark Stone Grey","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4211042.jpg",259
"7671-1",4212352,2,"Dark Stone Grey","System: Transportation Means, Aviation",4588,"Rocket Step Small 1X1","http://cache.lego.com/media/bricks/5/1/4212352.jpg",74
"7671-1",4210668,2,"Dark Stone Grey","Technic: Beams",32009,"Double Angular Beam 3X7 45°","http://cache.lego.com/media/bricks/5/1/4210668.jpg",49
"7671-1",4210686,2,"Dark Stone Grey","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4210686.jpg",92
"7671-1",4210851,2,"Dark Stone Grey","Technic: Beams, Special",6536,"Cross Block 90°","http://cache.lego.com/media/bricks/5/1/4210851.jpg",94
