SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7676-1",300726,1,"Black","System: Bricks",3007,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/300726.jpg",80
"7676-1",434926,1,"Black","System: Figure Accessories In Hand",4349,"Megaphone","http://cache.lego.com/media/bricks/5/1/434926.jpg",167
"7676-1",4223247,4,"Black","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleton Arm","http://cache.lego.com/media/bricks/5/1/4223247.jpg",126
"7676-1",4498713,2,"Black","System: Figure, Weapons",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/1/4498713.jpg",142
"7676-1",4124096,3,"Black","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4124096.jpg",232
"7676-1",459926,2,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"7676-1",241226,1,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"7676-1",379426,6,"Black","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379426.jpg",354
"7676-1",244426,10,"Black","System: Plates, Special",2444,"Technic Bearing Plate 2X2","http://cache.lego.com/media/bricks/5/1/244426.jpg",124
"7676-1",255526,2,"Black","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255526.jpg",359
"7676-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"7676-1",4569733,1,"Black","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4569733.jpg",138
"7676-1",4538722,2,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"7676-1",4527635,1,"Black","System: Textiles",61198,"Asajj Ventress Skirt (Textile)","http://cache.lego.com/media/bricks/4/1/4527635.jpg",1
"7676-1",460026,1,"Black","System: Wheel Base",4600,"Bearing Element 2X2, Double","http://cache.lego.com/media/bricks/5/1/460026.jpg",201
"7676-1",370626,5,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"7676-1",370826,2,"Black","Technic: Connectors",3708,"Cross Axle 12M","http://cache.lego.com/media/bricks/5/1/370826.jpg",347
"7676-1",4121715,33,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"7676-1",4526982,2,"Black","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526982.jpg",183
"7676-1",4114306,5,"Brick Yellow","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/4114306.jpg",166
"7676-1",4205105,4,"Brick Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/4205105.jpg",29
"7676-1",4114322,2,"Brick Yellow","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/4114322.jpg",86
