SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"79102-1",4522034,2,"Black","System: Bricks With Bows And Arches",61678,"Brick W. Bow 1X4","http://cache.lego.com/media/bricks/5/1/4522034.jpg",77
"79102-1",6037746,2,"Black","System: Bricks With Bows And Arches",11153,"Brick With Bow 1X4","http://cache.lego.com/media/bricks/5/1/6037746.jpg",60
"79102-1",6051508,1,"Black","System: Bricks, With Slope",15571,"End Ridged Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/6051508.jpg",34
"79102-1",4541191,4,"Black","System: Decoration Elements",61409,"Roof Tile W. Lattice 1X2X2/3","http://cache.lego.com/media/bricks/5/1/4541191.jpg",154
"79102-1",6022943,1,"Black","System: Figure, Heads And Masks",12994,"Mini Head No. '1150'","http://cache.lego.com/media/bricks/5/1/6022943.jpg",7
"79102-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"79102-1",6030249,1,"Black","System: Mini Figure",76382,"Mini Upper Part No. 2264","http://cache.lego.com/media/bricks/5/1/6030249.jpg",6
"79102-1",241226,2,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"79102-1",302126,2,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"79102-1",302326,2,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"79102-1",383226,1,"Black","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383226.jpg",254
"79102-1",4225201,2,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"79102-1",4535739,4,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"79102-1",6027996,1,"Black","System: Plates, Special",2397,"Thill For Gig","http://cache.lego.com/media/bricks/5/1/6027996.jpg",8
"79102-1",4278359,3,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"79102-1",4623524,1,"Black","System: Transportation Means, Aviation",87615,"Roof Tile 6X10 W. Double Bow","http://cache.lego.com/media/bricks/5/1/4623524.jpg",7
"79102-1",4550937,3,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",58090,"Tyre Street Ø30.4 X 14","http://cache.lego.com/media/bricks/5/1/4550937.jpg",59
"79102-1",4656764,1,"Black","System: Wheel Base",30029,"Chassis 4X10 W. Bot. 2X4","http://cache.lego.com/media/bricks/5/1/4656764.jpg",39
"79102-1",370626,1,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"79102-1",4107085,2,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",347
"79102-1",4109810,2,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
"79102-1",4514554,2,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"79102-1",4206482,2,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"79102-1",300121,1,"Bright Red","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300121.jpg",436
"79102-1",613421,1,"Bright Red","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/613421.jpg",98
"79102-1",4534648,2,"Bright Red","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4534648.jpg",51
"79102-1",4140806,2,"Bright Red","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140806.jpg",199
"79102-1",6029853,1,"Bright Reddish Violet","System: Animals And Creatures",13023,"Creature Body No. 2 'No.1'","http://cache.lego.com/media/bricks/4/1/6029853.jpg",1
"79102-1",6055773,2,"Bright Reddish Violet","System: Animals And Creatures",13145,"Animal No.8 Arm","http://cache.lego.com/media/bricks/5/1/6055773.jpg",1
"79102-1",4525464,2,"Bright Yellow","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4525464.jpg",92
"79102-1",4621603,1,"Bright Yellow","System: Frames, Windows, Walls And Doors",93095,"Foot, Plate","http://cache.lego.com/media/bricks/5/1/4621603.jpg",12
"79102-1",663624,2,"Bright Yellow","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663624.jpg",94
"79102-1",4615642,1,"Bright Yellow","System: Plates, Special",92411,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/4615642.jpg",63
"79102-1",6117938,1,"Bright Yellow","System: Plates, Special",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/6117938.jpg",38
"79102-1",74156,2,"Bright Yellow","System: Signs, Flags And Poles",73587,"Mini Antenna Yell./Black","http://cache.lego.com/media/bricks/5/1/74156.jpg",131
"79102-1",4107066,2,"Bright Yellow","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107066.jpg",60
"79102-1",6023044,1,"Dark Green","System: Figure, Heads And Masks",13010,"Creature Head No. 1 Ass. No.3 ' No.1'","http://cache.lego.com/media/bricks/5/1/6023044.jpg",2
"79102-1",6025395,1,"Dark Green","System: Mini Figure",13278,"Mini Lowerbody 'No. 473'","http://cache.lego.com/media/bricks/5/1/6025395.jpg",5
"79102-1",6030247,1,"Dark Green","System: Mini Figure",76382,"Mini Upper Part No. 2263","http://cache.lego.com/media/bricks/5/1/6030247.jpg",4
"79102-1",6027686,1,"Dark Stone Grey","System: Bricks With Slope, Special",47759,"Roof Tile 4X2 W. Angl./Sl.Bot.","http://cache.lego.com/media/bricks/5/1/6027686.jpg",14
"79102-1",4210697,4,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",30526,"Brick 1X2 W. Double Snap","http://cache.lego.com/media/bricks/5/1/4210697.jpg",66
"79102-1",4210935,2,"Dark Stone Grey","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4210935.jpg",195
"79102-1",4549999,1,"Dark Stone Grey","System: Bricks, With Slope",60219,"Inv. Roof Tile 4X6, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/4549999.jpg",58
"79102-1",4567887,3,"Dark Stone Grey","System: Bricks, With Slope",85984,"Roof Tile 1 X 2 X 2/3, Abs","http://cache.lego.com/media/bricks/5/1/4567887.jpg",198
"79102-1",4566028,2,"Dark Stone Grey","System: Figure, Weapons",86208,"Butt","http://cache.lego.com/media/bricks/5/1/4566028.jpg",39
"79102-1",4271950,2,"Dark Stone Grey","System: Frames, Windows, Walls And Doors",4865,"Wall Element 1X2X1","http://cache.lego.com/media/bricks/5/1/4271950.jpg",46
"79102-1",4227517,1,"Dark Stone Grey","System: Plates, Special",30350,"Plate 2X3 W. Holder","http://cache.lego.com/media/bricks/5/1/4227517.jpg",71
"79102-1",4521187,2,"Dark Stone Grey","System: Plates, Special",60478,"Plate 1X2 W/Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4521187.jpg",202
"79102-1",4210869,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4210869.jpg",82
"79102-1",4210872,1,"Dark Stone Grey","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4210872.jpg",80
"79102-1",4210897,4,"Dark Stone Grey","System: Plates, Special Circles And Angles",2450,"Corner Plate 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/1/4210897.jpg",64
"79102-1",4210984,2,"Dark Stone Grey","System: Plates, Special Circles And Angles",2419,"Corner Plate 3X6","http://cache.lego.com/media/bricks/5/1/4210984.jpg",92
"79102-1",4652483,1,"Dark Stone Grey","System: Transportation Means, Aviation",87611,"Inverted R.T. 6X10 W.Doubl.Bow","http://cache.lego.com/media/bricks/5/1/4652483.jpg",16
"79102-1",4210753,2,"Dark Stone Grey","Technic: Beams",32526,"Technic Ang. Beam 3X5 90 Deg.","http://cache.lego.com/media/bricks/5/1/4210753.jpg",80
"79102-1",6027628,2,"Medium Stone Grey","System: Figure Accessories, Upper And Lower Part",13037,"Creature Leg No. 2","http://cache.lego.com/media/bricks/4/1/6027628.jpg",1
"79102-1",4211469,1,"Medium Stone Grey","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/4211469.jpg",174
"79102-1",4520320,6,"Medium Stone Grey","System: Miscellaneous Elements",61184,"3 M.Arch W.Knob And Shaft Ø3.2","http://cache.lego.com/media/bricks/5/1/4520320.jpg",381
"79102-1",4211376,2,"Medium Stone Grey","System: Plates, Special",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/1/4211376.jpg",154
"79102-1",4211475,2,"Medium Stone Grey","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/4211475.jpg",224
"79102-1",6052200,2,"Medium Stone Grey","System: Plates, Special Circles And Angles",14769,"Flat Tile 2X2, Round","http://cache.lego.com/media/bricks/5/1/6052200.jpg",118
"79102-1",4211758,2,"Medium Stone Grey","Technic: Connectors",42610,"Hub Ø11,2 X 7,84","http://cache.lego.com/media/bricks/5/1/4211758.jpg",230
"79102-1",4211807,2,"Medium Stone Grey","Technic: Connectors",3673,"Connector Peg","http://cache.lego.com/media/bricks/5/1/4211807.jpg",662
"79102-1",4541546,2,"New Dark Red","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4541546.jpg",40
"79102-1",4539091,1,"New Dark Red","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4539091.jpg",29
"79102-1",4541306,2,"New Dark Red","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4541306.jpg",11
"79102-1",6016483,3,"Olive Green","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/6016483.jpg",23
"79102-1",6020144,3,"Olive Green","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/6020144.jpg",15
"79102-1",6028102,3,"Olive Green","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",55981,"Rim Wide 18X14 W. Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/6028102.jpg",4
"79102-1",6027698,2,"Olive Green","Technic: Functional Elements",44225,"Flex Joint 6M, Ø24, Female","http://cache.lego.com/media/bricks/5/1/6027698.jpg",4
"79102-1",4211190,1,"Reddish Brown","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211190.jpg",281
"79102-1",6023060,1,"Sand Yellow","System: Figure Accessories, Upper And Lower Part",13030,"Shield With A Belt 'No. 1'","http://cache.lego.com/media/bricks/5/1/6023060.jpg",9
