SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"79117-1",300126,3,"Black","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300126.jpg",538
"79117-1",300326,4,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"79117-1",300526,4,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"79117-1",301026,1,"Black","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301026.jpg",474
"79117-1",4581280,4,"Black","System: Bricks With Bows And Arches",88292,"Brick With Bow 1X3X2","http://cache.lego.com/media/bricks/5/1/4581280.jpg",30
"79117-1",370026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"79117-1",654126,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654126.jpg",220
"79117-1",4233487,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32064,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/1/4233487.jpg",184
"79117-1",366026,2,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"79117-1",4504382,2,"Black","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504382.jpg",383
"79117-1",4667463,7,"Black","System: Cranes And Scaffold",95347,"Lattice Tower 2X2X10 W/Cross","http://cache.lego.com/media/bricks/5/1/4667463.jpg",34
"79117-1",4141349,3,"Black","System: Fences And Ladders",6187,"Handle 1X4X2","http://cache.lego.com/media/bricks/5/1/4141349.jpg",50
"79117-1",6066113,3,"Black","System: Fences And Ladders",15332,"Fence 1X4X2 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/6066113.jpg",37
"79117-1",4538456,1,"Black","System: Figure Accessories In Hand",64644,"Stick Ø3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/1/4538456.jpg",140
"79117-1",6055612,1,"Black","System: Figure, Head Clothing",15446,"Mini Goggles No. 2","http://cache.lego.com/media/bricks/5/1/6055612.jpg",4
"79117-1",6078024,2,"Black","System: Figure, Heads And Masks",17912,"Mini Head 'No.1452'","http://cache.lego.com/media/bricks/5/1/6078024.jpg",2
"79117-1",368026,2,"Black","System: Functional Elements",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/1/368026.jpg",208
"79117-1",459926,3,"Black","System: Interior",4599,"Tap Ø4.9/6.4","http://cache.lego.com/media/bricks/5/1/459926.jpg",209
"79117-1",6078030,2,"Black","System: Mini Figure",76382,"Mini Upper Part No.2708","http://cache.lego.com/media/bricks/5/1/6078030.jpg",3
"79117-1",6078308,1,"Black","System: Mini Figure",17994,"Mini Lower Part 'No.692'","http://cache.lego.com/media/bricks/5/1/6078308.jpg",1
"79117-1",6078311,1,"Black","System: Mini Figure",76382,"Mini Upper Part No.2719","http://cache.lego.com/media/bricks/5/1/6078311.jpg",1
"79117-1",6083606,1,"Black","System: Mini Figure",76382,"Mini Upper Part No 2713","http://cache.lego.com/media/bricks/5/1/6083606.jpg",1
"79117-1",241226,23,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"79117-1",243126,5,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"79117-1",302026,4,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"79117-1",302326,4,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"79117-1",302426,4,"Black","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302426.jpg",320
"79117-1",302726,2,"Black","System: Plates",3027,"Plate 6X16","http://cache.lego.com/media/bricks/5/1/302726.jpg",63
"79117-1",302926,2,"Black","System: Plates",3029,"Plate 4X12","http://cache.lego.com/media/bricks/5/1/302926.jpg",104
"79117-1",303026,1,"Black","System: Plates",3030,"Plate 4X10","http://cache.lego.com/media/bricks/5/1/303026.jpg",111
"79117-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"79117-1",303526,1,"Black","System: Plates",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/1/303526.jpg",211
"79117-1",306826,9,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"79117-1",307026,6,"Black","System: Plates",3070,"Flat Tile 1X1","http://cache.lego.com/media/bricks/5/1/307026.jpg",204
"79117-1",345626,2,"Black","System: Plates",3456,"Plate 6X14","http://cache.lego.com/media/bricks/5/1/345626.jpg",31
"79117-1",371026,2,"Black","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371026.jpg",839
"79117-1",383226,1,"Black","System: Plates",3832,"Plate 2X10","http://cache.lego.com/media/bricks/5/1/383226.jpg",254
"79117-1",416226,6,"Black","System: Plates",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/1/416226.jpg",229
"79117-1",663626,4,"Black","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663626.jpg",298
"79117-1",4100378,1,"Black","System: Plates",6180,"Plate 4X6 W. 12 Knobs","http://cache.lego.com/media/bricks/5/1/4100378.jpg",60
"79117-1",4514845,1,"Black","System: Plates",60479,"Plate 1X12","http://cache.lego.com/media/bricks/5/1/4514845.jpg",92
"79117-1",4560182,1,"Black","System: Plates",87079,"Flat Tile 2X4","http://cache.lego.com/media/bricks/5/1/4560182.jpg",152
"79117-1",317626,2,"Black","System: Plates, Special",3176,"Coupling Plate 2X2","http://cache.lego.com/media/bricks/5/1/317626.jpg",134
"79117-1",3004326,2,"Black","System: Plates, Special",30043,"Plate 1X4 W. Rev. Hook","http://cache.lego.com/media/bricks/5/1/3004326.jpg",51
"79117-1",4225201,5,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"79117-1",4297713,5,"Black","System: Plates, Special",30350,"Plate 2X3 W. Holder","http://cache.lego.com/media/bricks/5/1/4297713.jpg",45
"79117-1",4535739,4,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"79117-1",4569733,2,"Black","System: Plates, Special",88072,"Plate 1X2 W. Vertical Schaft","http://cache.lego.com/media/bricks/5/1/4569733.jpg",138
"79117-1",474026,5,"Black","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/474026.jpg",183
"79117-1",4180508,3,"Black","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180508.jpg",102
"79117-1",4180536,5,"Black","System: Plates, Special Circles And Angles",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4180536.jpg",105
"79117-1",6055123,1,"Black","System: Transportation Means, Aviation",15790,"Propeller Ø71.84","http://cache.lego.com/media/bricks/5/1/6055123.jpg",33
"79117-1",6057397,3,"Black","System: Transportation Means, Vehicles",16091,"Stee.Wheel Ø16 F/Console 2X2","http://cache.lego.com/media/bricks/5/1/6057397.jpg",43
"79117-1",6058150,1,"Black","System: Transportation Means, Vehicles",50860,"Motorcycle Fairing 1","http://cache.lego.com/media/bricks/5/1/6058150.jpg",3
"79117-1",249626,2,"Black","System: Tyres And Rims, Special",2496,"Wheel Axle Ø8.2/Ø1.9","http://cache.lego.com/media/bricks/5/1/249626.jpg",185
"79117-1",6064174,2,"Black","System: Tyres And Rims, Special",50861,"Tyre Ø 20.9 X 5.8","http://cache.lego.com/media/bricks/5/1/6064174.jpg",49
"79117-1",4530673,1,"Black","System: Wheel Base",50859,"Motorcycle Frame 6M","http://cache.lego.com/media/bricks/5/1/4530673.jpg",49
"79117-1",4128593,2,"Black","Technic: Beams",32348,"Technic Angular Beam 4X4","http://cache.lego.com/media/bricks/5/1/4128593.jpg",74
"79117-1",370526,2,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"79117-1",370626,1,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"79117-1",370826,1,"Black","Technic: Connectors",3708,"Cross Axle 12M","http://cache.lego.com/media/bricks/5/1/370826.jpg",347
"79117-1",4107085,1,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",347
"79117-1",4107783,1,"Black","Technic: Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107783.jpg",252
"79117-1",4121715,8,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"79117-1",4177431,2,"Black","Technic: Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",270
"79117-1",4142236,2,"Black","Technic: Half Beams",32449,"Lever 1X4, Without Notch","http://cache.lego.com/media/bricks/5/1/4142236.jpg",125
"79117-1",4580509,1,"Black","Technic: Transportation Means, Vehicles",2819,"Steering Wheel Ø24","http://cache.lego.com/media/bricks/5/1/4580509.jpg",12
"79117-1",4185273,1,"Brick Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6232,"Brick 2X2 W. Snap And Cross","http://cache.lego.com/media/bricks/5/1/4185273.jpg",36
"79117-1",4205105,1,"Brick Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",2458,"Brick 1X2 W. Horizontal Snap","http://cache.lego.com/media/bricks/5/1/4205105.jpg",29
"79117-1",4507055,1,"Brick Yellow","System: Mini Figure",41879,"Mini Leg","http://cache.lego.com/media/bricks/5/1/4507055.jpg",25
"79117-1",4113233,3,"Brick Yellow","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4113233.jpg",213
"79117-1",4113917,8,"Brick Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4113917.jpg",344
"79117-1",4114026,1,"Brick Yellow","System: Plates",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/1/4114026.jpg",151
"79117-1",4124067,2,"Brick Yellow","System: Plates",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/1/4124067.jpg",126
"79117-1",4159553,1,"Brick Yellow","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/4159553.jpg",121
"79117-1",4172695,1,"Bright Blue","System: Figure Accessories In Hand",42511,"Scateboard","http://cache.lego.com/media/bricks/5/1/4172695.jpg",21
"79117-1",4143005,8,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"79117-1",4654448,1,"Bright Orange","System: Miscellaneous Elements",96874,"Element Seperator","http://cache.lego.com/media/bricks/5/1/4654448.jpg",367
"79117-1",614321,1,"Bright Red","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614321.jpg",123
"79117-1",4216657,1,"Bright Red","System: Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4216657.jpg",66
"79117-1",370021,2,"Bright Red","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370021.jpg",140
"79117-1",302321,2,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"79117-1",4588003,1,"Bright Red","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4588003.jpg",141
"79117-1",4254591,1,"Bright Red","Technic: Beams",6629,"Technic Angular Beam 4X6","http://cache.lego.com/media/bricks/5/1/4254591.jpg",18
"79117-1",4227155,3,"Bright Red","Technic: Connectors",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/1/4227155.jpg",287
"79117-1",4526984,2,"Bright Red","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526984.jpg",51
"79117-1",4185661,2,"Bright Red","Technic: Decoration Elements",41669,"Bion. Eye","http://cache.lego.com/media/bricks/5/1/4185661.jpg",24
"79117-1",4227649,1,"Bright Red","Technic: Half Beams",32006,"Technic Lever 4M","http://cache.lego.com/media/bricks/5/1/4227649.jpg",19
"79117-1",300424,8,"Bright Yellow","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300424.jpg",443
"79117-1",654124,4,"Bright Yellow","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/654124.jpg",63
"79117-1",4179094,1,"Bright Yellow","System: Plates, Special Circles And Angles",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/1/4179094.jpg",41
"79117-1",6102555,2,"Bright Yellow","System: Plates, Special Circles And Angles",81867,"Round Flat Tile 2X2, Pizza","http://cache.lego.com/media/bricks/5/1/6102555.jpg",17
"79117-1",74156,1,"Bright Yellow","System: Signs, Flags And Poles",73587,"Mini Antenna Yell./Black","http://cache.lego.com/media/bricks/5/1/74156.jpg",131
"79117-1",6037775,2,"Dark Brown","System: Decoration Elements",11267,"Slide 6 Modules High","http://cache.lego.com/media/bricks/5/1/6037775.jpg",3
"79117-1",6096684,2,"Dark Brown","System: Figure, Weapons",19141,"Swordholder W. Ø 3.2 Shaft","http://cache.lego.com/media/bricks/5/1/6096684.jpg",2
"79117-1",4536677,3,"Dark Brown","System: Interior",2489,"Barrel 2X2","http://cache.lego.com/media/bricks/5/1/4536677.jpg",45
"79117-1",4536989,2,"Dark Brown","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4536989.jpg",40
"79117-1",4181135,1,"Dark Green","System: Bricks",44237,"Brick 2X6","http://cache.lego.com/media/bricks/5/1/4181135.jpg",37
"79117-1",306228,1,"Dark Green","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306228.jpg",86
"79117-1",4522678,2,"Dark Green","System: Bricks, Special Ø4.85 Hole And Connecting Bush",6541,"Technic Brick 1X1","http://cache.lego.com/media/bricks/5/1/4522678.jpg",15
"79117-1",302128,1,"Dark Green","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302128.jpg",156
"79117-1",302228,3,"Dark Green","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302228.jpg",219
"79117-1",302328,2,"Dark Green","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302328.jpg",250
"79117-1",302428,8,"Dark Green","System: Plates",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/1/302428.jpg",103
"79117-1",371028,1,"Dark Green","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371028.jpg",179
"79117-1",379428,1,"Dark Green","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379428.jpg",77
