SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"7942-1",383526,1,"Black","System: Figure Accessories In Hand",3835,"Mini Fireman'S Axe","http://cache.lego.com/media/bricks/5/1/383526.jpg",104
"7942-1",396226,1,"Black","System: Figure Accessories In Hand",3962,"Walkie-Talkie","http://cache.lego.com/media/bricks/5/1/396226.jpg",212
"7942-1",258426,1,"Black","System: Functional Elements",2584,"Drum Holder 2X2","http://cache.lego.com/media/bricks/5/1/258426.jpg",84
"7942-1",9339,1,"Black","System: Mini Figure",73200,"Mini Body Lower Part Black","http://cache.lego.com/media/bricks/5/1/9339.jpg",698
"7942-1",4275338,1,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 1187'","http://cache.lego.com/media/bricks/5/1/4275338.jpg",31
"7942-1",6032239,1,"Black","System: Mini Figure",76382,"Mini Upper Part 'No. 1187'","http://cache.lego.com/media/bricks/5/1/6032239.jpg",10
"7942-1",379526,1,"Black","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379526.jpg",649
"7942-1",448826,6,"Black","System: Plates, Special",4488,"Bearing Element 2X2, Single","http://cache.lego.com/media/bricks/5/1/448826.jpg",68
"7942-1",4274405,1,"Black","System: Plates, Special",2508,"Plate 1X2X4 W. Ball","http://cache.lego.com/media/bricks/5/1/4274405.jpg",65
"7942-1",4568644,6,"Black","System: Tyres And Rims For Snap Ã˜3,2",87697,"Tyre Normal Wide Ã˜21 X 12","http://cache.lego.com/media/bricks/5/1/4568644.jpg",253
"7942-1",301021,2,"Bright Red","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/301021.jpg",408
"7942-1",407021,2,"Bright Red","System: Bricks, Special",4070,"Angular Brick 1X1","http://cache.lego.com/media/bricks/5/1/407021.jpg",167
"7942-1",4259678,4,"Bright Red","System: Bricks, With Slope",52501,"Inverted Roof Tile 6X1X1","http://cache.lego.com/media/bricks/5/1/4259678.jpg",28
"7942-1",4171662,6,"Bright Red","System: Frames, Windows, Walls And Doors",43337,"Wall Element 1X4X1 Abs","http://cache.lego.com/media/bricks/5/1/4171662.jpg",31
"7942-1",4261628,2,"Bright Red","System: Interior",4345,"Mailbox, Casing 2X2X2","http://cache.lego.com/media/bricks/5/1/4261628.jpg",41
"7942-1",302021,4,"Bright Red","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302021.jpg",507
"7942-1",362321,2,"Bright Red","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362321.jpg",223
"7942-1",371021,1,"Bright Red","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371021.jpg",453
"7942-1",255521,5,"Bright Red","System: Plates, Special",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/255521.jpg",80
"7942-1",4524644,1,"Bright Red","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4524644.jpg",84
"7942-1",4588003,2,"Bright Red","System: Plates, Special",60897,"Plate 1X1 W. Holder","http://cache.lego.com/media/bricks/5/1/4588003.jpg",141
"7942-1",4594954,2,"Bright Red","System: Plates, Special",92092,"Waggon Side 2X4 W. Forks","http://cache.lego.com/media/bricks/5/1/4594954.jpg",4
"7942-1",6030717,5,"Bright Red","System: Plates, Special",12825,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/1/6030717.jpg",32
"7942-1",4193074,2,"Bright Red","System: Transportation Means, Vehicles",45677,"Plate 4X4X2/3","http://cache.lego.com/media/bricks/5/1/4193074.jpg",25
"7942-1",306224,1,"Bright Yellow","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306224.jpg",202
"7942-1",383824,1,"Bright Yellow","System: Figure Accessories, Upper Body",3838,"Mini Oxygen Bottles","http://cache.lego.com/media/bricks/5/1/383824.jpg",63
"7942-1",6022320,1,"Bright Yellow","System: Figure, Heads And Masks",45939,"Mini Head No. 282","http://cache.lego.com/media/bricks/5/1/6022320.jpg",59
"7942-1",4256320,1,"Bright Yellow","System: Interior",4599,"Tap Ã˜4.9/6.4","http://cache.lego.com/media/bricks/5/1/4256320.jpg",107
"7942-1",302224,1,"Bright Yellow","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302224.jpg",370
"7942-1",4262022,1,"Bright Yellow","System: Rubbers And Strings",74610,"String 30 Cm W. Jet Pipe","http://cache.lego.com/media/bricks/4/1/4262022.jpg",6
"7942-1",9553,1,"Bright Yellow","System: Transportation Means, Vehicles",73081,"Console W/St Wheel Ye/Bl","http://cache.lego.com/media/bricks/5/1/9553.jpg",186
"7942-1",4260036,1,"Cool Silver, Drum Lacquered","System: Figure, Head Clothing",52545,"Fire Helm, Chromlakeret","http://cache.lego.com/media/bricks/5/1/4260036.jpg",15
"7942-1",4264898,1,"Dark Stone Grey","System: Bricks, Special",52038,"Brick 1X4X1 2/3 W. V. Knobs","http://cache.lego.com/media/bricks/5/1/4264898.jpg",10
"7942-1",4211080,1,"Dark Stone Grey","System: Figure Accessories In Hand",30194,"Circular Saw","http://cache.lego.com/media/bricks/5/1/4211080.jpg",54
"7942-1",4261469,1,"Dark Stone Grey","System: Figure, Head Clothing",6158,"Smoke Helmet Protection","http://cache.lego.com/media/bricks/5/1/4261469.jpg",38
"7942-1",4210888,2,"Dark Stone Grey","System: Interior",4346,"Mailbox, Front 2X2","http://cache.lego.com/media/bricks/5/1/4210888.jpg",1
"7942-1",4211001,1,"Dark Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211001.jpg",489
"7942-1",4215740,1,"Dark Stone Grey","System: Plates",48196,"Flat Tile 1X4 'No.28'","http://cache.lego.com/media/bricks/5/1/4215740.jpg",37
"7942-1",6020825,1,"Dark Stone Grey","System: Plates",48196,"Flat Tile 1X4 'No.28'","http://cache.lego.com/media/bricks/5/1/6020825.jpg",12
"7942-1",4211039,1,"Dark Stone Grey","System: Plates, Special",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/1/4211039.jpg",121
"7942-1",4263176,2,"Dark Stone Grey","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/4263176.jpg",85
"7942-1",4260124,6,"Dark Stone Grey","System: Transportation Means, Vehicles",50745,"Brick 2X4X1 W. Screen","http://cache.lego.com/media/bricks/5/1/4260124.jpg",73
"7942-1",4259673,1,"Dark Stone Grey","System: Wheel Base",52036,"Plate 4X12 W. Bottom 2X4X2/3","http://cache.lego.com/media/bricks/5/1/4259673.jpg",61
"7942-1",4211370,1,"Medium Stone Grey","System: Functional Elements",2585,"Drum Ã˜11","http://cache.lego.com/media/bricks/5/1/4211370.jpg",78
"7942-1",4211356,2,"Medium Stone Grey","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/4211356.jpg",323
"7942-1",4211396,1,"Medium Stone Grey","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/4211396.jpg",447
"7942-1",4211398,5,"Medium Stone Grey","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/4211398.jpg",621
"7942-1",4227776,1,"Medium Stone Grey","System: Plates",50290,"Flat Tile 1X2 'No. 101'","http://cache.lego.com/media/bricks/5/1/4227776.jpg",99
"7942-1",4244627,1,"Medium Stone Grey","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4244627.jpg",280
"7942-1",4530469,1,"Medium Stone Grey","System: Plates, Special",63082,"Plate 2X2 W Ball Socket W/Cros","http://cache.lego.com/media/bricks/5/1/4530469.jpg",58
"7942-1",4244362,2,"Transparent","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244362.jpg",236
"7942-1",4113106,1,"Transparent","System: Frames, Windows, Walls And Doors",30010,"Wall Element 1X2X1 - Tr.","http://cache.lego.com/media/bricks/5/1/4113106.jpg",84
"7942-1",4244366,4,"Transparent Blue","System: Bricks, With Slope",50746,"Roof Tile 1 X 1 X 2/3","http://cache.lego.com/media/bricks/5/1/4244366.jpg",124
"7942-1",4163306,1,"Transparent Brown","System: Figure, Head Clothing",2447,"Mini Visor 2","http://cache.lego.com/media/bricks/5/1/4163306.jpg",205
"7942-1",4498374,1,"Transparent Light Blue","System: Windscreens And Cockpits",57783,"Windscreen  4X3X1 1/3","http://cache.lego.com/media/bricks/5/1/4498374.jpg",37
"7942-1",3000841,2,"Transparent Red","System: Plates",30008,"Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3000841.jpg",255
"7942-1",4194746,1,"Transparent Yellow","System: Plates",6225,"Plate 1X2 - Tr.","http://cache.lego.com/media/bricks/5/1/4194746.jpg",155
"7942-1",3005744,1,"Transparent Yellow","System: Plates, Special Circles And Angles",30057,"Round Plate 1X1 - Tr.","http://cache.lego.com/media/bricks/5/1/3005744.jpg",503
"7942-1",300401,1,"White","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300401.jpg",789
"7942-1",459901,1,"White","System: Interior",4599,"Tap Ã˜4.9/6.4","http://cache.lego.com/media/bricks/5/1/459901.jpg",73
"7942-1",241201,9,"White","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241201.jpg",244
"7942-1",302001,2,"White","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302001.jpg",614
"7942-1",371001,3,"White","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/371001.jpg",677
"7942-1",379401,1,"White","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379401.jpg",325
"7942-1",6051511,1,"White","System: Plates",15573,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/6051511.jpg",360
"7942-1",4193479,2,"White","System: Plates, Special",44568,"Plate 1X4 W/Stumps Vertical","http://cache.lego.com/media/bricks/5/1/4193479.jpg",27
"7942-1",4170457,6,"White","System: Tyres And Rims For Snap Ã˜3,2",6014,"Rim Wide W. Hole Ã˜11","http://cache.lego.com/media/bricks/5/1/4170457.jpg",146
