SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8018-1",300526,6,"Black","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/300526.jpg",431
"8018-1",300926,2,"Black","System: Bricks",3009,"Brick 1X6","http://cache.lego.com/media/bricks/5/1/300926.jpg",279
"8018-1",611126,1,"Black","System: Bricks",6111,"Brick 1X10","http://cache.lego.com/media/bricks/5/1/611126.jpg",85
"8018-1",4529236,6,"Black","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4529236.jpg",206
"8018-1",4248537,1,"Black","System: Decoration Elements",50948,"Cockpit 3X4X 2/3","http://cache.lego.com/media/bricks/5/1/4248537.jpg",17
"8018-1",4541482,1,"Black","System: Decoration Elements",50948,"Cockpit 3X4X 2/3","http://cache.lego.com/media/bricks/5/1/4541482.jpg",11
"8018-1",4538456,2,"Black","System: Figure Accessories In Hand",64644,"Stick Ø3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/1/4538456.jpg",140
"8018-1",4498712,1,"Black","System: Figure, Weapons",57899,"Blaster, Rifle","http://cache.lego.com/media/bricks/5/1/4498712.jpg",58
"8018-1",4517986,1,"Black","System: Functional Elements",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/1/4517986.jpg",158
"8018-1",241226,2,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"8018-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"8018-1",244426,1,"Black","System: Plates, Special",2444,"Technic Bearing Plate 2X2","http://cache.lego.com/media/bricks/5/1/244426.jpg",124
"8018-1",4225201,3,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"8018-1",4535739,6,"Black","System: Plates, Special",63868,"Plate 2X1 W/Holder,Vertical","http://cache.lego.com/media/bricks/5/1/4535739.jpg",173
"8018-1",403226,1,"Black","System: Plates, Special Circles And Angles",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/1/403226.jpg",412
"8018-1",614126,8,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"8018-1",73587,2,"Black","System: Signs, Flags And Poles",73587,"Mini Antenna Ass.Bla/Bla","http://cache.lego.com/media/bricks/5/1/73587.jpg",132
"8018-1",4538722,5,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"8018-1",370526,1,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"8018-1",4121715,5,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8018-1",4140801,3,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"8018-1",4526982,2,"Black","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526982.jpg",183
"8018-1",4261885,4,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",30377,"Space Skeleon Arm","http://cache.lego.com/media/bricks/5/1/4261885.jpg",52
"8018-1",4262538,2,"Brick Yellow","System: Figure Accessories, Upper And Lower Part",30375,"Space Skeleton Body","http://cache.lego.com/media/bricks/5/1/4262538.jpg",43
"8018-1",4262529,2,"Brick Yellow","System: Figure, Wigs",30376,"Space Skeleton Leg","http://cache.lego.com/media/bricks/5/1/4262529.jpg",19
"8018-1",4545336,2,"Brick Yellow","System: Figure, Wigs",30378,"Space Skeleton Head","http://cache.lego.com/media/bricks/5/1/4545336.jpg",43
"8018-1",6029182,2,"Brick Yellow","System: Figure, Wigs",30376,"Space Skeleton Leg","http://cache.lego.com/media/bricks/5/1/6029182.jpg",47
"8018-1",4507055,1,"Brick Yellow","System: Mini Figure",41879,"Mini Leg","http://cache.lego.com/media/bricks/5/1/4507055.jpg",25
"8018-1",4544205,1,"Brick Yellow","System: Mini Figure",76382,"Mini Upper Part  'No.1458'","http://cache.lego.com/media/bricks/5/1/4544205.jpg",2
"8018-1",300223,5,"Bright Blue","System: Bricks",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/1/300223.jpg",256
"8018-1",300723,2,"Bright Blue","System: Bricks",3007,"Brick 2X8","http://cache.lego.com/media/bricks/5/1/300723.jpg",108
"8018-1",370023,6,"Bright Blue","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370023.jpg",90
"8018-1",370223,1,"Bright Blue","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/1/370223.jpg",11
"8018-1",303923,6,"Bright Blue","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303923.jpg",152
"8018-1",366523,10,"Bright Blue","System: Bricks, With Slope",3665,"Roof Tile 1X2 Inv.","http://cache.lego.com/media/bricks/5/1/366523.jpg",106
"8018-1",4124107,2,"Bright Blue","System: Bricks, With Slope",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/1/4124107.jpg",29
"8018-1",242023,2,"Bright Blue","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242023.jpg",93
"8018-1",4118785,2,"Bright Blue","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/4118785.jpg",63
"8018-1",373823,2,"Bright Blue","System: Plates, Special",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/1/373823.jpg",21
"8018-1",4140586,1,"Bright Blue","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140586.jpg",70
"8018-1",4282744,4,"Bright Blue","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282744.jpg",35
"8018-1",614123,5,"Bright Blue","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614123.jpg",165
"8018-1",4160867,3,"Bright Blue","System: Plates, Special Circles And Angles",41769,"Right Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4160867.jpg",46
"8018-1",4161330,3,"Bright Blue","System: Plates, Special Circles And Angles",41770,"Left Plate 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4161330.jpg",45
"8018-1",4143005,3,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"8018-1",4206482,3,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8018-1",302321,2,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"8018-1",4142865,1,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"8018-1",4548731,1,"Cool Silver, Drum Lacquered","System: Figure, Special",86132,"Light Sword Stock, Drum Lac.","http://cache.lego.com/media/bricks/5/1/4548731.jpg",33
"8018-1",4211103,1,"Dark Stone Grey","System: Bricks",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/1/4211103.jpg",241
"8018-1",4210779,2,"Dark Stone Grey","System: Bricks With Bows And Arches",42023,"Brick 1X6 W/Bow, Rev.","http://cache.lego.com/media/bricks/5/1/4210779.jpg",68
"8018-1",4210913,2,"Dark Stone Grey","System: Bricks With Bows And Arches",33243,"Bow Brick 1X3X2","http://cache.lego.com/media/bricks/5/1/4210913.jpg",5
