SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8019-1",609126,2,"Black","System: Bricks With Bows And Arches",6091,"Brick W. Arch 1X1X1 1/3","http://cache.lego.com/media/bricks/5/1/609126.jpg",145
"8019-1",4162443,1,"Black","System: Bricks, Special",30414,"Brick 1X4 W. 4 Knobs","http://cache.lego.com/media/bricks/5/1/4162443.jpg",141
"8019-1",306226,2,"Black","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306226.jpg",364
"8019-1",370026,4,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/1/370026.jpg",335
"8019-1",452226,2,"Black","System: Figure Accessories In Hand",4522,"Hammer","http://cache.lego.com/media/bricks/5/1/452226.jpg",133
"8019-1",4498713,2,"Black","System: Figure, Weapons",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/1/4498713.jpg",142
"8019-1",393726,6,"Black","System: Functional Elements",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/1/393726.jpg",225
"8019-1",244526,2,"Black","System: Plates",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/1/244526.jpg",220
"8019-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"8019-1",302126,2,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"8019-1",4183043,2,"Black","System: Plates, Special",44301,"Plate 1X2 W/Stub Vertical/End","http://cache.lego.com/media/bricks/5/1/4183043.jpg",106
"8019-1",4258354,2,"Black","System: Plates, Special",2460,"Plate 2X2 W. Vertical Snap","http://cache.lego.com/media/bricks/5/1/4258354.jpg",90
"8019-1",4282746,5,"Black","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282746.jpg",134
"8019-1",614126,6,"Black","System: Plates, Special Circles And Angles",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/1/614126.jpg",674
"8019-1",4180087,2,"Black","System: Plates, Special Circles And Angles",43898,"Parabolic Reflector Ø24X6,4","http://cache.lego.com/media/bricks/5/1/4180087.jpg",53
"8019-1",4140303,4,"Black","System: Signs, Flags And Poles",30374,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/1/4140303.jpg",199
"8019-1",4173668,6,"Black","Technic: Beams, Special",6536,"Cross Block 90°","http://cache.lego.com/media/bricks/5/1/4173668.jpg",277
"8019-1",370526,5,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"8019-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"8019-1",373726,2,"Black","Technic: Connectors",3737,"Cross Axle 10M","http://cache.lego.com/media/bricks/5/1/373726.jpg",427
"8019-1",4119589,2,"Black","Technic: Connectors",32138,"Module Bush","http://cache.lego.com/media/bricks/5/1/4119589.jpg",205
"8019-1",4121715,6,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8019-1",4140801,14,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"8019-1",4184169,3,"Black","Technic: Connectors",6628,"Ball With Friction Snap","http://cache.lego.com/media/bricks/5/1/4184169.jpg",317
"8019-1",4107136,2,"Black","Technic: Half Beams",32006,"Technic Lever 4M","http://cache.lego.com/media/bricks/5/1/4107136.jpg",104
"8019-1",4162857,2,"Black","Technic: Half Beams, Special",41678,"Technic Cross Block/Fork 2X2","http://cache.lego.com/media/bricks/5/1/4162857.jpg",115
"8019-1",4186017,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",292
"8019-1",4666579,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"8019-1",4195007,6,"Bright Blue","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4195007.jpg",34
"8019-1",407923,3,"Bright Blue","System: Interior",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/1/407923.jpg",109
"8019-1",4183052,2,"Bright Blue","System: Plates, Special",44302,"Plate 1X2 W/Fork/Vertical/End","http://cache.lego.com/media/bricks/5/1/4183052.jpg",11
"8019-1",4509376,2,"Bright Blue","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4509376.jpg",37
"8019-1",4143005,16,"Bright Blue","Technic: Connectors",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/1/4143005.jpg",585
"8019-1",4206482,10,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8019-1",4514553,12,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",585
"8019-1",4107829,4,"Bright Blue","Technic: Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/4107829.jpg",39
"8019-1",4528725,2,"Bright Blue","Technic: Half Beams",32249,"Halfbeam Curve 3X3","http://cache.lego.com/media/bricks/5/1/4528725.jpg",4
"8019-1",4142865,2,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
