SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8069-1",300426,1,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"8069-1",329826,1,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"8069-1",241226,1,"Black","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241226.jpg",592
"8069-1",302126,1,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"8069-1",306826,2,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"8069-1",244426,2,"Black","System: Plates, Special",2444,"Technic Bearing Plate 2X2","http://cache.lego.com/media/bricks/5/1/244426.jpg",124
"8069-1",4107761,1,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"8069-1",4278359,1,"Black","System: Plates, Special Circles And Angles",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/1/4278359.jpg",241
"8069-1",4140327,2,"Black","Technic: Beams",32271,"Technic Angular Beam 3X7","http://cache.lego.com/media/bricks/5/1/4140327.jpg",86
"8069-1",4142822,4,"Black","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4142822.jpg",183
"8069-1",4495935,3,"Black","Technic: Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495935.jpg",157
"8069-1",4552347,3,"Black","Technic: Beams",60484,"T-Beam 3X3 W/Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/4552347.jpg",66
"8069-1",4195022,1,"Black","Technic: Beams, Special",44809,"Bion. Hto 2003 V Beam 90 Degr.","http://cache.lego.com/media/bricks/5/1/4195022.jpg",30
"8069-1",6006140,17,"Black","Technic: Beams, Special",74695,"Beam 1X2 W/Cross And Hole","http://cache.lego.com/media/bricks/5/1/6006140.jpg",101
"8069-1",370526,12,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"8069-1",370626,4,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"8069-1",370726,6,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"8069-1",4107082,2,"Black","Technic: Connectors",32016,"Angle Element, 157,5 Degr. [3]","http://cache.lego.com/media/bricks/5/1/4107082.jpg",152
"8069-1",4107085,6,"Black","Technic: Connectors",32013,"Angle Element, 0 Degrees [1]","http://cache.lego.com/media/bricks/5/1/4107085.jpg",347
"8069-1",4107765,2,"Black","Technic: Connectors",6553,"Catch","http://cache.lego.com/media/bricks/5/1/4107765.jpg",190
"8069-1",4107783,4,"Black","Technic: Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107783.jpg",252
"8069-1",4121715,50,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8069-1",4140801,13,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"8069-1",4512363,16,"Black","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4512363.jpg",249
"8069-1",4177431,10,"Black","Technic: Functional Elements, Gear Wheels And Racks",32270,"Double Conical Wheel Z12 1M","http://cache.lego.com/media/bricks/5/1/4177431.jpg",270
"8069-1",4562009,1,"Black","Technic: Functional Elements, Gear Wheels And Racks",87761,"Rack 7 M","http://cache.lego.com/media/bricks/5/1/4562009.jpg",27
"8069-1",4106380,1,"Black","Technic: Half Beams",32017,"Technic 5M Half Beam","http://cache.lego.com/media/bricks/5/1/4106380.jpg",59
"8069-1",4107828,4,"Black","Technic: Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/4107828.jpg",215
"8069-1",4112287,6,"Black","Technic: Half Beams",32056,"Technic Lever 3X3M, 90°","http://cache.lego.com/media/bricks/5/1/4112287.jpg",100
"8069-1",4128557,2,"Black","Technic: Half Beams",32250,"Halfbeam Curve 3X5","http://cache.lego.com/media/bricks/5/1/4128557.jpg",62
"8069-1",4503423,1,"Black","Technic: Half Beams",32017,"Technic 5M Half Beam","http://cache.lego.com/media/bricks/5/1/4503423.jpg",12
"8069-1",4563044,4,"Black","Technic: Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",92
"8069-1",4610371,4,"Black","Technic: Half Beams, Special",92907,"Cross Block/Form 2X2X2","http://cache.lego.com/media/bricks/5/1/4610371.jpg",54
"8069-1",4562379,1,"Black","Technic: Transportation Means, Vehicles",2950,"Trencher, Shovel","http://cache.lego.com/media/bricks/5/1/4562379.jpg",5
"8069-1",4580509,1,"Black","Technic: Transportation Means, Vehicles",2819,"Steering Wheel Ø24","http://cache.lego.com/media/bricks/5/1/4580509.jpg",12
"8069-1",4622565,1,"Black","Technic: Transportation Means, Vehicles",32030,"Technic Shovel","http://cache.lego.com/media/bricks/5/1/4622565.jpg",3
"8069-1",4234438,2,"Black","Technic: Tubes",32199,"Flex Rod 11M","http://cache.lego.com/media/bricks/5/1/4234438.jpg",30
"8069-1",4198613,2,"Black","Technic: Tyres And Rims For/To Snap Ø4,85 W. Cross",45982,"Tyre Baloon Wide Ø 81,6 X 38","http://cache.lego.com/media/bricks/5/1/4198613.jpg",13
"8069-1",4539110,2,"Black","Technic: Tyres And Rims For/To Snap Ø4,85 W. Cross",61480,"Tyre Baloon Wide Ø68,7 X 34","http://cache.lego.com/media/bricks/5/1/4539110.jpg",8
"8069-1",4514554,4,"Brick Yellow","Technic: Connectors",32556,"3M Connector Peg","http://cache.lego.com/media/bricks/5/1/4514554.jpg",244
"8069-1",4666579,7,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"8069-1",4514555,2,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",32269,"Double Conical Wheel Z20 1M","http://cache.lego.com/media/bricks/5/1/4514555.jpg",28
"8069-1",4514557,2,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",32198,"Bevel Gear Z20","http://cache.lego.com/media/bricks/5/1/4514557.jpg",43
"8069-1",4565452,6,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",6589,"Conical Wheel Z12","http://cache.lego.com/media/bricks/5/1/4565452.jpg",152
"8069-1",6031962,2,"Brick Yellow","Technic: Functional Elements, Gear Wheels And Racks",32198,"Bevel Gear Z20","http://cache.lego.com/media/bricks/5/1/6031962.jpg",32
"8069-1",4158923,2,"Bright Blue","Technic: Beams",32526,"Technic Ang. Beam 3X5 90 Deg.","http://cache.lego.com/media/bricks/5/1/4158923.jpg",44
"8069-1",4173987,1,"Bright Blue","Technic: Beams, Special",6536,"Cross Block 90°","http://cache.lego.com/media/bricks/5/1/4173987.jpg",16
"8069-1",4206482,26,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8069-1",4514553,23,"Bright Blue","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/4514553.jpg",585
"8069-1",4142865,26,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"8069-1",4247771,2,"Bright Yellow","System: Bricks With Bows And Arches",50950,"Brick W/Bow 1/3","http://cache.lego.com/media/bricks/5/1/4247771.jpg",48
"8069-1",4504381,1,"Bright Yellow","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504381.jpg",151
"8069-1",302324,3,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"8069-1",362324,2,"Bright Yellow","System: Plates",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/1/362324.jpg",156
"8069-1",663624,4,"Bright Yellow","System: Plates",6636,"Flat Tile 1X6","http://cache.lego.com/media/bricks/5/1/663624.jpg",94
"8069-1",4111996,2,"Bright Yellow","Technic: Beams",32009,"Double Angular Beam 3X7 45°","http://cache.lego.com/media/bricks/5/1/4111996.jpg",40
"8069-1",4141628,1,"Bright Yellow","Technic: Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4141628.jpg",43
