SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8102-1",4218868,1,"Black","Miscellaneous: Miscellaneous Elements",2723,"Disk Ø24","http://cache.lego.com/media/bricks/5/1/4218868.jpg",84
"8102-1",4275826,1,"Black","System: Bricks, Special",48172,"Brick 2X2 W. D. Klick-Female","http://cache.lego.com/media/bricks/5/1/4275826.jpg",47
"8102-1",4159103,1,"Black","System: Connectors",2566,"Assembly Element Ø3.2","http://cache.lego.com/media/bricks/5/1/4159103.jpg",83
"8102-1",4209159,6,"Black","System: Connectors",2714,"Technic Stick","http://cache.lego.com/media/bricks/5/1/4209159.jpg",19
"8102-1",4532220,1,"Black","System: Connectors",2566,"Assembly Element Ø3.2","http://cache.lego.com/media/bricks/5/1/4532220.jpg",55
"8102-1",302326,2,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"8102-1",4173668,3,"Black","Technic: Beams, Special",6536,"Cross Block 90°","http://cache.lego.com/media/bricks/5/1/4173668.jpg",277
"8102-1",370626,1,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"8102-1",655826,2,"Black","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/655826.jpg",382
"8102-1",4121715,4,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8102-1",4512363,2,"Black","Technic: Connectors",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/1/4512363.jpg",249
"8102-1",4262527,1,"Brick Yellow","System: Plates, Special",4598,"Sø†De 2X3X2","http://cache.lego.com/media/bricks/5/1/4262527.jpg",7
"8102-1",4186017,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",292
"8102-1",4666579,1,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"8102-1",4206482,5,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8102-1",4288258,1,"Bright Green","System: Figure, Hair",53982,"Mini Fig. Wig Manga 2","http://cache.lego.com/media/bricks/5/1/4288258.jpg",8
"8102-1",4142865,2,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"8102-1",306224,6,"Bright Yellow","System: Bricks, Special Circles And Angles",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/1/306224.jpg",202
"8102-1",4525464,4,"Bright Yellow","System: Bricks, Special Circles And Angles",59900,"Nose Cone Small 1X1","http://cache.lego.com/media/bricks/5/1/4525464.jpg",92
"8102-1",4286377,1,"Bright Yellow","System: Figure Accessories, Upper And Lower Part",54899,"Mini Head No 446","http://cache.lego.com/media/bricks/5/1/4286377.jpg",7
"8102-1",241224,1,"Bright Yellow","System: Plates",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/1/241224.jpg",177
"8102-1",4140587,2,"Bright Yellow","System: Plates, Special",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/1/4140587.jpg",57
"8102-1",4282745,4,"Bright Yellow","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282745.jpg",59
"8102-1",4501577,1,"Bright Yellow","System: Plates, Special",58816,"Flat Tile 1X2 - 8102-Engraved","http://cache.lego.com/media/bricks/5/1/4501577.jpg",1
"8102-1",4169960,1,"Bright Yellow","System: Plates, Special Circles And Angles",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/1/4169960.jpg",35
"8102-1",4187122,1,"Bright Yellow","Technic: Beams",43857,"Technic 2M Beam","http://cache.lego.com/media/bricks/5/1/4187122.jpg",27
"8102-1",418524,3,"Bright Yellow","Technic: Tyres And Rims, Special",4185,"Wedge-Belt Wheel Ø24","http://cache.lego.com/media/bricks/5/1/418524.jpg",25
"8102-1",4494224,3,"Bright Yellow","Technic: Tyres And Rims, Special",4185,"Wedge-Belt Wheel Ø24","http://cache.lego.com/media/bricks/5/1/4494224.jpg",14
"8102-1",4217829,2,"Dark Stone Grey","Constraction: Figure Parts",32174,"Link For Ball","http://cache.lego.com/media/bricks/5/1/4217829.jpg",78
"8102-1",4218201,2,"Dark Stone Grey","System: Bricks, Special",47452,"Br. 2X2 Ø4.85 Fem./Hor. Snap","http://cache.lego.com/media/bricks/5/1/4218201.jpg",26
"8102-1",4227395,2,"Dark Stone Grey","System: Bricks, Special",48170,"Brick 2X2 Ø4.85 Horiz. Snap","http://cache.lego.com/media/bricks/5/1/4227395.jpg",47
