SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8104-1",300426,3,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"8104-1",4180413,1,"Black","System: Bricks With Slope, Special",43710,"Left Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4180413.jpg",34
"8104-1",4180423,1,"Black","System: Bricks With Slope, Special",43711,"Right Roof Tile 2X4 W/Angle","http://cache.lego.com/media/bricks/5/1/4180423.jpg",33
"8104-1",4213298,1,"Black","System: Bricks With Slope, Special",47759,"Roof Tile 4X2 W. Angl./Sl.Bot.","http://cache.lego.com/media/bricks/5/1/4213298.jpg",21
"8104-1",4200486,3,"Black","System: Bricks With Special Bows And Angles",45301,"Brick 4X16 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4200486.jpg",24
"8104-1",4213374,3,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"8104-1",4253815,2,"Black","System: Bricks, Special",52107,"Brick 1X2 W. Four Knobs","http://cache.lego.com/media/bricks/5/1/4253815.jpg",133
"8104-1",370126,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",223
"8104-1",303926,2,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"8104-1",4163524,4,"Black","System: Decoration Elements",30603,"Front, 2X2, Motor","http://cache.lego.com/media/bricks/5/1/4163524.jpg",26
"8104-1",4213241,4,"Black","System: Decoration Elements",47757,"Roof Tile 4X4X1 1/3 W. Angles","http://cache.lego.com/media/bricks/5/1/4213241.jpg",8
"8104-1",243126,1,"Black","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243126.jpg",442
"8104-1",302026,1,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"8104-1",302226,2,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"8104-1",303426,1,"Black","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303426.jpg",423
"8104-1",408126,2,"Black","System: Plates, Special",4081,"Lamp Holder","http://cache.lego.com/media/bricks/5/1/408126.jpg",245
"8104-1",4144024,2,"Black","System: Plates, Special",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/1/4144024.jpg",123
"8104-1",4193108,2,"Black","System: Plates, Special",44822,"Flat Tile 1X4 W/Stubs Vertical","http://cache.lego.com/media/bricks/5/1/4193108.jpg",19
"8104-1",4155558,2,"Black","System: Tubes",40244,"Column Ø7,84","http://cache.lego.com/media/bricks/5/1/4155558.jpg",50
"8104-1",4142135,1,"Black","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4142135.jpg",215
"8104-1",4121667,1,"Black","Technic: Beams, Special",32184,"Double Cross Block","http://cache.lego.com/media/bricks/5/1/4121667.jpg",199
"8104-1",370526,2,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"8104-1",655826,1,"Black","Technic: Connectors",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/1/655826.jpg",382
"8104-1",4107082,3,"Black","Technic: Connectors",32016,"Angle Element, 157,5 Degr. [3]","http://cache.lego.com/media/bricks/5/1/4107082.jpg",152
"8104-1",4121715,5,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8104-1",4206482,2,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8104-1",4142865,6,"Bright Red","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4142865.jpg",986
"8104-1",4500377,1,"Bright Yellowish Green","Constraction: Figure, Accessories And Tools",44036,"Claw","http://cache.lego.com/media/bricks/5/1/4500377.jpg",1
"8104-1",4504372,1,"Bright Yellowish Green","System: Bricks, With Slope",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/1/4504372.jpg",69
"8104-1",4500378,2,"Bright Yellowish Green","System: Figure, Special",53451,"Horn W. Shaft Ø¸ 3.2","http://cache.lego.com/media/bricks/5/1/4500378.jpg",3
"8104-1",4501139,1,"Bright Yellowish Green","System: Plates, Special",58721,"Flat Tile 1X2 - 8104 Engraved","http://cache.lego.com/media/bricks/5/1/4501139.jpg",1
"8104-1",4265585,2,"Bright Yellowish Green","Technic: Connectors",32192,"Angle Element 135 Deg. [4]","http://cache.lego.com/media/bricks/5/1/4265585.jpg",3
"8104-1",379528,2,"Dark Green","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379528.jpg",126
"8104-1",4211098,2,"Dark Stone Grey","System: Bricks",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/1/4211098.jpg",233
