SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8105-1",4119328,1,"Black","Constraction: Figure Parts",32174,"Link For Ball","http://cache.lego.com/media/bricks/5/1/4119328.jpg",84
"8105-1",300426,1,"Black","System: Bricks",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/1/300426.jpg",718
"8105-1",4213298,2,"Black","System: Bricks With Slope, Special",47759,"Roof Tile 4X2 W. Angl./Sl.Bot.","http://cache.lego.com/media/bricks/5/1/4213298.jpg",21
"8105-1",4213374,6,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"8105-1",4275826,1,"Black","System: Bricks, Special",48172,"Brick 2X2 W. D. Klick-Female","http://cache.lego.com/media/bricks/5/1/4275826.jpg",47
"8105-1",303826,4,"Black","System: Bricks, With Slope",3038,"Roof Tile 2X3/45°","http://cache.lego.com/media/bricks/5/1/303826.jpg",54
"8105-1",303926,4,"Black","System: Bricks, With Slope",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/1/303926.jpg",285
"8105-1",329826,2,"Black","System: Bricks, With Slope",3298,"Roof Tile 2X3/25°","http://cache.lego.com/media/bricks/5/1/329826.jpg",164
"8105-1",4143982,2,"Black","System: Bricks, With Slope",30499,"Roof Tile 2X2X3/ 73 Gr.","http://cache.lego.com/media/bricks/5/1/4143982.jpg",31
"8105-1",4185272,2,"Black","System: Decoration Elements",44675,"2X2 Front With Suction","http://cache.lego.com/media/bricks/5/1/4185272.jpg",31
"8105-1",4213241,3,"Black","System: Decoration Elements",47757,"Roof Tile 4X4X1 1/3 W. Angles","http://cache.lego.com/media/bricks/5/1/4213241.jpg",8
"8105-1",302326,6,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"8105-1",306826,5,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
