SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8106-1",4219107,2,"Black","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/4219107.jpg",37
"8106-1",614326,5,"Black","System: Bricks, Special Circles And Angles",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/1/614326.jpg",239
"8106-1",4216660,2,"Black","System: Bricks, Special Circles And Angles",30367,"Final Brick 2X2","http://cache.lego.com/media/bricks/5/1/4216660.jpg",93
"8106-1",3200026,1,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/1/3200026.jpg",172
"8106-1",4158848,2,"Black","System: Connectors",30552,"Fric/Stump With Cross Hole","http://cache.lego.com/media/bricks/5/1/4158848.jpg",80
"8106-1",4159335,2,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"8106-1",434926,1,"Black","System: Figure Accessories In Hand",4349,"Megaphone","http://cache.lego.com/media/bricks/5/1/434926.jpg",167
"8106-1",4164067,4,"Black","System: Miscellaneous Elements",30359,"Brick W. Shaft 1X8X1","http://cache.lego.com/media/bricks/5/1/4164067.jpg",29
"8106-1",302026,2,"Black","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/302026.jpg",858
"8106-1",302126,3,"Black","System: Plates",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/1/302126.jpg",649
"8106-1",302226,1,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"8106-1",302326,3,"Black","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302326.jpg",1017
"8106-1",4144024,2,"Black","System: Plates, Special",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/1/4144024.jpg",123
"8106-1",4225201,1,"Black","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4225201.jpg",335
"8106-1",4277932,2,"Black","System: Plates, Special",44728,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/4277932.jpg",88
"8106-1",4160025,4,"Black","System: Plates, Special Circles And Angles",30503,"Corner Plate 45 Deg. 4X4","http://cache.lego.com/media/bricks/5/1/4160025.jpg",54
"8106-1",4155558,4,"Black","System: Tubes",40244,"Column Ø7,84","http://cache.lego.com/media/bricks/5/1/4155558.jpg",50
"8106-1",4299389,1,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56145,"Rim Wide W.Cross 30/20","http://cache.lego.com/media/bricks/5/1/4299389.jpg",59
"8106-1",4120017,2,"Black","Technic: Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4120017.jpg",230
"8106-1",4142135,1,"Black","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4142135.jpg",215
"8106-1",370526,4,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
"8106-1",370826,1,"Black","Technic: Connectors",3708,"Cross Axle 12M","http://cache.lego.com/media/bricks/5/1/370826.jpg",347
"8106-1",4107765,2,"Black","Technic: Connectors",6553,"Catch","http://cache.lego.com/media/bricks/5/1/4107765.jpg",190
"8106-1",4109810,6,"Black","Technic: Connectors",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/1/4109810.jpg",530
"8106-1",4121715,14,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8106-1",4499434,1,"Black","Technic: Functional Elements",57796,"Release Housing 6X2X2, Ass.","http://cache.lego.com/media/bricks/5/1/4499434.jpg",29
