SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8114-1",4218868,2,"Black","Miscellaneous: Miscellaneous Elements",2723,"Disk Ø24","http://cache.lego.com/media/bricks/5/1/4218868.jpg",84
"8114-1",300326,3,"Black","System: Bricks",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/1/300326.jpg",538
"8114-1",4213374,4,"Black","System: Bricks, Special",47455,"Joint Link W. Bush","http://cache.lego.com/media/bricks/5/1/4213374.jpg",85
"8114-1",4275826,1,"Black","System: Bricks, Special",48172,"Brick 2X2 W. D. Klick-Female","http://cache.lego.com/media/bricks/5/1/4275826.jpg",47
"8114-1",4533771,4,"Black","System: Bricks, Special",60475,"Brick 1X1 W/Holder, H0Rizontal","http://cache.lego.com/media/bricks/5/1/4533771.jpg",83
"8114-1",366026,2,"Black","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366026.jpg",322
"8114-1",4121966,4,"Black","System: Bricks, With Slope",3040,"Roof Tile 1X2/45°","http://cache.lego.com/media/bricks/5/1/4121966.jpg",308
"8114-1",4188534,2,"Black","System: Bricks, With Slope",4871,"Roof Tile 4X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/4188534.jpg",76
"8114-1",4220539,2,"Black","System: Bricks, With Slope",3049,"Attic 1X2/45°","http://cache.lego.com/media/bricks/5/1/4220539.jpg",35
"8114-1",4273703,2,"Black","System: Bricks, With Slope",3678,"Roof Tile 2X2X2/65 Deg.","http://cache.lego.com/media/bricks/5/1/4273703.jpg",57
"8114-1",4143372,3,"Black","System: Connectors",30553,"Fric/Fork W. Cross Hole","http://cache.lego.com/media/bricks/5/1/4143372.jpg",146
"8114-1",4289538,3,"Black","System: Connectors",48729,"Stick Ø 3.2 W. Holder","http://cache.lego.com/media/bricks/5/1/4289538.jpg",203
"8114-1",4294996,2,"Black","System: Figure, Wigs",53989,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/4294996.jpg",21
"8114-1",4124096,1,"Black","System: Functional Elements",6134,"Plate 2X2 (Rocking)","http://cache.lego.com/media/bricks/5/1/4124096.jpg",232
"8114-1",302226,2,"Black","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/302226.jpg",843
"8114-1",281726,1,"Black","System: Plates, Special",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/1/281726.jpg",189
"8114-1",383926,2,"Black","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/383926.jpg",164
"8114-1",3200126,2,"Black","System: Plates, Special",32001,"1Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/1/3200126.jpg",108
"8114-1",4107761,2,"Black","System: Plates, Special",32028,"Plate 1X2 With Slide","http://cache.lego.com/media/bricks/5/1/4107761.jpg",194
"8114-1",256926,1,"Black","System: Signs, Flags And Poles",2569,"Antenna 1X1X8","http://cache.lego.com/media/bricks/5/1/256926.jpg",99
"8114-1",395726,1,"Black","System: Signs, Flags And Poles",3957,"Whip/Aerial","http://cache.lego.com/media/bricks/5/1/395726.jpg",210
"8114-1",4538722,3,"Black","System: Signs, Flags And Poles",63965,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/1/4538722.jpg",174
"8114-1",370526,1,"Black","Technic: Connectors",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/1/370526.jpg",959
