SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8117-1",4119328,2,"Black","Constraction: Figure Parts",32174,"Link For Ball","http://cache.lego.com/media/bricks/5/1/4119328.jpg",84
"8117-1",4167106,28,"Black","System: Bricks, Special",30386,"Brick 1X2 Fric/Stub/Fork Vert.","http://cache.lego.com/media/bricks/5/1/4167106.jpg",29
"8117-1",4275826,1,"Black","System: Bricks, Special",48172,"Brick 2X2 W. D. Klick-Female","http://cache.lego.com/media/bricks/5/1/4275826.jpg",47
"8117-1",370126,2,"Black","System: Bricks, Special Ø4.85 Hole And Connecting Bush",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/1/370126.jpg",223
"8117-1",4159103,2,"Black","System: Connectors",2566,"Assembly Element Ø3.2","http://cache.lego.com/media/bricks/5/1/4159103.jpg",83
"8117-1",4159335,6,"Black","System: Connectors",41532,"Stub W. Friction Bush 3 M","http://cache.lego.com/media/bricks/5/1/4159335.jpg",156
"8117-1",4532220,2,"Black","System: Connectors",2566,"Assembly Element Ø3.2","http://cache.lego.com/media/bricks/5/1/4532220.jpg",55
"8117-1",4285883,2,"Black","System: Decoration Elements",47456,"Plate W. Bows 2X3½","http://cache.lego.com/media/bricks/5/1/4285883.jpg",44
"8117-1",4503684,2,"Black","System: Decoration Elements",57906,"Flap 3X12X2/3 W. Fork","http://cache.lego.com/media/bricks/5/1/4503684.jpg",4
"8117-1",4636410,2,"Black","System: Decoration Elements",57906,"Flap 3X12X2/3 W. Fork","http://cache.lego.com/media/bricks/5/1/4636410.jpg",16
"8117-1",4223189,2,"Black","System: Figure Accessories In Hand",6269,"Cup Without Wreath","http://cache.lego.com/media/bricks/5/1/4223189.jpg",26
"8117-1",4288838,2,"Black","System: Figure Accessories, Upper And Lower Part",55236,"Tail Ø 3,2","http://cache.lego.com/media/bricks/5/1/4288838.jpg",5
"8117-1",6024295,2,"Black","System: Figure Accessories, Upper And Lower Part",55236,"Tail Ø 3,2","http://cache.lego.com/media/bricks/5/1/6024295.jpg",9
"8117-1",4294996,6,"Black","System: Figure, Wigs",53989,"Bad Robot Arm","http://cache.lego.com/media/bricks/5/1/4294996.jpg",21
"8117-1",306826,3,"Black","System: Plates",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/1/306826.jpg",407
"8117-1",379426,11,"Black","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379426.jpg",354
"8117-1",370926,10,"Black","System: Plates, Special",3709,"Plate 2X4, 3Xø4.9","http://cache.lego.com/media/bricks/5/1/370926.jpg",150
