SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8200-1",379426,4,"Black","System: Plates",3794,"Plate 1X2 W. 1 Knob","http://cache.lego.com/media/bricks/5/1/379426.jpg",354
"8200-1",4556158,1,"Black","System: Plates, Special",60470,"Plate 1X2 W/Holder, Vertical","http://cache.lego.com/media/bricks/5/1/4556158.jpg",234
"8200-1",4246901,4,"Black","System: Tyres And Rims For Snap Ø3,2",50951,"Tyre Low Narrow Ø14.58 X 6.24","http://cache.lego.com/media/bricks/5/1/4246901.jpg",124
"8200-1",615726,2,"Black","System: Wheel Base",6157,"Bearing Element 2X2 2/3","http://cache.lego.com/media/bricks/5/1/615726.jpg",241
"8200-1",379523,1,"Bright Blue","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379523.jpg",221
"8200-1",6022148,1,"Bright Orange","System: Bricks, Special Circles And Angles",3942,"Nose Cone 2X2X2","http://cache.lego.com/media/bricks/5/1/6022148.jpg",4
"8200-1",4159007,1,"Bright Orange","System: Plates",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/1/4159007.jpg",112
"8200-1",243121,1,"Bright Red","System: Plates",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/1/243121.jpg",227
"8200-1",302321,2,"Bright Red","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302321.jpg",666
"8200-1",303421,1,"Bright Red","System: Plates",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/1/303421.jpg",153
"8200-1",4226876,1,"Bright Red","System: Plates, Special",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/1/4226876.jpg",62
"8200-1",4620229,1,"Bright Red","System: Plates, Special",95334,"Flat Tile 2X4 'Left No.17'","http://cache.lego.com/media/bricks/5/1/4620229.jpg",2
"8200-1",4620230,1,"Bright Red","System: Plates, Special",95335,"Flat Tile 2X4 'Right No.18'","http://cache.lego.com/media/bricks/5/1/4620230.jpg",2
"8200-1",6022407,1,"Bright Red","System: Plates, Special",95335,"Flat Tile 2X4 'Right No.18'","http://cache.lego.com/media/bricks/5/1/6022407.jpg",2
"8200-1",6023387,1,"Bright Red","System: Plates, Special",95334,"Flat Tile 2X4 '¨Left No.17'","http://cache.lego.com/media/bricks/5/1/6023387.jpg",2
"8200-1",4613132,1,"Bright Red","System: Transportation Means, Vehicles",93590,"Wheel Arch 2X4 W Hori.Nobs","http://cache.lego.com/media/bricks/5/1/4613132.jpg",8
"8200-1",4620107,1,"Bright Red","System: Transportation Means, Vehicles",95314,"Roof/Top 4X6X1 1/3 'No.2'","http://cache.lego.com/media/bricks/5/1/4620107.jpg",2
"8200-1",4620225,1,"Bright Red","System: Transportation Means, Vehicles",95333,"Front 3X4X1 2/3 No.4","http://cache.lego.com/media/bricks/5/1/4620225.jpg",2
"8200-1",4613159,4,"Bright Red","System: Tyres And Rims For Snap Ø3,2",93593,"Rim No.1 Ø11,176X6,2","http://cache.lego.com/media/bricks/5/1/4613159.jpg",3
"8200-1",302324,3,"Bright Yellow","System: Plates",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/1/302324.jpg",473
"8200-1",4211445,2,"Medium Stone Grey","System: Plates",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/1/4211445.jpg",493
"8200-1",4159314,2,"White","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4159314.jpg",29
"8200-1",4282737,2,"White","System: Plates, Special",2436,"Angle Plate 1X2/1X4","http://cache.lego.com/media/bricks/5/1/4282737.jpg",69
