SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"8493-1",4219107,1,"Black","System: Bricks With Special Bows And Angles",47753,"Brick 4X4 W. Bow/Angle","http://cache.lego.com/media/bricks/5/1/4219107.jpg",37
"8493-1",4277932,4,"Black","System: Plates, Special",44728,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/1/4277932.jpg",88
"8493-1",4499234,2,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",55978,"Tyre Low Wide Ø37 X 22","http://cache.lego.com/media/bricks/5/1/4499234.jpg",33
"8493-1",4550937,2,"Black","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",58090,"Tyre Street Ø30.4 X 14","http://cache.lego.com/media/bricks/5/1/4550937.jpg",59
"8493-1",4140327,2,"Black","Technic: Beams",32271,"Technic Angular Beam 3X7","http://cache.lego.com/media/bricks/5/1/4140327.jpg",86
"8493-1",4154767,2,"Black","Technic: Beams",40490,"Technic 9M Beam","http://cache.lego.com/media/bricks/5/1/4154767.jpg",70
"8493-1",370626,3,"Black","Technic: Connectors",3706,"Cross Axle 6M","http://cache.lego.com/media/bricks/5/1/370626.jpg",744
"8493-1",370726,1,"Black","Technic: Connectors",3707,"Cross Axle 8M","http://cache.lego.com/media/bricks/5/1/370726.jpg",493
"8493-1",4121715,7,"Black","Technic: Connectors",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/1/4121715.jpg",1722
"8493-1",4140801,2,"Black","Technic: Connectors",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/1/4140801.jpg",359
"8493-1",4563044,2,"Black","Technic: Half Beams, Special",33299,"2X1X3 Steering Knuckle Arm","http://cache.lego.com/media/bricks/5/1/4563044.jpg",92
"8493-1",4186017,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4186017.jpg",292
"8493-1",4666579,2,"Brick Yellow","Technic: Connectors",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/1/4666579.jpg",638
"8493-1",300123,1,"Bright Blue","System: Bricks",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/1/300123.jpg",332
"8493-1",379523,1,"Bright Blue","System: Plates",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/1/379523.jpg",221
"8493-1",4509376,2,"Bright Blue","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4509376.jpg",37
"8493-1",4107798,1,"Bright Blue","Technic: Connectors",32034,"Angle Element, 180 Degrees [2]","http://cache.lego.com/media/bricks/5/1/4107798.jpg",22
"8493-1",4206482,8,"Bright Blue","Technic: Connectors",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/1/4206482.jpg",1196
"8493-1",4143541,2,"Bright Red","Constraction: Figure, Accessories And Tools",32558,"Voodoo Flame","http://cache.lego.com/media/bricks/5/1/4143541.jpg",10
"8493-1",4520004,2,"Bright Red","Constraction: Figure, Accessories And Tools",32558,"Voodoo Flame","http://cache.lego.com/media/bricks/5/1/4520004.jpg",2
"8493-1",4180480,1,"Bright Red","System: Bricks With Special Bows And Angles",43712,"Brick 4X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4180480.jpg",6
"8493-1",4568967,1,"Bright Red","System: Bricks With Special Bows And Angles",43712,"Brick 4X6 W/Bow/Angle","http://cache.lego.com/media/bricks/5/1/4568967.jpg",14
"8493-1",366021,1,"Bright Red","System: Bricks, With Slope",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/1/366021.jpg",206
"8493-1",4144413,2,"Bright Red","System: Decoration Elements",30602,"Front, 2X2, Sport","http://cache.lego.com/media/bricks/5/1/4144413.jpg",37
"8493-1",389921,2,"Bright Red","System: Figure Accessories In Hand",3899,"Mug","http://cache.lego.com/media/bricks/5/1/389921.jpg",177
"8493-1",242021,2,"Bright Red","System: Plates",2420,"Corner Plate 1X2X2","http://cache.lego.com/media/bricks/5/1/242021.jpg",165
"8493-1",4524644,2,"Bright Red","System: Plates, Special",61252,"Plate 1X1 W/Holder Vertical","http://cache.lego.com/media/bricks/5/1/4524644.jpg",84
"8493-1",4221427,1,"Dark Stone Grey","System: Functional Elements",49197,"Pull Back 4X8X2 2/3 Ver. 1","http://cache.lego.com/media/bricks/5/1/4221427.jpg",21
"8493-1",4211065,2,"Dark Stone Grey","System: Plates",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/1/4211065.jpg",578
"8493-1",4263176,1,"Dark Stone Grey","System: Plates, Special",3839,"Mini Handle","http://cache.lego.com/media/bricks/5/1/4263176.jpg",85
"8493-1",4518854,2,"Dark Stone Grey","Technic: Decoration Elements",61069,"Design Shell W. Ribs Ø4.85","http://cache.lego.com/media/bricks/4/1/4518854.jpg",6
"8493-1",4297210,2,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56145,"Rim Wide W.Cross 30/20","http://cache.lego.com/media/bricks/5/1/4297210.jpg",78
"8493-1",4490127,2,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",55982,"Rim Wide 18/14 W. Cross Ø4.8","http://cache.lego.com/media/bricks/5/1/4490127.jpg",60
"8493-1",4495930,2,"Medium Stone Grey","Technic: Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495930.jpg",84
"8493-1",4225033,2,"Medium Stone Grey","Technic: Beams, Special",48989,"Beam 3 M. W/4 Snaps","http://cache.lego.com/media/bricks/5/1/4225033.jpg",175
"8493-1",4211573,10,"Medium Stone Grey","Technic: Connectors",32123,"1/2 Bush","http://cache.lego.com/media/bricks/5/1/4211573.jpg",530
"8493-1",4201019,1,"Transparent Red","System: Plates",6225,"Plate 1X2 - Tr.","http://cache.lego.com/media/bricks/5/1/4201019.jpg",197
